"","year","month","T_ID","P_ID","START_CK","RELIEF_CK","CG_CK","HOLD","INN2","BF","PA","AB","HIT","H2","H3","HR","SB","CS","SH","SF","BB","IB","HP","KK","GD","WP","BK","ERR","R","ER","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","TB_SC_B","TB_SC_T","WLS_D","WLS_L","WLS_ND","WLS_S","WLS_W","KBB"
"73",2016,4,"LT",62528,1,0,0,0,9,86,16,9,2,0,0,0,0,1,0,1,6,0,0,3,0,1,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.76683937823834
"74",2016,4,"LT",63512,0,7,0,0,29,218,51,41,13,3,0,1,0,1,0,0,9,0,1,12,0,1,0,1,9,4,2,1,1,1,0,2,0,0,0,0,4,3,0,0,7,0,0,1.99212598425197
"75",2016,4,"LT",63935,3,4,0,0,76,388,106,94,26,0,1,2,0,1,1,0,10,3,1,18,5,0,0,0,11,9,0,1,1,1,0,1,0,1,1,1,3,4,0,1,2,0,4,1.11904761904762
"76",2016,4,"LT",64021,4,0,0,0,62,417,91,74,17,6,0,0,2,0,3,0,13,0,1,22,1,2,0,0,7,7,1,0,1,0,0,0,0,1,1,0,3,1,0,1,0,0,3,1.9639175257732
"77",2016,4,"LT",64596,0,7,0,0,29,178,48,39,11,2,0,0,0,0,1,1,7,0,0,4,0,2,0,0,8,6,1,2,0,2,0,1,0,1,0,0,4,3,0,0,7,0,0,1.29824561403509
"78",2016,4,"LT",65509,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.75
"79",2016,4,"LT",65543,6,0,0,0,98,629,154,134,40,6,2,8,6,2,0,2,16,0,2,29,0,1,0,0,28,27,1,1,0,1,0,1,0,1,0,1,4,2,0,4,1,0,1,3.51851851851852
"80",2016,4,"LT",65546,5,0,1,0,101,526,139,127,33,3,0,3,1,1,2,0,8,0,2,27,4,0,0,0,14,10,1,0,1,1,0,0,0,0,1,1,2,3,0,3,0,0,2,2.9018691588785
"81",2016,4,"LT",70615,0,5,0,1,5,45,11,7,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,2,2,3,2,0,0,5,0,0,1.3
"82",2016,4,"LT",71801,0,11,0,6,18,135,31,23,9,1,0,1,1,2,0,1,7,1,0,2,1,0,0,1,3,3,2,1,1,0,0,2,0,1,2,2,7,4,0,0,11,0,0,0.538461538461538
"83",2016,4,"LT",72535,0,14,0,4,24,156,38,28,8,1,0,1,1,1,2,1,7,2,0,5,0,0,0,0,9,8,2,2,1,1,0,2,0,2,3,1,10,4,0,1,13,0,0,1.91176470588235
"84",2016,4,"LT",72551,0,11,0,2,42,206,58,56,15,1,0,1,2,0,0,0,2,0,0,14,1,0,0,0,5,5,1,2,1,1,0,2,0,2,1,1,7,4,0,1,9,1,0,2.36666666666667
"85",2016,4,"LT",72862,0,12,0,5,41,227,54,48,11,3,0,0,1,1,1,0,4,1,1,10,1,0,0,0,3,3,1,1,1,1,0,3,0,1,2,2,6,6,0,1,10,0,1,2.2280701754386
"86",2016,4,"LT",73226,0,10,0,1,27,203,48,41,16,3,0,1,1,0,0,1,6,0,0,11,1,0,0,0,6,6,1,1,1,1,0,2,0,1,2,1,6,4,0,0,10,0,0,2.14285714285714
"87",2016,4,"LT",75321,0,8,0,0,22,137,34,29,9,1,0,2,0,0,0,1,3,0,1,10,1,0,0,0,2,2,0,1,1,1,0,2,0,1,1,1,4,4,0,0,4,4,0,2.89189189189189
"88",2016,4,"LT",77591,3,0,0,0,37,254,56,50,14,2,0,0,3,1,0,0,6,0,0,16,0,1,0,0,7,6,0,0,0,0,0,1,0,0,1,1,1,2,0,0,2,0,1,2.16521739130435
"89",2016,4,"LT",79349,3,0,0,0,27,148,41,37,12,1,0,2,0,1,0,0,3,0,1,6,1,0,0,0,6,6,0,1,0,0,0,1,0,1,0,0,3,0,0,1,2,0,0,1.42105263157895
"90",2016,4,"NC",60263,4,0,0,0,73,373,98,90,22,0,1,3,0,1,1,0,7,0,0,23,3,0,0,0,7,7,1,0,0,1,1,0,0,0,0,1,3,1,0,0,1,0,3,2.37089201877934
"91",2016,4,"NC",61323,4,0,0,0,52,300,77,61,16,2,1,2,3,0,3,0,10,1,3,7,1,0,0,0,11,11,1,0,0,0,1,0,1,1,0,0,1,3,0,1,3,0,0,1.03846153846154
"92",2016,4,"NC",62929,4,0,0,0,47,332,82,73,25,4,0,4,0,0,0,0,7,0,2,15,2,3,0,0,18,13,0,0,0,0,1,0,1,1,1,0,1,3,0,3,1,0,0,2.07079646017699
"93",2016,4,"NC",62966,0,8,0,0,24,146,40,36,13,5,1,1,0,0,1,1,1,0,1,4,0,0,0,0,10,10,2,2,0,0,1,0,1,0,1,1,5,3,0,0,7,0,1,1.66304347826087
"94",2016,4,"NC",63938,6,0,0,0,116,584,158,142,33,8,0,2,2,0,4,1,8,0,3,38,4,2,0,0,12,12,0,1,0,1,1,0,1,1,1,0,1,5,0,1,1,0,4,3.02222222222222
"95",2016,4,"NC",63959,0,11,0,1,16,106,24,22,7,2,0,0,0,0,0,2,0,0,0,11,0,0,0,1,5,2,2,1,0,2,1,0,1,0,2,2,6,5,0,0,11,0,0,2.34285714285714
"96",2016,4,"NC",64907,0,1,0,0,3,20,4,1,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.944444444444444
"97",2016,4,"NC",65931,5,0,0,0,94,496,133,120,29,3,0,2,3,0,0,0,9,1,4,19,3,0,0,0,16,16,1,1,0,1,0,0,0,0,1,1,3,2,0,2,1,0,2,2.14545454545455
"98",2016,4,"NC",65933,0,10,0,0,23,111,29,27,6,2,0,1,0,0,1,0,1,0,0,9,0,1,0,0,3,3,1,1,0,1,2,0,2,1,1,1,4,6,0,0,10,0,0,2.6
"99",2016,4,"NC",66928,0,12,0,3,33,196,48,40,7,3,0,0,1,1,0,0,5,0,3,13,1,0,0,0,6,4,1,1,0,1,3,0,2,1,1,2,6,6,0,1,11,0,0,1.83333333333333
"100",2016,4,"NC",66960,0,2,0,0,19,123,27,23,5,0,0,0,0,1,0,1,2,0,1,4,1,1,0,0,2,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,0,1.14772727272727
"101",2016,4,"NC",75867,0,13,0,2,45,234,62,56,12,2,0,1,1,2,0,0,4,0,2,16,0,3,0,1,6,5,2,1,0,2,2,0,2,1,1,2,6,7,0,3,7,1,2,3.6025641025641
"102",2016,4,"NC",78243,0,9,0,0,35,165,47,38,5,1,0,1,1,0,0,0,5,0,4,12,1,0,0,0,1,1,1,1,0,1,2,0,1,1,2,0,3,6,0,0,8,1,0,2.45454545454545
"103",2016,4,"NC",78352,0,9,0,1,26,170,36,31,5,2,0,0,0,0,0,0,3,0,2,17,0,1,1,0,0,0,1,1,0,1,2,0,1,1,1,1,4,5,0,0,4,5,0,2.56944444444444
"104",2016,4,"OB",61214,0,5,0,0,19,90,27,24,6,1,0,0,1,0,0,0,2,0,1,1,1,1,0,0,0,0,2,0,1,0,0,1,0,0,0,1,3,2,0,0,5,0,0,1.46052631578947
"105",2016,4,"OB",61240,5,0,0,0,88,500,123,113,30,2,0,3,6,2,1,0,8,0,1,43,3,6,0,0,10,10,1,0,1,0,0,0,0,1,1,1,2,3,0,0,0,0,5,2.70520231213873
"106",2016,4,"OB",61295,0,2,0,0,2,15,4,2,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,0,0,1.5
"107",2016,4,"OB",63248,0,5,0,0,6,38,11,9,4,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,2,2,0,0,0,0,0,1,0,1,2,1,3,2,0,0,5,0,0,1.8974358974359
"108",2016,4,"OB",66226,5,0,0,0,96,498,125,116,23,3,0,1,1,1,0,2,7,0,0,26,3,2,0,1,8,4,2,1,0,0,0,1,0,0,1,0,3,2,0,1,0,0,4,2.29347826086957
"109",2016,4,"OB",73211,3,0,0,0,29,227,59,53,27,8,1,1,0,0,1,0,5,0,0,8,1,1,0,0,12,12,1,0,1,0,0,1,0,0,0,0,1,2,0,2,1,0,0,1.83505154639175
"110",2016,4,"OB",73241,0,13,0,7,58,286,74,64,9,1,1,0,2,0,1,1,5,1,3,19,1,1,0,0,4,3,3,1,1,0,0,1,0,1,3,3,9,4,1,1,11,0,0,3.29411764705882
"111",2016,4,"OB",74513,5,0,0,0,93,505,134,114,28,6,1,2,0,0,1,1,16,0,2,27,5,1,0,0,11,11,1,1,1,0,0,1,0,0,0,1,3,2,0,0,1,0,4,1.89570552147239
"112",2016,4,"OB",76329,0,11,0,0,37,208,51,48,13,2,1,1,2,1,0,0,2,0,1,12,1,0,0,0,5,5,3,1,1,0,0,1,0,2,2,1,7,4,0,0,4,6,1,2.17857142857143
"113",2016,4,"OB",77263,0,9,0,2,31,185,48,38,13,3,1,0,1,1,1,2,6,0,1,7,2,3,0,0,8,6,2,0,2,0,0,1,0,0,3,1,3,6,0,1,8,0,0,2.2875
"114",2016,4,"OB",78257,0,4,0,0,22,122,31,26,4,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,3,0,0,4,0,0,1.4
"115",2016,4,"OB",79229,5,0,0,0,88,486,130,114,32,4,1,1,0,1,4,0,11,0,1,18,3,1,0,1,15,14,1,0,0,0,0,0,0,1,2,1,4,1,0,0,3,0,2,1.85853658536585
"116",2016,4,"OB",79293,0,11,0,4,36,166,47,43,10,0,0,1,2,0,0,0,2,0,2,11,2,0,0,0,2,2,4,1,2,0,0,1,0,1,0,2,6,5,0,0,10,0,1,4.61904761904762
"117",2016,4,"OB",79535,1,5,0,0,43,202,55,53,11,2,1,2,1,1,0,0,2,0,0,10,0,0,0,0,5,5,1,0,2,0,0,1,0,1,0,1,3,3,0,1,5,0,0,1.35714285714286
"118",2016,4,"SK",60841,5,0,0,0,87,513,126,107,23,6,0,2,1,0,0,0,14,0,5,25,3,0,0,1,10,10,0,0,2,1,0,0,1,0,0,1,3,2,0,0,2,0,3,1.73400673400673
"119",2016,4,"SK",62056,0,6,0,0,19,95,21,19,2,0,0,1,0,1,0,0,2,0,0,4,0,0,0,0,1,1,0,2,2,0,1,1,0,0,0,0,4,2,0,0,5,0,1,1.48484848484848
"120",2016,4,"SK",62869,2,0,0,0,31,172,47,37,10,2,0,1,0,1,2,0,5,0,2,7,1,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,0,0,2.3954802259887
"121",2016,4,"SK",63810,5,0,0,0,99,479,136,127,28,3,0,2,2,2,0,2,6,0,1,26,1,5,0,2,16,12,0,0,1,1,1,1,0,0,0,1,2,3,0,1,1,0,3,2.52941176470588
"122",2016,4,"SK",64893,0,11,0,1,39,192,53,48,13,2,0,0,1,0,0,1,2,0,2,7,1,0,0,0,5,5,0,1,4,0,1,1,2,0,0,2,6,5,0,1,10,0,0,1.79411764705882
"123",2016,4,"SK",65856,5,0,0,0,97,488,131,118,28,3,0,1,1,1,1,0,9,0,3,22,5,0,0,0,12,10,0,1,1,1,0,0,1,0,0,1,4,1,0,1,3,0,1,3.30263157894737
"124",2016,4,"SK",71845,0,12,0,1,44,234,60,54,15,2,0,2,1,1,0,0,6,0,0,15,4,0,0,0,4,4,0,2,3,1,1,1,1,0,0,3,8,4,0,0,11,0,1,2.32727272727273
