"PA","BB_rate","HR_rate","AVG","OBP","SLG","OPS","SB_rate","BABIP","H2_rate","H3_rate","T_ID","year","month","P_ID","BAT_ORDER","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO"
102,0.08,0.0634920634920635,0.241053156320512,0.307840478564307,0.337574233820278,0.645414712384585,0.028,0.305699481865285,0.19047619047619,0.0158730158730159,"LT",2020,9,50506,5,2,5,4,6,0,5,0,2,2,2
91,0.08,0.0634920634920635,0.231592671378577,0.299212516297262,0.3243256375165,0.623538153813762,0.028,0.305699481865285,0.19047619047619,0.0158730158730159,"LT",2020,10,50506,5,3,1,3,4,0,5,2,4,3,0
0,0,0,0,0,0,0,0,0,0,0,"HT",2020,7,50600,3,2,0,1,0,1,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,"HT",2020,8,50600,3,0,0,2,8,2,4,2,5,0,2
0,0,0,0,0,0,0,0,0,0,0,"HT",2020,9,50600,3,4,0,2,2,5,2,2,2,4,4
0,0,0,0,0,0,0,0,0,0,0,"HT",2020,10,50600,3,5,0,2,3,1,5,3,3,1,1
9,0.05,0,0.233918128654971,0.272222222222222,0.327485380116959,0.599707602339181,0,0.357142857142857,0.4,0,"HH",2020,7,50704,7,0,2,0,1,0,0,0,3,2,0
26,0.05,0,0.242914979757085,0.280769230769231,0.340080971659919,0.62085020242915,0,0.357142857142857,0.4,0,"HH",2020,8,50704,7,0,0,3,3,2,4,0,2,5,3
32,0.05,0,0.263157894736842,0.3,0.368421052631579,0.668421052631579,0,0.357142857142857,0.4,0,"HH",2020,9,50704,7,0,4,2,2,2,2,6,2,3,4
26,0.05,0,0.242914979757085,0.280769230769231,0.340080971659919,0.62085020242915,0,0.357142857142857,0.4,0,"HH",2020,10,50704,7,0,5,2,1,3,1,4,0,3,3
8,0.025,0,0.128205128205128,0.15,0.128205128205128,0.278205128205128,0,0.333333333333333,0,0,"HH",2020,7,50707,1,0,2,0,1,0,0,0,3,2,0
21,0.025,0,0.195360195360195,0.21547619047619,0.195360195360195,0.410836385836386,0,0.333333333333333,0,0,"HH",2020,8,50707,1,0,0,3,3,2,4,0,2,5,3
26,0.025,0,0.19723865877712,0.217307692307692,0.19723865877712,0.414546351084813,0,0.333333333333333,0,0,"HH",2020,9,50707,1,0,4,2,2,2,2,6,2,3,4
21,0.025,0,0.195360195360195,0.21547619047619,0.195360195360195,0.410836385836386,0,0.333333333333333,0,0,"HH",2020,10,50707,1,0,5,2,1,3,1,4,0,3,3
4,0.05,0,0.263157894736842,0.3,0.263157894736842,0.563157894736842,0,0.416666666666667,0,0,"HH",2020,7,50709,8,0,2,0,1,0,0,0,3,2,0
12,0.05,0,0.263157894736842,0.3,0.263157894736842,0.563157894736842,0,0.416666666666667,0,0,"HH",2020,8,50709,8,0,0,3,3,2,4,0,2,5,3
14,0.05,0,0.300751879699248,0.335714285714286,0.300751879699248,0.636466165413534,0,0.416666666666667,0,0,"HH",2020,9,50709,8,0,4,2,2,2,2,6,2,3,4
12,0.05,0,0.263157894736842,0.3,0.263157894736842,0.563157894736842,0,0.416666666666667,0,0,"HH",2020,10,50709,8,0,5,2,1,3,1,4,0,3,3
4,0,0,0.5,0.5,0.875,1.375,0,0.571428571428571,0.75,0,"HH",2020,7,50730,4,0,2,0,1,0,0,0,3,2,0
10,0,0,0.5,0.5,0.875,1.375,0,0.571428571428571,0.75,0,"HH",2020,8,50730,4,0,0,3,3,2,4,0,2,5,3
13,0,0,0.461538461538462,0.461538461538462,0.807692307692308,1.26923076923077,0,0.571428571428571,0.75,0,"HH",2020,9,50730,4,0,4,2,2,2,2,6,2,3,4
10,0,0,0.5,0.5,0.875,1.375,0,0.571428571428571,0.75,0,"HH",2020,10,50730,4,0,5,2,1,3,1,4,0,3,3
1,0.2,0,0,0.2,0,0.2,0,0.5,0,0,"SK",2020,7,50819,7,3,0,1,3,1,0,0,0,0,0
3,0.2,0,0.416666666666667,0.533333333333333,0.416666666666667,0.95,0,0.5,0,0,"SK",2020,8,50819,7,2,5,4,0,4,2,2,0,4,0
3,0.2,0,0.416666666666667,0.533333333333333,0.416666666666667,0.95,0,0.5,0,0,"SK",2020,9,50819,7,2,2,5,4,2,4,2,0,2,4
3,0.2,0,0.416666666666667,0.533333333333333,0.416666666666667,0.95,0,0.5,0,0,"SK",2020,10,50819,7,0,3,3,0,4,1,3,0,4,3
0,0,0,0,0,0,0,0,0,0,0,"SK",2020,7,50840,8,3,0,1,3,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"SK",2020,8,50840,8,2,5,4,0,4,2,2,0,4,0
0,0,0,0,0,0,0,0,0,0,0,"SK",2020,9,50840,8,2,2,5,4,2,4,2,0,2,4
0,0,0,0,0,0,0,0,0,0,0,"SK",2020,10,50840,8,0,3,3,0,4,1,3,0,4,3
68,0.0721649484536082,0.0204081632653061,0.260324241428415,0.317515666060238,0.311710239651416,0.629225905711655,0.0412371134020619,0.326530612244898,0.102040816326531,0.0204081632653061,"SK",2020,7,50854,1,3,0,1,3,1,0,0,0,0,0
99,0.0721649484536082,0.0204081632653061,0.268212854805034,0.324794335103613,0.321156004489338,0.645950339592951,0.0412371134020619,0.326530612244898,0.102040816326531,0.0204081632653061,"SK",2020,8,50854,1,2,5,4,0,4,2,2,0,4,0
116,0.0721649484536082,0.0204081632653061,0.267056764913633,0.323727633605877,0.319771711366539,0.643499344972416,0.0412371134020619,0.326530612244898,0.102040816326531,0.0204081632653061,"SK",2020,9,50854,1,2,2,5,4,2,4,2,0,2,4
90,0.0721649484536082,0.0204081632653061,0.258154872749845,0.31551403207331,0.309112654320988,0.624626686394298,0.0412371134020619,0.326530612244898,0.102040816326531,0.0204081632653061,"SK",2020,10,50854,1,0,3,3,0,4,1,3,0,4,3
50,0.0685483870967742,0.253731343283582,0.295395555555556,0.360741935483871,0.584034632034632,0.944776567518503,0.0524193548387097,0.357142857142857,0.119402985074627,0.0746268656716418,"NC",2020,7,50923,5,0,0,3,0,1,0,1,0,1,0
99,0.0685483870967742,0.253731343283582,0.298379349046016,0.363449006190942,0.589933971752153,0.953382977943095,0.0524193548387097,0.357142857142857,0.119402985074627,0.0746268656716418,"NC",2020,8,50923,5,4,4,2,3,2,0,4,2,0,2
116,0.0685483870967742,0.253731343283582,0.292849042145594,0.358431590656285,0.578999850723989,0.937431441380273,0.0524193548387097,0.357142857142857,0.119402985074627,0.0746268656716418,"NC",2020,9,50923,5,2,2,2,4,5,0,2,4,4,2
108,0.0685483870967742,0.253731343283582,0.300865843621399,0.365704898446834,0.594850088183421,0.960554986630255,0.0524193548387097,0.357142857142857,0.119402985074627,0.0746268656716418,"NC",2020,10,50923,5,1,5,0,5,5,0,0,1,5,3
7,0.0666666666666667,0,0.306122448979592,0.352380952380952,0.331632653061224,0.684013605442177,0,0.319148936170213,0.0833333333333333,0,"SS",2020,7,60288,0,2,2,0,0,0,1,0,0,0,1
31,0.0666666666666667,0,0.241935483870968,0.29247311827957,0.262096774193548,0.554569892473118,0,0.319148936170213,0.0833333333333333,0,"SS",2020,8,60288,0,5,0,2,2,2,0,6,4,0,4
33,0.0666666666666667,0,0.227272727272727,0.278787878787879,0.246212121212121,0.525,0,0.319148936170213,0.0833333333333333,0,"SS",2020,9,60288,0,3,4,4,2,2,4,4,2,0,2
26,0.0666666666666667,0,0.247252747252747,0.297435897435897,0.267857142857143,0.56529304029304,0,0.319148936170213,0.0833333333333333,0,"SS",2020,10,60288,0,3,1,2,3,3,5,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,"NC",2020,7,60339,0,0,0,3,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,"NC",2020,8,60339,0,4,4,2,3,2,0,4,2,0,2
0,0,0,0,0,0,0,0,0,0,0,"NC",2020,9,60339,0,2,2,2,4,5,0,2,4,4,2
0,0,0,0,0,0,0,0,0,0,0,"NC",2020,10,60339,0,1,5,0,5,5,0,0,1,5,3
14,0.0961538461538462,0.222222222222222,0.415261756876664,0.482731554160126,0.677377333912288,1.16010888807241,0,0.262357414448669,0,0,"HH",2020,7,60343,8,0,2,0,1,0,0,0,3,2,0
27,0.0961538461538462,0.222222222222222,0.376811594202898,0.448717948717949,0.614657210401891,1.06337515911984,0,0.262357414448669,0,0,"HH",2020,8,60343,8,0,0,3,3,2,4,0,2,5,3
39,0.0961538461538462,0.222222222222222,0.335403726708074,0.412087912087912,0.547112462006079,0.959200374093991,0,0.262357414448669,0,0,"HH",2020,9,60343,8,0,4,2,2,2,2,6,2,3,4
32,0.0961538461538462,0.222222222222222,0.317934782608696,0.396634615384615,0.518617021276595,0.915251636661211,0,0.262357414448669,0,0,"HH",2020,10,60343,8,0,5,2,1,3,1,4,0,3,3
50,0.0838709677419355,0.0909090909090909,0.0735971223021583,0.169225806451613,0.106426056338028,0.275651862789641,0.0258064516129032,0.331108144192256,0.204545454545455,0,"LT",2020,7,60523,1,0,1,0,0,0,1,0,1,0,3
40,0.0838709677419355,0.0909090909090909,0.0306654676258993,0.130725806451613,0.0443441901408451,0.175069996592458,0.0258064516129032,0.331108144192256,0.204545454545455,0,"LT",2020,8,60523,1,2,2,0,0,0,2,6,4,2,5
91,0.0838709677419355,0.0909090909090909,0.148272590718634,0.236192839418646,0.214411468812877,0.450604308231523,0.0258064516129032,0.331108144192256,0.204545454545455,0,"LT",2020,9,60523,1,2,5,4,6,0,5,0,2,2,2
82,0.0838709677419355,0.0909090909090909,0.149587646955606,0.237372147915028,0.216313122638269,0.453685270553296,0.0258064516129032,0.331108144192256,0.204545454545455,0,"LT",2020,10,60523,1,3,1,3,4,0,5,2,4,3,0
12,0.0181818181818182,0,0.183333333333333,0.257575757575758,0.216049382716049,0.473625140291807,0.0181818181818182,0.325221238938053,0.0909090909090909,0.0909090909090909,"KT",2020,7,60558,7,0,1,0,1,0,3,0,1,0,0
23,0.0181818181818182,0,0.239130434782609,0.308300395256917,0.281803542673108,0.590103937930025,0.0181818181818182,0.325221238938053,0.0909090909090909,0.0909090909090909,"KT",2020,8,60558,7,3,2,0,2,0,2,3,4,2,5
18,0.0181818181818182,0,0.244444444444444,0.313131313131313,0.288065843621399,0.601197156752712,0.0181818181818182,0.325221238938053,0.0909090909090909,0.0909090909090909,"KT",2020,9,60558,7,2,2,0,2,4,2,4,5,4,2
16,0.0181818181818182,0,0.20625,0.278409090909091,0.243055555555556,0.521464646464646,0.0181818181818182,0.325221238938053,0.0909090909090909,0.0909090909090909,"KT",2020,10,60558,7,2,2,0,5,3,0,4,3,2,3
7,0.0294117647058824,0,1.03030303030303,1.02941176470588,1.03030303030303,2.05971479500891,0.176470588235294,0.306625577812018,0,0,"NC",2020,7,60566,6,0,0,3,0,1,0,1,0,1,0
5,0.0294117647058824,0,1.23636363636364,1.22941176470588,1.23636363636364,2.46577540106952,0.176470588235294,0.306625577812018,0,0,"NC",2020,8,60566,6,4,4,2,3,2,0,4,2,0,2
5,0.0294117647058824,0,1.23636363636364,1.22941176470588,1.23636363636364,2.46577540106952,0.176470588235294,0.306625577812018,0,0,"NC",2020,9,60566,6,2,2,2,4,5,0,2,4,4,2
5,0.0294117647058824,0,1.23636363636364,1.22941176470588,1.23636363636364,2.46577540106952,0.176470588235294,0.306625577812018,0,0,"NC",2020,10,60566,6,1,5,0,5,5,0,0,1,5,3
60,0.0372093023255814,0.0909090909090909,0.177375,0.234767441860465,0.243043478260869,0.477810920121335,0.00930232558139535,0.309713375796178,0.145454545454545,0,"LG",2020,7,61102,7,1,0,1,0,0,0,3,3,0,0
93,0.0372093023255814,0.0909090909090909,0.203440860215054,0.259014753688422,0.278759544958703,0.537774298647125,0.00930232558139535,0.309713375796178,0.145454545454545,0,"LG",2020,8,61102,7,3,8,2,0,0,3,2,0,2,5
97,0.0372093023255814,0.0909090909090909,0.207242268041237,0.262550947015104,0.283968325115793,0.546519272130897,0.00930232558139535,0.309713375796178,0.145454545454545,0,"LG",2020,9,61102,7,2,2,2,0,6,4,2,4,2,2
78,0.0372093023255814,0.0909090909090909,0.197083333333333,0.253100775193798,0.270048309178744,0.523149084372542,0.00930232558139535,0.309713375796178,0.145454545454545,0,"LG",2020,10,61102,7,1,3,5,0,4,5,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,"LG",2020,7,61145,0,1,0,1,0,0,0,3,3,0,0
0,0,0,0,0,0,0,0,0,0,0,"LG",2020,8,61145,0,3,8,2,0,0,3,2,0,2,5
0,0,0,0,0,0,0,0,0,0,0,"LG",2020,9,61145,0,2,2,2,0,6,4,2,4,2,2
0,0,0,0,0,0,0,0,0,0,0,"LG",2020,10,61145,0,1,3,5,0,4,5,0,0,3,0
76,0.100746268656716,0.0153846153846154,0.362674883411059,0.436395326001571,0.422499454029264,0.858894780030835,0.041044776119403,0.353068592057762,0.107692307692308,0.0153846153846154,"LG",2020,7,61186,1,1,0,1,0,0,0,3,3,0,0
119,0.100746268656716,0.0153846153846154,0.337785430627947,0.414384877085162,0.393504393458628,0.80788927054379,0.041044776119403,0.353068592057762,0.107692307692308,0.0153846153846154,"LG",2020,8,61186,1,3,8,2,0,0,3,2,0,2,5
115,0.100746268656716,0.0153846153846154,0.339547789396441,0.415943380921479,0.395557459859282,0.811500840780761,0.041044776119403,0.353068592057762,0.107692307692308,0.0153846153846154,"LG",2020,9,61186,1,2,2,2,0,6,4,2,4,2,2
93,0.100746268656716,0.0153846153846154,0.345776053718071,0.421451211683518,0.402813099540445,0.824264311223963,0.041044776119403,0.353068592057762,0.107692307692308,0.0153846153846154,"LG",2020,10,61186,1,1,3,5,0,4,5,0,0,3,0
0,0.104651162790698,0.05,0,0,0,0,0.0348837209302326,0.304582210242588,0.05,0,"SS",2020,7,61197,4,2,2,0,0,0,1,0,0,0,1
0,0.104651162790698,0.05,0,0,0,0,0.0348837209302326,0.304582210242588,0.05,0,"SS",2020,8,61197,4,5,0,2,2,2,0,6,4,0,4
0,0.104651162790698,0.05,0,0,0,0,0.0348837209302326,0.304582210242588,0.05,0,"SS",2020,9,61197,4,3,4,4,2,2,4,4,2,0,2
0,0.104651162790698,0.05,0,0,0,0,0.0348837209302326,0.304582210242588,0.05,0,"SS",2020,10,61197,4,3,1,2,3,3,5,0,4,0,0
0,0.0434782608695652,0,Inf,Inf,Inf,Inf,0.130434782608696,0.276543209876543,0.2,0,"LT",2020,7,61204,6,0,1,0,0,0,1,0,1,0,3
0,0.0434782608695652,0,Inf,Inf,Inf,Inf,0.130434782608696,0.276543209876543,0.2,0,"LT",2020,8,61204,6,2,2,0,0,0,2,6,4,2,5
0,0.0434782608695652,0,Inf,Inf,Inf,Inf,0.130434782608696,0.276543209876543,0.2,0,"LT",2020,9,61204,6,2,5,4,6,0,5,0,2,2,2
0,0.0434782608695652,0,Inf,Inf,Inf,Inf,0.130434782608696,0.276543209876543,0.2,0,"LT",2020,10,61204,6,3,1,3,4,0,5,2,4,3,0
42,0.0869565217391304,0.0212765957446809,0.239795918367347,0.305900621118012,0.295918367346939,0.601818988464951,0.0597826086956522,0.329032258064516,0.170212765957447,0,"HH",2020,7,61208,7,0,2,0,1,0,0,0,3,2,0
62,0.0869565217391304,0.0212765957446809,0.234639016897081,0.301192145862553,0.289554531490015,0.590746677352568,0.0597826086956522,0.329032258064516,0.170212765957447,0,"HH",2020,8,61208,7,0,0,3,3,2,4,0,2,5,3
43,0.0869565217391304,0.0212765957446809,0.23421926910299,0.300808897876643,0.289036544850498,0.589845442727141,0.0597826086956522,0.329032258064516,0.170212765957447,0,"HH",2020,9,61208,7,0,4,2,2,2,2,6,2,3,4
35,0.0869565217391304,0.0212765957446809,0.223809523809524,0.291304347826087,0.276190476190476,0.567494824016563,0.0597826086956522,0.329032258064516,0.170212765957447,0,"HH",2020,10,61208,7,0,5,2,1,3,1,4,0,3,3
0,0,0,0,0,0,0,0,0,0,0,"WO",2020,7,61268,0,0,0,0,0,3,0,3,0,1,0
0,0,0,0,0,0,0,0,0,0,0,"WO",2020,8,61268,0,3,2,5,5,5,2,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,"WO",2020,9,61268,0,4,4,2,2,2,2,5,4,2,0
0,0,0,0,0,0,0,0,0,0,0,"WO",2020,10,61268,0,3,1,3,0,0,3,5,3,0,0
0,0,0,0,0,0,0,0,0,0,0,"NC",2020,7,61295,0,0,0,3,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,"NC",2020,10,61295,0,1,5,0,5,5,0,0,1,5,3
28,0.0454545454545455,0,0.492254733218589,0.521103896103896,0.600840336134453,1.12194423223835,0.0227272727272727,0.382801664355062,0,0.117647058823529,"SK",2020,7,61353,6,3,0,1,3,1,0,0,0,0,0
35,0.0454545454545455,0,0.454388984509466,0.48538961038961,0.554621848739495,1.04001145912911,0.0227272727272727,0.382801664355062,0,0.117647058823529,"SK",2020,8,61353,6,2,5,4,0,4,2,2,0,4,0
25,0.0454545454545455,0,0.508915662650602,0.536818181818182,0.621176470588235,1.15799465240642,0.0227272727272727,0.382801664355062,0,0.117647058823529,"SK",2020,9,61353,6,2,2,5,4,2,4,2,0,2,4
20,0.0454545454545455,0,0.583132530120482,0.606818181818182,0.711764705882353,1.31858288770053,0.0227272727272727,0.382801664355062,0,0.117647058823529,"SK",2020,10,61353,6,0,3,3,0,4,1,3,0,4,3
0,0,0,0,0,0,0,0,0,0,0,"SS",2020,7,61365,0,2,2,0,0,0,1,0,0,0,1
