year,month,T_ID,P_ID,START_CK,RELIEF_CK,CG_CK,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,VS_T_ID_HH,VS_T_ID_HT,VS_T_ID_KT,VS_T_ID_LG,VS_T_ID_LT,VS_T_ID_NC,VS_T_ID_OB,VS_T_ID_SK,VS_T_ID_SS,VS_T_ID_WO,TB_SC_B,TB_SC_T,WLS_D,WLS_L,WLS_ND,WLS_S,WLS_W
2016,4,HT,73632,2,0,0,0,15,104,29,24,10,1,0,2,4,0,0,2,1,0,2,1,0,0,0,1,10,7,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,0,0
2016,4,HT,75620,3,0,1,0,57,292,83,76,21,1,1,1,0,2,0,0,4,0,3,14,3,0,0,0,10,7,0,0,1,1,0,0,0,0,0,1,2,1,0,2,0,0,1
2016,4,HT,75668,0,2,0,0,7,34,8,8,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0
2016,4,HT,76610,2,3,0,0,49,273,73,57,13,0,0,1,3,3,1,1,12,0,2,8,1,0,0,0,5,5,0,0,0,1,1,0,1,1,0,1,3,2,0,0,1,1,3
2016,4,HT,77637,5,0,0,0,101,526,142,123,31,5,0,3,2,1,4,0,15,0,0,24,6,0,1,1,15,13,1,0,1,0,0,1,0,1,1,0,1,4,0,2,3,0,0
2016,4,HT,79617,0,2,0,0,8,38,10,8,2,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0
2016,4,HT,97336,0,8,0,1,19,111,31,29,12,0,0,0,1,2,0,0,2,0,0,5,0,0,0,0,5,4,0,0,2,1,1,0,1,2,1,0,3,5,0,2,4,2,0
2016,4,KT,60264,4,0,0,0,61,327,88,79,21,2,0,3,1,0,2,0,5,0,2,12,1,0,1,0,7,7,0,1,0,1,0,0,0,1,1,0,1,3,0,0,3,0,1
2016,4,KT,64001,0,16,0,4,53,275,72,63,14,3,1,2,1,1,1,0,6,0,2,14,3,0,0,0,7,7,0,2,0,2,1,0,2,3,4,2,9,7,0,1,15,0,0
2016,4,KT,64017,0,8,0,0,21,163,37,28,13,1,0,0,0,0,2,2,4,0,1,4,2,0,0,0,6,5,0,1,0,0,2,0,1,1,2,1,6,2,0,0,8,0,0
2016,4,KT,65042,0,4,0,0,13,60,17,16,3,2,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2,0,2,2,0,0,4,0,0
2016,4,KT,65048,0,2,0,0,12,52,14,14,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0
2016,4,KT,65056,4,1,0,0,57,379,87,75,23,5,0,4,3,1,0,0,10,0,2,7,2,0,0,1,12,11,0,0,0,0,1,0,1,1,1,1,3,2,0,2,3,0,0
2016,4,KT,65058,2,1,0,0,28,176,50,39,11,2,0,0,1,0,4,0,6,1,1,3,0,1,1,0,11,7,0,0,0,0,0,0,0,1,2,0,2,1,0,3,0,0,0
2016,4,KT,65060,3,1,0,0,49,294,73,66,20,6,0,1,3,1,1,0,6,0,0,9,1,1,0,0,11,11,0,0,0,0,1,0,1,0,1,1,3,1,0,1,3,0,0
2016,4,KT,65062,0,10,0,0,35,205,49,45,12,2,0,1,3,1,1,1,2,0,0,16,0,1,0,0,7,6,0,1,0,1,1,0,2,3,1,1,5,5,0,0,8,1,1
2016,4,KT,65067,0,5,0,0,12,92,25,20,9,2,1,0,1,0,0,0,4,0,1,2,0,0,0,0,7,7,0,0,0,0,0,0,2,2,1,0,3,2,0,0,5,0,0
2016,4,KT,66032,3,0,0,0,50,286,75,65,20,4,1,1,1,1,0,1,7,0,2,9,2,0,0,0,11,11,0,1,0,0,0,0,0,2,0,0,2,1,0,0,1,0,2
2016,4,KT,66047,0,2,0,0,13,102,23,20,8,0,0,2,1,0,0,0,3,0,0,3,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0
2016,4,KT,66049,5,0,0,0,78,482,115,94,21,4,1,2,1,1,1,1,15,0,4,17,1,4,0,1,16,16,0,1,0,1,0,0,0,2,1,0,2,3,0,1,0,0,4
2016,4,KT,67845,4,0,0,0,67,409,96,86,21,3,1,1,1,0,2,0,7,0,1,16,1,0,0,0,9,6,0,0,0,0,1,0,1,0,1,1,3,1,0,2,0,0,2
2016,4,KT,75149,0,14,0,4,36,216,53,49,16,2,2,2,0,1,0,0,4,0,0,11,1,0,0,0,6,6,0,1,0,2,1,0,2,3,3,2,6,8,0,0,12,0,2
2016,4,KT,77318,0,13,0,1,49,279,69,56,10,5,0,0,0,1,0,0,11,3,2,17,3,2,0,0,4,3,0,2,0,2,1,0,1,4,1,2,5,8,0,2,7,4,0
2016,4,KT,77563,0,1,0,0,3,8,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2016,4,KT,79191,0,4,0,0,15,98,23,20,6,1,0,0,1,0,0,0,3,0,0,5,1,1,0,0,2,1,0,1,0,0,0,0,0,0,2,1,3,1,0,1,2,1,0
2016,4,KT,99563,0,6,0,0,28,143,38,34,8,1,0,2,2,0,1,0,3,0,0,6,2,1,0,0,5,5,0,1,0,0,0,0,0,2,2,1,5,1,0,0,6,0,0
2016,4,LG,60146,0,10,0,1,29,196,45,37,9,1,0,0,0,0,0,0,8,0,0,10,0,0,0,0,7,6,3,1,1,0,1,1,0,1,1,1,5,5,0,0,8,0,2
2016,4,LG,60181,0,4,0,0,19,96,28,25,8,1,1,1,0,0,0,1,1,0,1,3,1,0,0,0,4,4,0,1,0,0,0,2,0,0,0,1,2,2,0,0,4,0,0
2016,4,LG,61101,1,1,0,0,20,129,33,28,10,1,1,2,0,1,0,1,4,0,0,8,0,1,0,0,7,7,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0
2016,4,LG,61329,0,7,0,1,15,102,25,20,9,1,0,0,1,0,2,0,3,0,0,7,0,0,0,0,7,7,1,0,1,0,0,2,0,0,1,2,3,4,0,0,6,0,1
2016,4,LG,61891,0,12,0,0,35,194,52,45,14,3,1,0,0,0,2,0,5,0,0,11,2,2,0,0,5,4,3,1,1,0,2,1,0,2,0,2,6,6,0,1,6,4,1
2016,4,LG,62146,0,8,0,0,16,106,30,27,11,2,0,0,0,0,0,0,3,1,0,1,0,0,0,1,7,6,2,1,1,0,2,0,0,2,0,0,5,3,0,0,7,0,1
2016,4,LG,62463,4,0,0,0,56,305,79,66,17,4,0,2,1,1,2,1,9,0,1,11,3,4,0,0,10,10,1,0,1,0,0,1,0,1,0,0,2,2,0,1,2,0,1
2016,4,LG,62698,6,0,0,0,106,575,154,144,47,14,0,2,2,2,3,0,5,1,2,21,2,0,0,0,22,21,1,1,1,0,1,1,0,0,0,1,4,2,0,2,3,0,1
2016,4,LG,63111,4,0,0,0,56,335,86,74,23,2,0,3,1,0,0,2,8,0,2,21,5,2,0,0,16,12,1,1,0,0,0,0,0,1,0,1,0,4,0,3,0,0,1
2016,4,LG,66154,2,0,0,0,23,175,45,33,11,1,1,2,0,0,1,1,10,0,0,9,1,4,0,0,11,9,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0
2016,4,LG,70839,0,9,0,3,25,117,30,26,3,1,0,0,0,1,1,0,2,2,1,8,0,0,0,0,0,0,3,1,2,0,2,0,0,1,0,0,6,3,0,0,9,0,0
2016,4,LG,71118,0,11,0,2,35,189,50,44,9,1,0,1,1,0,1,0,4,3,1,12,0,0,0,0,4,4,3,1,1,0,2,1,0,1,1,1,6,5,0,0,9,1,1
2016,4,LG,73117,5,0,1,0,92,427,119,109,25,4,0,0,0,1,0,2,5,0,3,20,5,1,0,0,8,7,1,0,0,0,1,1,0,1,1,0,3,2,0,0,3,0,2
2016,4,LG,76650,0,12,0,2,23,143,37,32,10,2,0,1,0,1,0,0,5,0,0,8,0,0,0,0,6,6,2,1,1,0,2,2,0,2,1,1,6,6,0,0,12,0,0
2016,4,LG,76757,0,7,0,1,24,155,40,32,9,1,0,1,1,0,0,0,7,0,1,6,1,0,0,0,7,6,0,0,1,0,1,3,0,0,1,1,5,2,0,1,6,0,0
2016,4,LG,79140,0,2,0,0,7,38,11,9,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0
2016,4,LG,96462,0,3,0,0,15,63,19,18,5,0,0,0,0,0,0,0,1,0,0,4,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0,2,1,0
2016,4,LT,61569,0,1,0,0,6,34,9,9,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2016,4,LT,62528,1,0,0,0,9,86,16,9,2,0,0,0,0,1,0,1,6,0,0,3,0,1,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2016,4,LT,63512,0,7,0,0,29,218,51,41,13,3,0,1,0,1,0,0,9,0,1,12,0,1,0,1,9,4,2,1,1,1,0,2,0,0,0,0,4,3,0,0,7,0,0
2016,4,LT,63935,3,4,0,0,76,388,106,94,26,0,1,2,0,1,1,0,10,3,1,18,5,0,0,0,11,9,0,1,1,1,0,1,0,1,1,1,3,4,0,1,2,0,4
2016,4,LT,64021,4,0,0,0,62,417,91,74,17,6,0,0,2,0,3,0,13,0,1,22,1,2,0,0,7,7,1,0,1,0,0,0,0,1,1,0,3,1,0,1,0,0,3
2016,4,LT,64596,0,7,0,0,29,178,48,39,11,2,0,0,0,0,1,1,7,0,0,4,0,2,0,0,8,6,1,2,0,2,0,1,0,1,0,0,4,3,0,0,7,0,0
2016,4,LT,65509,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2016,4,LT,65543,6,0,0,0,98,629,154,134,40,6,2,8,6,2,0,2,16,0,2,29,0,1,0,0,28,27,1,1,0,1,0,1,0,1,0,1,4,2,0,4,1,0,1
2016,4,LT,65546,5,0,1,0,101,526,139,127,33,3,0,3,1,1,2,0,8,0,2,27,4,0,0,0,14,10,1,0,1,1,0,0,0,0,1,1,2,3,0,3,0,0,2
2016,4,LT,70615,0,5,0,1,5,45,11,7,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,2,2,3,2,0,0,5,0,0
2016,4,LT,71801,0,11,0,6,18,135,31,23,9,1,0,1,1,2,0,1,7,1,0,2,1,0,0,1,3,3,2,1,1,0,0,2,0,1,2,2,7,4,0,0,11,0,0
2016,4,LT,72535,0,14,0,4,24,156,38,28,8,1,0,1,1,1,2,1,7,2,0,5,0,0,0,0,9,8,2,2,1,1,0,2,0,2,3,1,10,4,0,1,13,0,0
2016,4,LT,72551,0,11,0,2,42,206,58,56,15,1,0,1,2,0,0,0,2,0,0,14,1,0,0,0,5,5,1,2,1,1,0,2,0,2,1,1,7,4,0,1,9,1,0
2016,4,LT,72862,0,12,0,5,41,227,54,48,11,3,0,0,1,1,1,0,4,1,1,10,1,0,0,0,3,3,1,1,1,1,0,3,0,1,2,2,6,6,0,1,10,0,1
2016,4,LT,73226,0,10,0,1,27,203,48,41,16,3,0,1,1,0,0,1,6,0,0,11,1,0,0,0,6,6,1,1,1,1,0,2,0,1,2,1,6,4,0,0,10,0,0
2016,4,LT,75321,0,8,0,0,22,137,34,29,9,1,0,2,0,0,0,1,3,0,1,10,1,0,0,0,2,2,0,1,1,1,0,2,0,1,1,1,4,4,0,0,4,4,0
2016,4,LT,77591,3,0,0,0,37,254,56,50,14,2,0,0,3,1,0,0,6,0,0,16,0,1,0,0,7,6,0,0,0,0,0,1,0,0,1,1,1,2,0,0,2,0,1
2016,4,LT,79349,3,0,0,0,27,148,41,37,12,1,0,2,0,1,0,0,3,0,1,6,1,0,0,0,6,6,0,1,0,0,0,1,0,1,0,0,3,0,0,1,2,0,0
2016,4,NC,60263,4,0,0,0,73,373,98,90,22,0,1,3,0,1,1,0,7,0,0,23,3,0,0,0,7,7,1,0,0,1,1,0,0,0,0,1,3,1,0,0,1,0,3
2016,4,NC,61323,4,0,0,0,52,300,77,61,16,2,1,2,3,0,3,0,10,1,3,7,1,0,0,0,11,11,1,0,0,0,1,0,1,1,0,0,1,3,0,1,3,0,0
2016,4,NC,62929,4,0,0,0,47,332,82,73,25,4,0,4,0,0,0,0,7,0,2,15,2,3,0,0,18,13,0,0,0,0,1,0,1,1,1,0,1,3,0,3,1,0,0
2016,4,NC,62966,0,8,0,0,24,146,40,36,13,5,1,1,0,0,1,1,1,0,1,4,0,0,0,0,10,10,2,2,0,0,1,0,1,0,1,1,5,3,0,0,7,0,1
2016,4,NC,63938,6,0,0,0,116,584,158,142,33,8,0,2,2,0,4,1,8,0,3,38,4,2,0,0,12,12,0,1,0,1,1,0,1,1,1,0,1,5,0,1,1,0,4
2016,4,NC,63959,0,11,0,1,16,106,24,22,7,2,0,0,0,0,0,2,0,0,0,11,0,0,0,1,5,2,2,1,0,2,1,0,1,0,2,2,6,5,0,0,11,0,0
2016,4,NC,64907,0,1,0,0,3,20,4,1,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2016,4,NC,65931,5,0,0,0,94,496,133,120,29,3,0,2,3,0,0,0,9,1,4,19,3,0,0,0,16,16,1,1,0,1,0,0,0,0,1,1,3,2,0,2,1,0,2
2016,4,NC,65933,0,10,0,0,23,111,29,27,6,2,0,1,0,0,1,0,1,0,0,9,0,1,0,0,3,3,1,1,0,1,2,0,2,1,1,1,4,6,0,0,10,0,0
2016,4,NC,66928,0,12,0,3,33,196,48,40,7,3,0,0,1,1,0,0,5,0,3,13,1,0,0,0,6,4,1,1,0,1,3,0,2,1,1,2,6,6,0,1,11,0,0
2016,4,NC,66960,0,2,0,0,19,123,27,23,5,0,0,0,0,1,0,1,2,0,1,4,1,1,0,0,2,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,0
2016,4,NC,75867,0,13,0,2,45,234,62,56,12,2,0,1,1,2,0,0,4,0,2,16,0,3,0,1,6,5,2,1,0,2,2,0,2,1,1,2,6,7,0,3,7,1,2
2016,4,NC,78243,0,9,0,0,35,165,47,38,5,1,0,1,1,0,0,0,5,0,4,12,1,0,0,0,1,1,1,1,0,1,2,0,1,1,2,0,3,6,0,0,8,1,0
2016,4,NC,78352,0,9,0,1,26,170,36,31,5,2,0,0,0,0,0,0,3,0,2,17,0,1,1,0,0,0,1,1,0,1,2,0,1,1,1,1,4,5,0,0,4,5,0
2016,4,OB,61214,0,5,0,0,19,90,27,24,6,1,0,0,1,0,0,0,2,0,1,1,1,1,0,0,0,0,2,0,1,0,0,1,0,0,0,1,3,2,0,0,5,0,0
2016,4,OB,61240,5,0,0,0,88,500,123,113,30,2,0,3,6,2,1,0,8,0,1,43,3,6,0,0,10,10,1,0,1,0,0,0,0,1,1,1,2,3,0,0,0,0,5
2016,4,OB,61295,0,2,0,0,2,15,4,2,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,0,0
2016,4,OB,63248,0,5,0,0,6,38,11,9,4,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,2,2,0,0,0,0,0,1,0,1,2,1,3,2,0,0,5,0,0
2016,4,OB,66226,5,0,0,0,96,498,125,116,23,3,0,1,1,1,0,2,7,0,0,26,3,2,0,1,8,4,2,1,0,0,0,1,0,0,1,0,3,2,0,1,0,0,4
2016,4,OB,73211,3,0,0,0,29,227,59,53,27,8,1,1,0,0,1,0,5,0,0,8,1,1,0,0,12,12,1,0,1,0,0,1,0,0,0,0,1,2,0,2,1,0,0
2016,4,OB,73241,0,13,0,7,58,286,74,64,9,1,1,0,2,0,1,1,5,1,3,19,1,1,0,0,4,3,3,1,1,0,0,1,0,1,3,3,9,4,1,1,11,0,0
2016,4,OB,74513,5,0,0,0,93,505,134,114,28,6,1,2,0,0,1,1,16,0,2,27,5,1,0,0,11,11,1,1,1,0,0,1,0,0,0,1,3,2,0,0,1,0,4
2016,4,OB,76329,0,11,0,0,37,208,51,48,13,2,1,1,2,1,0,0,2,0,1,12,1,0,0,0,5,5,3,1,1,0,0,1,0,2,2,1,7,4,0,0,4,6,1
2016,4,OB,77263,0,9,0,2,31,185,48,38,13,3,1,0,1,1,1,2,6,0,1,7,2,3,0,0,8,6,2,0,2,0,0,1,0,0,3,1,3,6,0,1,8,0,0
2016,4,OB,78257,0,4,0,0,22,122,31,26,4,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,3,0,0,4,0,0
2016,4,OB,79229,5,0,0,0,88,486,130,114,32,4,1,1,0,1,4,0,11,0,1,18,3,1,0,1,15,14,1,0,0,0,0,0,0,1,2,1,4,1,0,0,3,0,2
2016,4,OB,79293,0,11,0,4,36,166,47,43,10,0,0,1,2,0,0,0,2,0,2,11,2,0,0,0,2,2,4,1,2,0,0,1,0,1,0,2,6,5,0,0,10,0,1
2016,4,OB,79535,1,5,0,0,43,202,55,53,11,2,1,2,1,1,0,0,2,0,0,10,0,0,0,0,5,5,1,0,2,0,0,1,0,1,0,1,3,3,0,1,5,0,0
2016,4,SK,60841,5,0,0,0,87,513,126,107,23,6,0,2,1,0,0,0,14,0,5,25,3,0,0,1,10,10,0,0,2,1,0,0,1,0,0,1,3,2,0,0,2,0,3
2016,4,SK,62056,0,6,0,0,19,95,21,19,2,0,0,1,0,1,0,0,2,0,0,4,0,0,0,0,1,1,0,2,2,0,1,1,0,0,0,0,4,2,0,0,5,0,1
2016,4,SK,62869,2,0,0,0,31,172,47,37,10,2,0,1,0,1,2,0,5,0,2,7,1,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,0,0
2016,4,SK,63810,5,0,0,0,99,479,136,127,28,3,0,2,2,2,0,2,6,0,1,26,1,5,0,2,16,12,0,0,1,1,1,1,0,0,0,1,2,3,0,1,1,0,3
2016,4,SK,64893,0,11,0,1,39,192,53,48,13,2,0,0,1,0,0,1,2,0,2,7,1,0,0,0,5,5,0,1,4,0,1,1,2,0,0,2,6,5,0,1,10,0,0
2016,4,SK,65856,5,0,0,0,97,488,131,118,28,3,0,1,1,1,1,0,9,0,3,22,5,0,0,0,12,10,0,1,1,1,0,0,1,0,0,1,4,1,0,1,3,0,1
2016,4,SK,71845,0,12,0,1,44,234,60,54,15,2,0,2,1,1,0,0,6,0,0,15,4,0,0,0,4,4,0,2,3,1,1,1,1,0,0,3,8,4,0,0,11,0,1
2016,4,SK,72523,0,2,0,0,7,66,16,15,7,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,6,6,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0
2016,4,SK,73248,0,8,0,2,22,131,30,27,7,1,0,1,0,0,0,1,2,0,0,4,1,1,0,0,4,4,0,1,1,1,1,1,1,0,0,2,5,3,0,1,7,0,0
2016,4,SK,74838,2,0,0,0,16,101,28,24,10,1,0,6,0,1,1,0,3,0,0,2,0,0,0,0,9,9,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
2016,4,SK,75138,0,12,0,2,16,118,26,16,2,0,0,1,1,0,1,0,9,0,0,6,1,1,0,1,3,3,0,2,3,0,0,1,3,0,0,3,7,5,0,0,12,0,0
2016,4,SK,75250,0,11,0,3,33,159,45,35,9,1,0,1,0,3,3,1,4,0,2,6,1,1,0,1,6,5,0,1,3,2,1,1,2,0,0,1,7,4,0,1,7,1,2
2016,4,SK,75340,0,5,0,0,10,66,16,14,4,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,2,3,2,0,1,4,0,0
2016,4,SK,76858,0,10,0,0,34,176,44,36,3,1,0,0,1,0,1,0,7,1,0,5,0,1,0,1,0,0,0,1,1,3,1,2,0,0,0,2,7,3,0,0,3,6,1
2016,4,SK,77829,6,0,0,0,116,604,154,139,32,4,0,5,2,1,1,1,10,0,3,36,4,0,0,1,13,13,0,1,1,0,1,1,0,0,0,2,4,2,0,2,0,0,4
2016,4,SK,79847,0,1,0,0,3,15,5,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
2016,4,SS,61365,0,10,0,1,26,162,48,42,18,7,0,0,0,0,0,0,4,0,2,2,0,0,0,0,11,11,1,2,2,0,2,1,2,0,0,0,3,7,0,0,10,0,0
2016,4,SS,61411,0,8,0,4,21,148,33,29,9,3,0,2,1,1,0,0,4,0,0,9,0,0,0,0,5,5,2,0,1,1,1,1,2,0,0,0,3,5,0,0,7,0,1
2016,4,SS,61457,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2016,4,SS,66402,5,0,0,0,102,506,139,122,28,5,0,3,7,1,1,0,15,0,1,31,6,0,1,0,12,12,0,1,0,1,1,1,1,0,0,0,3,2,0,1,2,0,2
2016,4,SS,66440,3,0,0,0,37,256,66,51,20,4,0,1,2,2,0,3,12,0,0,5,2,2,0,0,14,11,0,0,1,0,1,0,1,0,0,0,0,3,0,3,0,0,0
