"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","BB","HP","KK","BK","PA","R","ER","SF","stadium_MH","stadium_MS","stadium_JS","stadium_SW","stadium_DJ","stadium_DG","stadium_GJ","stadium_GC","stadium_SJ","stadium_PH","stadium_US","stadium_CJ","stadium_CW","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","HOME","AWAY"
2016,4,63638,"HT",7,3,1,0,0,3,1,0,0,11,3,3,0,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,63791,"HH",40,9,2,0,0,5,0,11,0,45,5,5,0,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,63810,"SK",127,28,3,0,2,6,1,26,0,136,16,12,2,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,63935,"LT",94,26,0,1,2,10,1,18,0,106,11,9,1,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,63938,"NC",142,33,8,0,2,8,3,38,0,158,12,12,5,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,63959,"NC",22,7,2,0,0,0,0,11,0,24,5,2,2,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,64001,"KT",63,14,3,1,2,6,2,14,0,72,7,7,1,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,64017,"KT",28,13,1,0,0,4,1,4,0,37,6,5,4,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,64021,"LT",74,17,6,0,0,13,1,22,0,91,7,7,3,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,64350,"WO",54,18,6,0,0,3,0,6,0,57,8,6,0,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,64596,"LT",39,11,2,0,0,7,0,4,0,48,8,6,2,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,64893,"SK",48,13,2,0,0,2,2,7,0,53,5,5,1,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,64907,"NC",1,0,0,0,0,2,0,1,0,4,0,0,1,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,65042,"KT",16,3,2,0,0,1,0,5,0,17,1,1,0,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,65048,"KT",14,2,0,0,0,0,0,1,0,14,1,1,0,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,65056,"KT",75,23,5,0,4,10,2,7,0,87,12,11,0,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,65058,"KT",39,11,2,0,0,6,1,3,1,50,11,7,4,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,65060,"KT",66,20,6,0,1,6,0,9,0,73,11,11,1,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,65062,"KT",45,12,2,0,1,2,0,16,0,49,7,6,2,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,65067,"KT",20,9,2,1,0,4,1,2,0,25,7,7,0,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,65331,"WO",145,43,8,0,4,6,1,25,0,153,15,14,1,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,65343,"WO",36,11,1,0,2,6,0,8,0,44,9,7,2,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,65348,"WO",80,22,2,0,3,4,1,15,0,85,9,9,0,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,65509,"LT",1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,65543,"LT",134,40,6,2,8,16,2,29,0,154,28,27,2,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,65546,"LT",127,33,3,0,3,8,2,27,0,139,14,10,2,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,65696,"HT",0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,65764,"HH",35,15,2,0,2,8,0,6,0,44,14,13,1,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,65856,"SK",118,28,3,0,1,9,3,22,0,131,12,10,1,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,65931,"NC",120,29,3,0,2,9,4,19,0,133,16,16,0,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,65933,"NC",27,6,2,0,1,1,0,9,0,29,3,3,1,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,66032,"KT",65,20,4,1,1,7,2,9,0,75,11,11,1,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,66047,"KT",20,8,0,0,2,3,0,3,0,23,3,3,0,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,66049,"KT",94,21,4,1,2,15,4,17,0,115,16,16,2,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,66154,"LG",33,11,1,1,2,10,0,9,0,45,11,9,2,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,66226,"OB",116,23,3,0,1,7,0,26,0,125,8,4,2,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,66323,"WO",93,22,3,0,3,15,2,25,0,112,14,11,2,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,66402,"SS",122,28,5,0,3,15,1,31,1,139,12,12,1,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,66440,"SS",51,20,4,0,1,12,0,5,0,66,14,11,3,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,66493,"SS",4,1,0,0,0,0,0,2,0,4,0,0,0,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,66628,"HT",124,32,4,0,6,15,0,32,0,142,16,15,3,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,66643,"HT",127,40,7,0,1,9,1,20,0,141,18,17,4,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,66741,"HH",18,7,2,0,1,7,3,1,0,28,7,7,0,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,66748,"HH",93,26,1,0,4,17,1,20,0,114,21,14,3,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,66928,"NC",40,7,3,0,0,5,3,13,0,48,6,4,0,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,66960,"NC",23,5,0,0,0,2,1,4,0,27,2,2,1,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,67845,"KT",86,21,3,1,1,7,1,16,0,96,9,6,2,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,70142,"HT",23,9,1,0,1,1,0,5,0,24,3,3,0,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,70615,"LT",7,2,0,0,1,4,0,0,0,11,2,2,0,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,70839,"LG",26,3,1,0,0,2,1,8,0,30,0,0,1,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,71118,"LG",44,9,1,0,1,4,1,12,0,50,4,4,1,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,71260,"HH",36,12,2,1,2,6,1,5,0,44,7,6,1,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,71801,"LT",23,9,1,0,1,7,0,2,0,31,3,3,1,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,71845,"SK",54,15,2,0,2,6,0,15,0,60,4,4,0,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,71851,"SS",31,8,3,0,1,3,1,7,0,35,4,4,0,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,72447,"HH",68,16,3,0,2,11,2,13,0,85,9,7,4,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,72463,"SS",33,8,2,0,1,2,1,12,0,36,5,5,0,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,72523,"SK",15,7,1,0,1,1,0,3,0,16,6,6,0,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,72535,"LT",28,8,1,0,1,7,0,5,0,38,9,8,3,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,72551,"LT",56,15,1,0,1,2,0,14,0,58,5,5,0,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,72749,"WO",25,7,3,0,2,2,0,6,0,28,5,4,1,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,72862,"LT",48,11,3,0,0,4,1,10,0,54,3,3,1,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,73117,"LG",109,25,4,0,0,5,3,20,0,119,8,7,2,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,73211,"OB",53,27,8,1,1,5,0,8,0,59,12,12,1,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,73226,"LT",41,16,3,0,1,6,0,11,0,48,6,6,1,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,73241,"OB",64,9,1,1,0,5,3,19,0,74,4,3,2,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,73248,"SK",27,7,1,0,1,2,0,4,0,30,4,4,1,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,73632,"HT",24,10,1,0,2,1,2,1,0,29,10,7,2,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,73738,"HH",3,2,1,0,0,1,0,0,0,5,2,1,1,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,73750,"HH",28,6,0,0,1,2,2,4,0,32,3,3,0,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,73801,"HH",97,28,4,1,5,12,1,21,0,111,18,18,1,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,74167,"HH",42,9,2,0,0,8,0,14,0,51,6,3,1,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,74359,"WO",16,4,1,0,1,1,0,3,0,17,3,3,0,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,74454,"SS",121,28,5,0,5,5,2,16,0,130,14,12,2,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,74513,"OB",114,28,6,1,2,16,2,27,0,134,11,11,2,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,74630,"SS",21,5,0,0,0,4,0,10,0,25,4,4,0,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,74731,"HH",78,23,2,0,5,15,1,18,0,96,20,17,2,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,74838,"SK",24,10,1,0,6,3,0,2,0,28,9,9,1,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,74857,"HH",47,6,4,0,0,1,0,19,0,50,3,2,2,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,75138,"SK",16,2,0,0,1,9,0,6,0,26,3,3,1,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,75149,"KT",49,16,2,2,2,4,0,11,0,53,6,6,0,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,75250,"SK",35,9,1,0,1,4,2,6,0,45,6,5,4,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,75268,"SS",12,5,1,0,0,1,0,3,0,13,2,2,0,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,75321,"LT",29,9,1,0,2,3,1,10,0,34,2,2,1,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,75340,"SK",14,4,1,0,0,2,0,4,0,16,1,1,0,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,75342,"WO",46,13,0,1,0,5,1,9,0,52,6,5,0,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,75620,"HT",76,21,1,1,1,4,3,14,0,83,10,7,0,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,75668,"HT",8,1,0,0,0,0,0,2,0,8,0,0,0,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,75750,"WO",83,28,8,0,1,7,0,6,0,92,16,15,2,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,75867,"NC",56,12,2,0,1,4,2,16,0,62,6,5,0,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,76329,"OB",48,13,2,1,1,2,1,12,0,51,5,5,0,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,76350,"WO",46,12,2,1,0,0,0,12,0,47,4,3,1,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,76355,"SS",69,24,0,1,3,4,0,9,0,75,16,15,2,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,76430,"WO",57,16,3,0,2,3,0,20,0,61,7,7,1,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,76455,"SS",66,13,3,0,1,9,0,13,0,78,8,7,3,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,76610,"HT",57,13,0,0,1,12,2,8,0,73,5,5,2,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,76650,"LG",32,10,2,0,1,5,0,8,0,37,6,6,0,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,76757,"LG",32,9,1,0,1,7,1,6,0,40,7,6,0,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,76858,"SK",36,3,1,0,0,7,0,5,0,44,0,0,1,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,77263,"OB",38,13,3,1,0,6,1,7,0,48,8,6,3,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,77318,"KT",56,10,5,0,0,11,2,17,0,69,4,3,0,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,77446,"SS",32,10,2,0,0,2,0,11,0,34,1,1,0,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,77563,"KT",3,0,0,0,0,0,0,1,0,3,0,0,0,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,77591,"LT",50,14,2,0,0,6,0,16,0,56,7,6,0,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,77637,"HT",123,31,5,0,3,15,0,24,1,142,15,13,4,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,77829,"SK",139,32,4,0,5,10,3,36,0,154,13,13,2,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,77927,"SS",56,19,2,0,1,3,1,7,0,60,8,8,0,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,78243,"NC",38,5,1,0,1,5,4,12,0,47,1,1,0,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,78257,"OB",26,4,0,0,0,5,0,4,0,31,0,0,0,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,78352,"NC",31,5,2,0,0,3,2,17,1,36,0,0,0,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,78760,"HH",9,4,3,0,0,1,0,1,0,11,4,4,1,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,79140,"LG",9,3,0,0,0,1,0,0,0,11,2,2,1,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,79191,"KT",20,6,1,0,0,3,0,5,0,23,2,1,0,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,79229,"OB",114,32,4,1,1,11,1,18,0,130,15,14,4,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,79293,"OB",43,10,0,0,1,2,2,11,0,47,2,2,0,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
