"","year","P_ID","PA","AB","BB","HP","HIT","HR","KK"
"247",2016,77243,13,11,2,0,3,0,2
"248",2016,78756,9,6,1,1,1,0,1
"249",2016,79764,0,0,0,0,0,0,0
"250",2016,98144,47,47,0,0,9,2,10
"251",2016,60605,1,1,0,0,0,0,0
"252",2016,61652,6,5,0,0,1,0,2
"253",2016,61743,75,69,5,1,19,2,18
"254",2016,62668,12,10,2,0,2,0,0
"255",2016,63634,34,30,3,0,9,1,9
"256",2016,63636,12,10,2,0,3,0,2
"257",2016,63638,0,0,0,0,0,0,0
"258",2016,63704,24,21,1,1,3,0,8
"259",2016,63722,2,1,0,0,0,0,0
"260",2016,64610,78,68,6,0,20,0,9
"261",2016,64646,0,0,0,0,0,0,0
"262",2016,64699,99,89,7,1,27,2,16
"263",2016,65610,7,7,0,0,3,1,3
"264",2016,65653,109,99,5,4,33,1,21
"265",2016,66606,0,0,0,0,0,0,0
"266",2016,66657,6,5,1,0,0,0,1
"267",2016,70410,106,94,8,1,36,5,11
"268",2016,70756,90,84,5,1,26,4,14
"269",2016,71184,31,26,2,1,6,0,3
"270",2016,72303,9,8,0,0,3,0,2
"271",2016,72321,0,0,0,0,0,0,0
"272",2016,72559,1,0,0,1,0,0,0
"273",2016,73606,88,67,16,1,24,3,13
"274",2016,74605,54,48,4,1,13,2,8
"275",2016,77648,10,8,2,0,1,0,2
"276",2016,78629,110,84,20,6,22,7,17
"277",2016,78643,34,27,6,0,7,1,5
"278",2016,60343,5,4,1,0,0,0,3
"279",2016,62265,19,16,2,1,7,0,0
"280",2016,63448,2,2,0,0,0,0,0
"281",2016,64004,11,11,0,0,2,0,3
"282",2016,64006,14,13,1,0,4,0,5
"283",2016,64007,10,9,0,1,1,0,3
"284",2016,64017,0,0,0,0,0,0,0
"285",2016,64166,5,4,1,0,2,0,1
"286",2016,65005,97,84,11,0,22,5,10
"287",2016,65042,0,0,0,0,0,0,0
"288",2016,66047,0,0,0,0,0,0,0
"289",2016,70553,81,66,11,1,22,2,15
"290",2016,70646,99,88,10,1,24,5,17
"291",2016,73113,82,71,10,0,22,3,14
"292",2016,73153,114,105,7,1,39,0,17
"293",2016,74339,12,12,0,0,2,0,1
"294",2016,76304,9,9,0,0,1,0,7
"295",2016,77609,32,29,1,0,9,0,9
"296",2016,78361,65,57,6,1,20,1,10
"297",2016,78517,38,34,3,0,6,2,14
"298",2016,78892,22,19,3,0,3,0,3
"299",2016,79364,81,70,8,0,20,0,12
"300",2016,79453,101,88,10,0,29,3,11
"301",2016,99563,0,0,0,0,0,0,0
"302",2016,99810,80,66,13,0,19,3,10
"303",2016,60146,0,0,0,0,0,0,0
"304",2016,61102,17,15,0,2,4,0,3
"305",2016,61186,27,21,5,0,5,0,6
"306",2016,62007,3,3,0,0,0,0,0
"307",2016,62164,44,34,10,0,3,0,9
"308",2016,63077,10,10,0,0,2,0,0
"309",2016,64153,6,6,0,0,1,0,3
"310",2016,65103,94,84,6,2,31,5,7
"311",2016,65115,14,13,1,0,2,0,2
"312",2016,71842,37,30,2,2,5,0,5
"313",2016,72133,94,87,5,1,30,2,12
"314",2016,72456,78,68,7,1,30,0,7
"315",2016,73824,33,30,1,0,5,0,9
"316",2016,74823,56,51,4,0,14,0,6
"317",2016,76100,80,63,14,3,15,1,18
"318",2016,78135,13,10,1,1,2,1,1
"319",2016,78217,17,15,2,0,5,0,3
"320",2016,79109,84,69,9,3,11,0,20
"321",2016,79113,20,18,2,0,6,1,5
"322",2016,79150,24,21,2,0,8,0,4
"323",2016,79192,73,68,3,1,21,2,16
"324",2016,99606,80,74,4,0,22,2,14
"325",2016,60523,91,77,9,4,21,0,9
"326",2016,61554,6,5,0,0,1,0,1
"327",2016,62558,2,2,0,0,1,0,0
"328",2016,62559,100,91,6,1,32,3,17
"329",2016,64022,10,10,0,0,2,0,2
"330",2016,65503,7,7,0,0,0,0,4
"331",2016,65513,23,21,2,0,4,0,11
"332",2016,65523,107,94,10,1,24,5,20
"333",2016,71552,107,92,13,1,26,8,32
"334",2016,71562,5,5,0,0,0,0,2
"335",2016,72546,53,43,6,0,15,1,5
"336",2016,74540,93,70,20,2,25,3,15
"337",2016,75321,0,0,0,0,0,0,0
"338",2016,76313,44,43,1,0,13,1,7
"339",2016,76435,26,21,4,0,5,0,7
"340",2016,76509,114,101,11,2,39,1,7
"341",2016,76536,53,48,1,3,10,0,9
"342",2016,77532,108,84,22,1,22,2,13
"343",2016,77669,5,4,1,0,0,0,2
"344",2016,78566,5,5,0,0,0,0,2
"345",2016,78850,7,6,1,0,2,0,2
"346",2016,62016,2,2,0,0,1,1,1
"347",2016,62907,110,91,11,2,32,0,13
"348",2016,62908,1,1,0,0,0,0,1
"349",2016,62917,2,2,0,0,0,0,1
"350",2016,62934,10,10,0,0,0,0,3
"351",2016,62947,112,95,14,2,37,9,21
"352",2016,63920,77,59,17,1,15,0,15
"353",2016,64914,101,78,17,3,33,10,14
"354",2016,64944,7,7,0,0,3,0,0
"355",2016,64995,0,0,0,0,0,0,0
"356",2016,66928,0,0,0,0,0,0,0
"357",2016,66965,3,3,0,0,0,0,2
"358",2016,73213,87,73,9,4,28,1,7
"359",2016,73306,55,50,2,0,16,2,10
"360",2016,73339,96,83,12,0,24,0,10
"361",2016,74223,12,10,1,0,1,1,1
"362",2016,74465,73,62,7,2,15,3,13
"363",2016,75441,19,13,4,2,4,0,3
"364",2016,75852,0,0,0,0,0,0,0
"365",2016,77454,41,38,3,0,9,0,8
"366",2016,78122,76,61,5,3,18,0,8
"367",2016,78243,0,0,0,0,0,0,0
"368",2016,94629,103,91,12,0,28,4,19
"369",2016,61204,2,2,0,0,0,0,1
"370",2016,61208,0,0,0,0,0,0,0
"371",2016,61214,0,0,0,0,0,0,0
"372",2016,61295,0,0,0,0,0,0,0
"373",2016,62234,15,15,0,0,4,0,4
"374",2016,62244,14,12,2,0,2,0,3
"375",2016,64213,10,8,1,0,2,0,2
"376",2016,66203,5,3,2,0,0,0,2
"377",2016,66209,7,7,0,0,4,0,1
"378",2016,66244,89,77,10,1,27,7,20
"379",2016,74206,88,70,13,2,20,1,8
"380",2016,75334,65,52,12,1,17,4,9
"381",2016,76232,83,78,4,0,27,6,8
"382",2016,76249,113,101,11,1,39,5,18
"383",2016,76267,29,24,4,0,9,0,2
"384",2016,77248,94,77,14,1,25,1,11
"385",2016,78224,103,94,8,0,35,10,22
"386",2016,78288,12,11,1,0,2,0,1
"387",2016,79215,102,90,7,3,32,5,17
"388",2016,79231,74,69,3,2,19,0,5
"389",2016,79240,103,94,6,2,30,0,8
"390",2016,79290,2,2,0,0,0,0,0
"391",2016,99222,23,20,3,0,5,0,2
"392",2016,62864,39,32,5,0,4,0,9
"393",2016,62893,63,53,4,3,17,0,19
"394",2016,64802,2,2,0,0,1,0,1
"395",2016,64893,0,0,0,0,0,0,0
"396",2016,64895,24,23,1,0,4,0,9
"397",2016,65464,4,4,0,0,1,0,1
"398",2016,65869,1,1,0,0,0,0,1
"399",2016,66805,67,62,5,0,18,4,14
"400",2016,71837,23,18,3,1,10,1,3
"401",2016,71848,54,44,3,1,8,0,4
"402",2016,71857,79,73,5,0,24,3,7
"403",2016,72860,7,6,1,0,0,0,1
"404",2016,74846,87,80,7,0,18,3,18
"405",2016,75138,0,0,0,0,0,0,0
"406",2016,75151,100,96,2,0,35,5,16
"407",2016,75250,0,0,0,0,0,0,0
"408",2016,75340,0,0,0,0,0,0,0
"409",2016,75847,108,84,17,4,25,9,25
"410",2016,76158,47,39,6,1,9,4,8
"411",2016,76802,87,74,8,0,28,1,7
"412",2016,76812,71,61,6,1,10,2,12
"413",2016,76849,65,57,5,2,14,0,4
"414",2016,76858,0,0,0,0,0,0,0
"415",2016,76869,14,10,2,1,2,1,5
"416",2016,79847,0,0,0,0,0,0,0
"417",2016,60456,97,77,13,1,19,0,12
"418",2016,61463,1,0,0,0,0,0,0
"419",2016,62404,100,81,17,1,31,3,11
"420",2016,62406,9,7,1,1,2,0,2
"421",2016,62415,104,89,11,0,34,0,12
"422",2016,63440,33,30,2,1,8,0,5
"423",2016,64468,0,0,0,0,0,0,0
"424",2016,64493,6,6,0,0,0,0,3
"425",2016,64499,92,78,4,4,20,0,17
"426",2016,65412,0,0,0,0,0,0,0
"427",2016,66452,11,10,1,0,1,0,0
"428",2016,71432,37,33,3,0,10,1,4
"429",2016,72443,119,97,18,2,35,5,17
"430",2016,72466,95,84,8,1,28,5,17
"431",2016,74158,24,22,1,0,6,1,6
"432",2016,78467,17,16,0,1,2,1,7
"433",2016,79456,80,77,1,2,22,1,5
"434",2016,79465,129,107,19,2,31,2,14
"435",2016,95436,117,98,16,1,28,5,17
"436",2016,61353,91,85,3,1,23,1,21
"437",2016,61366,9,8,0,1,2,0,3
"438",2016,62302,2,2,0,0,0,0,1
"439",2016,62332,9,9,0,0,0,0,2
"440",2016,62353,46,35,7,0,13,0,6
"441",2016,64300,96,83,12,0,25,5,17
"442",2016,64346,69,57,8,0,19,4,18
"443",2016,65399,17,14,3,0,2,0,5
"444",2016,66306,90,78,12,0,22,3,15
"445",2016,72749,0,0,0,0,0,0,0
"446",2016,73342,86,79,7,0,26,1,16
"447",2016,74215,14,14,0,0,3,1,2
"448",2016,76368,20,17,3,0,1,0,1
"449",2016,77463,91,80,9,0,18,0,19
"450",2016,77564,101,95,4,0,27,2,14
"451",2016,78168,115,101,11,2,35,2,10
"452",2016,79130,2,1,1,0,0,0,1
"453",2016,79300,10,9,1,0,3,0,2
"454",2016,79365,90,86,3,1,20,4,23
"455",2016,60404,13,12,1,0,1,0,4
"456",2016,60667,5,5,0,0,2,0,1
"457",2016,61700,33,28,1,0,2,0,16
"458",2016,62700,52,49,0,3,10,2,19
"459",2016,62797,101,90,6,1,18,1,17
"460",2016,63700,30,26,3,0,7,0,3
"461",2016,64086,19,15,1,1,2,1,6
"462",2016,64717,0,0,0,0,0,0,0
"463",2016,65707,1,1,0,0,0,0,0
"464",2016,66740,107,98,6,2,34,7,18
"465",2016,71347,20,20,0,0,5,0,5
"466",2016,71610,11,10,1,0,5,0,2
"467",2016,71752,110,91,17,2,34,3,18
"468",2016,73136,32,28,3,1,6,2,12
"469",2016,73602,66,58,6,0,13,2,14
"470",2016,74163,109,94,13,2,40,1,5
"471",2016,74756,1,1,0,0,0,0,1
"472",2016,75808,118,106,10,1,33,5,10
"473",2016,76753,89,84,3,0,25,6,16
"474",2016,77243,3,3,0,0,1,0,2
"475",2016,78756,1,1,0,0,0,0,0
"476",2016,95158,12,11,0,1,3,0,4
"477",2016,98144,32,29,2,0,4,0,10
"478",2016,60605,6,5,1,0,0,0,1
"479",2016,60636,0,0,0,0,0,0,0
"480",2016,60658,3,3,0,0,0,0,0
"481",2016,61652,4,4,0,0,0,0,1
"482",2016,61743,8,8,0,0,1,0,2
"483",2016,62668,3,3,0,0,0,0,0
"484",2016,63634,80,72,5,1,25,4,14
"485",2016,63636,54,45,5,3,9,0,8
"486",2016,63704,24,20,2,0,7,0,2
"487",2016,63722,14,13,1,0,2,0,4
"488",2016,64610,36,35,0,0,6,0,10
"489",2016,64646,9,7,2,0,1,0,2
"490",2016,64699,103,91,9,2,26,5,10
"491",2016,65653,115,100,8,3,28,1,24
"492",2016,66606,7,7,0,0,2,0,2
"493",2016,66657,23,20,2,0,3,0,7
"494",2016,70410,106,98,5,2,34,4,14
"495",2016,70756,101,85,13,1,26,8,9
"496",2016,72559,31,26,3,2,12,0,4
"497",2016,73606,98,84,14,0,20,2,21
"498",2016,74605,51,50,1,0,12,1,11
"499",2016,76610,0,0,0,0,0,0,0
"500",2016,77648,16,14,0,0,3,0,3
"501",2016,78629,85,68,13,4,21,4,19
"502",2016,78643,12,10,1,0,0,0,4
"503",2016,60343,28,27,1,0,7,1,6
"504",2016,60496,16,12,3,0,2,0,2
"505",2016,62265,55,45,8,1,11,0,7
"506",2016,63088,5,5,0,0,1,0,0
"507",2016,64004,13,12,1,0,1,0,3
"508",2016,64006,36,34,0,0,4,0,4
"509",2016,64166,14,13,1,0,4,0,5
"510",2016,65005,91,73,15,1,21,4,10
"511",2016,65056,0,0,0,0,0,0,0
"512",2016,65058,1,1,0,0,0,0,1
"513",2016,65062,0,0,0,0,0,0,0
"514",2016,70553,59,54,2,0,17,0,7
"515",2016,70646,45,43,2,0,8,1,8
"516",2016,73113,98,80,13,3,23,7,15
"517",2016,73153,107,99,4,1,30,1,19
"518",2016,74339,54,49,5,0,13,2,7
"519",2016,76304,8,7,0,1,2,0,3
"520",2016,77462,17,15,1,1,1,1,6
"521",2016,77609,14,13,0,0,1,0,5
"522",2016,78361,86,79,6,1,20,1,21
"523",2016,78517,12,11,1,0,2,0,4
"524",2016,78892,2,1,1,0,0,0,0
"525",2016,79364,61,50,7,2,12,0,11
"526",2016,79453,80,71,7,0,20,1,7
"527",2016,99810,36,33,3,0,13,0,4
"528",2016,60100,7,5,1,1,2,1,1
"529",2016,61102,39,34,3,0,15,4,5
"530",2016,61186,19,18,1,0,4,0,2
"531",2016,61891,0,0,0,0,0,0,0
"532",2016,62164,14,14,0,0,3,1,6
"533",2016,62698,0,0,0,0,0,0,0
"534",2016,63077,2,2,0,0,0,0,0
"535",2016,63123,24,22,1,0,5,0,5
"536",2016,64100,22,22,0,0,7,0,6
"537",2016,64115,6,6,0,0,0,0,2
"538",2016,65103,115,107,7,1,41,6,11
"539",2016,66145,0,0,0,0,0,0,0
"540",2016,71842,27,22,2,1,5,0,7
"541",2016,72133,87,79,7,1,30,3,6
"542",2016,72456,93,83,6,1,25,0,7
"543",2016,73824,12,11,1,0,2,0,5
"544",2016,74823,48,44,3,1,10,0,10
"545",2016,76100,96,78,13,4,24,0,26
"546",2016,78217,59,52,5,0,13,0,10
"547",2016,79109,39,29,8,0,4,0,11
"548",2016,79113,44,38,3,0,9,0,7
"549",2016,79140,0,0,0,0,0,0,0
"550",2016,79150,77,68,8,0,17,0,16
"551",2016,79192,102,92,8,1,37,2,16
"552",2016,79198,11,9,0,0,3,0,2
"553",2016,99606,83,73,8,2,24,0,8
"554",2016,60523,85,68,13,3,21,0,12
"555",2016,61554,5,5,0,0,1,0,2
"556",2016,62558,35,27,7,0,7,1,11
"557",2016,62559,87,78,8,0,17,1,26
"558",2016,65506,12,11,1,0,2,0,4
"559",2016,65523,68,65,1,0,21,0,16
"560",2016,71552,60,47,12,0,13,1,13
"561",2016,71562,36,36,0,0,13,1,0
"562",2016,71565,33,26,2,3,8,0,3
"563",2016,72546,87,76,7,0,25,1,7
"564",2016,74540,86,78,7,1,26,2,20
"565",2016,75321,0,0,0,0,0,0,0
"566",2016,76313,116,101,13,0,33,6,11
"567",2016,76435,30,27,1,0,8,0,9
"568",2016,76509,117,105,11,0,28,2,17
"569",2016,76536,20,19,0,0,8,0,2
"570",2016,77532,118,107,10,0,29,2,22
"571",2016,77669,2,2,0,0,1,0,1
"572",2016,78850,10,9,1,0,1,0,3
"573",2016,79356,9,8,1,0,0,0,3
"574",2016,62016,5,5,0,0,0,0,2
"575",2016,62907,73,63,7,1,18,0,12
"576",2016,62908,7,7,0,0,1,0,4
"577",2016,62934,64,59,4,0,15,3,8
"578",2016,62947,109,96,12,1,34,4,27
"579",2016,62966,0,0,0,0,0,0,0
"580",2016,63920,52,40,12,0,12,0,8
"581",2016,63950,0,0,0,0,0,0,0
"582",2016,64914,82,59,18,3,17,7,12
"583",2016,64984,2,2,0,0,1,0,0
"584",2016,73213,82,70,10,0,20,0,13
"585",2016,73306,68,60,5,2,9,1,14
"586",2016,73339,99,85,11,0,27,3,20
"587",2016,74223,25,22,3,0,4,0,3
"588",2016,74465,98,88,8,2,33,6,18
"589",2016,75441,41,36,4,0,13,2,8
"590",2016,77454,9,7,2,0,2,0,1
"591",2016,78122,61,54,3,1,10,0,8
"592",2016,78352,0,0,0,0,0,0,0
"593",2016,78813,1,1,0,0,0,0,1
"594",2016,94629,80,71,8,0,22,6,14
"595",2016,61204,3,3,0,0,0,0,1
"596",2016,61208,13,9,3,1,2,0,1
"597",2016,62234,12,10,1,0,1,0,3
"598",2016,62244,79,64,9,0,12,1,18
"599",2016,63257,12,11,1,0,2,0,2
"600",2016,64213,1,1,0,0,0,0,0
"601",2016,66203,1,1,0,0,0,0,1
"602",2016,66209,0,0,0,0,0,0,0
"603",2016,66244,109,93,15,0,34,7,17
"604",2016,74206,93,79,9,1,23,1,11
"605",2016,75334,17,13,4,0,4,1,3
