"","year","P_ID","PA","AB","HIT","H2","H3","HR","SB","CS","SF","BB","HP","KK","GD"
"34",2016,63636,2,2,1,0,0,0,0,1,0,0,0,0,0
"35",2016,63704,55,48,16,1,1,1,4,0,0,5,0,15,0
"36",2016,64610,13,13,3,1,1,0,0,0,0,0,0,2,0
"37",2016,64646,5,5,0,0,0,0,1,0,0,0,0,1,0
"38",2016,64699,83,77,27,8,0,3,2,0,0,6,0,11,4
"39",2016,65653,8,8,3,1,0,0,0,0,0,0,0,3,0
"40",2016,66643,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",2016,70142,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",2016,70410,99,93,26,7,1,1,1,3,1,4,1,13,3
"43",2016,70756,93,82,25,5,0,4,1,1,1,8,2,13,1
"44",2016,71184,31,27,6,1,0,0,0,0,1,1,1,4,1
"45",2016,71207,62,51,11,3,0,0,1,0,0,11,0,12,2
"46",2016,72303,38,33,5,0,0,0,0,0,0,5,0,10,1
"47",2016,72559,36,32,8,2,0,1,1,1,0,2,2,8,0
"48",2016,73606,33,28,8,1,0,3,1,0,0,4,1,7,0
"49",2016,74605,92,80,22,3,0,4,0,1,0,11,1,13,1
"50",2016,77648,4,4,0,0,0,0,0,0,0,0,0,2,0
"51",2016,78629,57,45,15,4,0,1,2,0,1,10,1,12,1
"52",2016,78643,54,48,8,1,0,2,1,1,0,6,0,18,0
"53",2016,78765,40,36,10,2,0,1,0,0,0,2,2,13,1
"54",2016,79617,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",2016,64004,7,6,0,0,0,0,0,0,0,1,0,2,0
"56",2016,64006,16,14,4,0,0,0,3,1,0,2,0,2,0
"57",2016,64007,16,16,4,1,0,1,0,0,0,0,0,5,0
"58",2016,64166,8,7,0,0,0,0,0,1,0,1,0,3,0
"59",2016,65005,89,82,19,2,0,5,0,0,0,7,0,14,5
"60",2016,70553,66,58,14,5,0,0,0,1,0,7,0,12,2
"61",2016,70646,81,71,14,0,0,4,0,0,2,7,1,21,5
"62",2016,73113,92,77,24,7,0,3,0,0,1,12,2,15,3
"63",2016,73153,107,91,26,3,0,0,10,3,0,15,0,14,0
"64",2016,74339,100,87,33,2,0,4,1,1,1,10,2,7,1
"65",2016,76304,6,6,3,1,0,0,0,0,0,0,0,1,0
"66",2016,77104,2,2,1,0,0,0,0,0,0,0,0,0,0
"67",2016,77462,3,3,0,0,0,0,0,0,0,0,0,1,0
"68",2016,77609,64,57,11,4,0,1,0,0,2,4,0,16,1
"69",2016,78361,20,19,5,2,1,0,0,0,0,1,0,5,0
"70",2016,78517,75,70,16,2,0,1,5,1,0,2,1,21,1
"71",2016,78753,3,3,2,0,0,0,1,0,0,0,0,0,0
"72",2016,78892,53,47,7,2,0,1,0,1,0,5,1,8,3
"73",2016,79364,45,35,8,1,0,0,0,0,1,3,1,6,0
"74",2016,79453,18,17,5,0,0,0,0,0,0,1,0,1,0
"75",2016,99810,96,79,28,3,0,4,1,3,1,15,1,10,2
"76",2016,60146,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",2016,61102,39,36,8,0,0,0,0,0,0,2,1,8,0
"78",2016,61186,78,71,19,1,0,2,2,4,0,5,1,18,0
"79",2016,61891,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",2016,62164,71,56,20,3,0,2,0,0,0,14,1,19,1
"81",2016,63077,18,18,3,1,0,0,1,0,0,0,0,6,0
"82",2016,63123,16,15,1,0,0,0,0,0,0,1,0,7,0
"83",2016,64153,33,30,6,1,0,0,0,0,0,2,0,5,0
"84",2016,65103,94,83,24,3,0,9,4,0,1,8,2,12,1
"85",2016,65115,13,9,1,0,0,0,0,1,0,4,0,3,0
"86",2016,71842,45,37,6,0,0,0,0,1,0,6,1,11,1
"87",2016,72133,85,75,21,6,0,2,2,1,0,10,0,13,3
"88",2016,72456,5,3,1,0,0,0,0,0,0,0,0,0,0
"89",2016,73824,7,4,0,0,0,0,0,0,0,2,1,2,0
"90",2016,74823,12,9,1,0,0,0,1,0,0,2,0,1,0
"91",2016,76100,76,68,21,1,1,4,2,0,1,6,1,16,0
"92",2016,78135,23,23,8,1,1,0,0,0,0,0,0,4,0
"93",2016,78217,5,4,0,0,0,0,0,0,0,1,0,1,0
"94",2016,79109,57,49,12,0,0,3,1,0,0,8,0,10,0
"95",2016,79150,81,71,15,3,0,1,1,3,1,9,0,26,0
"96",2016,79192,59,54,14,1,0,2,0,0,2,1,2,13,1
"97",2016,79198,4,4,0,0,0,0,0,0,0,0,0,1,1
"98",2016,96462,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",2016,99606,63,51,18,2,0,1,1,2,1,8,1,6,0
"100",2016,60523,105,91,22,4,1,0,1,1,1,7,5,29,3
"101",2016,60558,23,23,6,1,0,0,1,0,0,0,0,5,1
"102",2016,61554,1,1,0,0,0,0,0,0,0,0,0,1,0
"103",2016,62559,4,4,1,1,0,0,0,0,0,0,0,1,0
"104",2016,64022,10,10,1,0,0,0,0,0,0,0,0,2,0
"105",2016,65506,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",2016,65513,10,9,0,0,0,0,0,0,0,1,0,4,0
"107",2016,65523,97,88,27,6,1,2,6,1,1,7,0,23,2
"108",2016,65546,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",2016,71552,105,85,25,5,0,4,0,0,1,19,0,25,4
"110",2016,71562,86,76,22,1,1,0,2,1,1,6,0,10,0
"111",2016,71565,27,23,3,0,0,0,0,0,0,4,0,4,2
"112",2016,72546,64,57,15,0,0,1,1,1,1,3,0,9,0
"113",2016,72551,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",2016,73226,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",2016,74540,91,74,22,3,0,6,0,0,1,13,3,23,1
"116",2016,76313,103,96,31,4,1,6,1,2,1,6,0,8,2
"117",2016,76509,97,86,37,7,1,1,3,4,1,10,0,10,3
"118",2016,76536,19,17,3,0,0,0,0,0,1,0,1,3,1
"119",2016,77532,114,99,33,9,1,3,8,1,0,15,0,21,0
"120",2016,77669,8,8,2,1,0,0,0,0,0,0,0,3,0
"121",2016,78566,4,4,0,0,0,0,0,1,0,0,0,2,0
"122",2016,78850,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",2016,79356,7,7,1,0,0,0,0,0,0,0,0,2,0
"124",2016,60263,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",2016,62907,50,46,14,1,1,1,3,1,0,4,0,9,1
"126",2016,62908,1,1,0,0,0,0,0,0,0,0,0,0,0
"127",2016,62934,31,27,3,0,0,0,0,1,1,1,1,7,0
"128",2016,62947,101,90,27,8,0,2,0,1,2,9,0,30,0
"129",2016,63920,35,27,12,2,0,0,0,1,0,7,0,8,0
"130",2016,64906,2,2,0,0,0,0,0,0,0,0,0,1,0
"131",2016,64914,97,85,28,4,0,5,1,2,0,11,1,20,0
"132",2016,65933,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",2016,66928,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",2016,66968,3,3,0,0,0,0,3,0,0,0,0,0,0
"135",2016,73213,89,80,20,5,0,2,0,0,0,4,2,12,5
"136",2016,73306,57,50,10,1,0,3,0,1,0,3,2,12,0
"137",2016,73339,80,72,19,8,0,1,1,0,0,7,0,8,1
"138",2016,74223,14,13,0,0,0,0,0,0,0,1,0,4,0
"139",2016,74358,4,3,0,0,0,0,0,0,0,1,0,1,0
"140",2016,74465,97,77,21,4,0,3,1,0,1,14,4,21,4
"141",2016,75441,21,17,6,0,0,1,0,1,1,3,0,5,2
"142",2016,75867,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",2016,77454,58,52,16,0,0,0,3,1,0,5,0,13,1
"144",2016,78122,69,64,11,2,0,0,0,0,0,1,2,8,4
"145",2016,78352,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",2016,94629,76,62,20,3,0,3,0,1,1,13,0,9,0
"147",2016,61204,12,11,2,0,0,0,1,0,0,0,0,0,0
"148",2016,61208,8,5,2,0,0,0,0,0,0,2,1,0,0
"149",2016,61214,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",2016,62234,8,7,1,0,0,0,0,0,0,1,0,3,0
"151",2016,62244,21,15,3,1,0,0,0,0,0,5,1,5,0
"152",2016,63260,1,1,0,0,0,0,0,0,0,0,0,1,0
"153",2016,66209,8,8,2,0,0,0,1,1,0,0,0,3,0
"154",2016,66244,74,61,10,2,0,1,0,0,1,10,2,18,1
"155",2016,74206,89,68,21,3,0,1,1,2,3,14,1,11,2
"156",2016,75334,79,66,26,5,0,3,1,0,0,11,1,11,1
"157",2016,76232,89,77,27,4,0,4,1,0,1,8,3,7,3
"158",2016,76249,107,93,33,7,0,5,2,0,0,12,2,15,3
"159",2016,76267,43,39,9,3,0,1,0,0,1,2,1,6,0
"160",2016,77248,87,74,22,2,0,1,2,4,0,10,2,20,4
"161",2016,78224,37,33,9,2,0,5,0,0,0,4,0,7,0
"162",2016,78288,0,0,0,0,0,0,0,0,0,0,0,0,0
"163",2016,79215,62,56,17,6,1,0,0,0,1,2,1,11,1
"164",2016,79231,113,95,24,3,0,1,5,3,1,12,3,17,3
"165",2016,79240,115,96,21,5,1,0,1,1,0,11,5,12,3
"166",2016,99222,2,2,1,1,0,0,0,0,0,0,0,0,1
"167",2016,62056,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",2016,62864,14,10,2,1,0,0,1,0,0,4,0,2,0
"169",2016,62893,36,31,11,1,0,0,0,1,1,1,2,9,0
"170",2016,64890,3,3,0,0,0,0,0,0,0,0,0,2,0
"171",2016,66805,59,56,11,1,0,3,2,3,0,2,1,14,2
"172",2016,66833,4,4,0,0,0,0,0,0,0,0,0,2,0
"173",2016,66838,2,2,1,0,0,0,0,0,0,0,0,1,0
"174",2016,71837,85,73,19,4,0,2,4,1,1,6,2,17,1
"175",2016,71845,0,0,0,0,0,0,0,0,0,0,0,0,0
"176",2016,71848,67,53,12,1,0,0,4,2,1,9,1,5,1
"177",2016,71857,59,51,11,3,0,1,0,1,0,5,0,7,1
"178",2016,72860,8,6,0,0,0,0,0,0,1,1,0,2,0
"179",2016,74846,96,88,23,5,0,3,2,0,1,5,1,19,3
"180",2016,75138,0,0,0,0,0,0,0,0,0,0,0,0,0
"181",2016,75151,109,101,32,8,1,5,2,0,1,5,2,21,1
"182",2016,75250,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",2016,75340,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",2016,75847,111,88,23,2,0,5,0,0,1,16,6,24,0
"185",2016,76158,18,18,5,1,0,0,0,0,0,0,0,7,0
"186",2016,76802,98,92,29,6,0,3,0,0,1,5,0,5,4
"187",2016,76812,98,88,28,2,0,1,0,2,1,7,2,14,3
"188",2016,76849,81,67,15,2,0,0,6,1,1,9,2,13,1
"189",2016,76858,1,1,0,0,0,0,0,0,0,0,0,1,0
"190",2016,76869,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",2016,60456,74,65,15,3,1,0,1,1,0,5,1,14,5
"192",2016,61463,1,1,0,0,0,0,0,0,0,0,0,0,0
"193",2016,62404,100,87,32,6,2,2,3,0,1,10,1,14,0
"194",2016,62415,93,81,14,3,0,1,1,4,1,5,0,18,2
"195",2016,63440,26,24,7,2,0,0,0,0,0,1,1,4,0
"196",2016,64468,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",2016,64493,8,7,1,0,0,0,0,1,0,1,0,3,0
"198",2016,64499,16,14,4,1,0,0,0,1,0,1,0,2,1
"199",2016,66452,86,73,17,2,0,1,0,0,1,11,1,9,0
"200",2016,71432,33,28,8,1,0,0,1,0,0,4,1,8,0
"201",2016,72443,103,87,29,6,0,6,0,0,0,16,0,14,3
"202",2016,72466,36,27,3,0,0,2,0,0,1,6,2,7,2
"203",2016,77927,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",2016,78467,14,12,4,0,0,0,3,0,0,2,0,6,0
"205",2016,79402,73,68,18,1,0,0,4,1,0,0,2,8,4
"206",2016,79456,66,58,19,1,0,2,0,0,0,5,2,4,0
"207",2016,79465,85,70,19,4,0,1,2,2,0,14,1,11,5
"208",2016,95436,95,85,25,2,1,3,2,0,2,8,0,12,2
"209",2016,61353,87,84,30,1,4,0,4,2,1,2,0,23,2
"210",2016,61366,22,19,4,0,0,0,0,0,0,0,3,6,1
"211",2016,62332,8,7,3,1,0,0,0,0,0,0,1,1,0
"212",2016,62353,26,21,5,0,1,0,1,1,0,3,1,7,0
"213",2016,63360,11,7,1,0,0,0,0,0,0,3,1,1,0
"214",2016,64300,99,87,24,6,0,4,6,2,1,9,2,19,0
"215",2016,64346,62,54,9,4,0,0,3,2,0,7,0,21,1
"216",2016,66306,108,91,22,4,0,5,0,0,2,13,2,16,2
"217",2016,73342,86,74,22,0,1,1,1,2,1,11,0,8,1
"218",2016,74215,16,13,5,1,0,0,0,0,0,2,1,1,1
"219",2016,76368,17,14,2,0,0,0,2,2,0,2,0,4,0
"220",2016,77463,100,85,26,3,0,1,0,0,0,14,1,29,5
"221",2016,77564,97,82,25,6,1,1,1,1,1,12,2,17,2
"222",2016,78168,109,97,25,4,2,0,4,3,1,10,0,13,0
"223",2016,79300,5,4,1,1,0,0,0,0,0,1,0,1,0
"224",2016,79334,0,0,0,0,0,0,0,0,0,0,0,0,0
"225",2016,79365,92,85,22,6,0,4,1,0,0,4,1,25,3
"226",2016,60404,23,19,2,0,0,0,0,0,0,2,0,4,1
"227",2016,60667,6,5,1,0,0,0,0,0,0,1,0,2,0
"228",2016,60768,1,1,0,0,0,0,0,0,0,0,0,1,0
"229",2016,60805,16,16,2,0,0,0,0,0,0,0,0,4,0
"230",2016,61700,2,2,0,0,0,0,0,0,0,0,0,0,0
"231",2016,62700,93,85,28,4,1,2,3,1,0,6,1,23,1
"232",2016,62768,9,8,2,0,0,0,0,0,0,1,0,5,0
"233",2016,62797,64,58,22,3,0,2,0,0,0,5,1,11,0
"234",2016,64086,9,8,1,0,0,0,0,0,0,1,0,4,0
"235",2016,65742,0,0,0,0,0,0,0,0,0,0,0,0,0
"236",2016,66740,111,102,31,8,0,9,0,1,1,8,0,12,2
"237",2016,71347,32,29,4,0,0,0,1,1,0,2,0,7,0
"238",2016,71610,44,40,5,2,0,0,0,0,0,3,1,12,4
"239",2016,71752,112,83,27,6,0,2,0,0,2,25,2,17,3
"240",2016,73136,24,20,5,0,0,1,0,0,0,1,3,5,1
"241",2016,73602,40,34,7,2,0,1,0,0,0,3,0,7,2
"242",2016,74163,120,102,36,5,1,1,5,2,0,16,1,7,2
"243",2016,74729,20,18,4,1,0,0,0,0,0,1,0,6,0
"244",2016,75808,109,91,29,5,0,3,8,0,1,15,2,9,1
"245",2016,76746,4,4,1,0,0,0,0,0,0,0,0,3,0
"246",2016,76753,102,90,34,6,2,4,0,0,1,9,0,18,2
"247",2016,77243,13,11,3,3,0,0,0,0,0,2,0,2,0
"248",2016,78756,9,6,1,0,0,0,0,0,0,1,1,1,0
"249",2016,79764,0,0,0,0,0,0,0,0,0,0,0,0,0
"250",2016,98144,47,47,9,2,0,2,0,0,0,0,0,10,2
"251",2016,60605,1,1,0,0,0,0,0,0,0,0,0,0,0
"252",2016,61652,6,5,1,0,0,0,1,0,1,0,0,2,0
"253",2016,61743,75,69,19,6,2,2,0,0,0,5,1,18,1
"254",2016,62668,12,10,2,0,0,0,0,0,0,2,0,0,0
"255",2016,63634,34,30,9,4,1,1,0,0,1,3,0,9,0
"256",2016,63636,12,10,3,1,0,0,1,0,0,2,0,2,1
"257",2016,63638,0,0,0,0,0,0,0,0,0,0,0,0,0
"258",2016,63704,24,21,3,0,0,0,1,0,0,1,1,8,0
"259",2016,63722,2,1,0,0,0,0,0,0,0,0,0,0,0
"260",2016,64610,78,68,20,5,2,0,1,2,0,6,0,9,2
"261",2016,64646,0,0,0,0,0,0,0,0,0,0,0,0,0
"262",2016,64699,99,89,27,6,0,2,4,1,2,7,1,16,2
"263",2016,65610,7,7,3,2,0,1,0,0,0,0,0,3,0
"264",2016,65653,109,99,33,1,2,1,6,0,0,5,4,21,1
"265",2016,66606,0,0,0,0,0,0,0,0,0,0,0,0,0
"266",2016,66657,6,5,0,0,0,0,0,0,0,1,0,1,0
"267",2016,70410,106,94,36,6,0,5,4,2,3,8,1,11,2
"268",2016,70756,90,84,26,6,0,4,0,0,0,5,1,14,3
"269",2016,71184,31,26,6,0,0,0,0,0,0,2,1,3,1
"270",2016,72303,9,8,3,1,0,0,1,0,0,0,0,2,0
"271",2016,72321,0,0,0,0,0,0,0,0,0,0,0,0,0
"272",2016,72559,1,0,0,0,0,0,0,0,0,0,1,0,0
"273",2016,73606,88,67,24,4,0,3,1,1,1,16,1,13,0
"274",2016,74605,54,48,13,3,0,2,0,0,0,4,1,8,3
"275",2016,77648,10,8,1,1,0,0,0,0,0,2,0,2,1
"276",2016,78629,110,84,22,3,1,7,3,1,0,20,6,17,3
"277",2016,78643,34,27,7,3,0,1,1,0,1,6,0,5,2
"278",2016,60343,5,4,0,0,0,0,0,0,0,1,0,3,0
"279",2016,62265,19,16,7,1,0,0,0,0,0,2,1,0,1
"280",2016,63448,2,2,0,0,0,0,0,0,0,0,0,0,0
"281",2016,64004,11,11,2,1,0,0,0,0,0,0,0,3,0
"282",2016,64006,14,13,4,1,0,0,1,0,0,1,0,5,0
"283",2016,64007,10,9,1,1,0,0,1,0,0,0,1,3,0
"284",2016,64017,0,0,0,0,0,0,0,0,0,0,0,0,0
"285",2016,64166,5,4,2,0,0,0,0,0,0,1,0,1,0
"286",2016,65005,97,84,22,4,0,5,0,0,2,11,0,10,1
"287",2016,65042,0,0,0,0,0,0,0,0,0,0,0,0,0
"288",2016,66047,0,0,0,0,0,0,0,0,0,0,0,0,0
"289",2016,70553,81,66,22,3,0,2,0,0,0,11,1,15,4
"290",2016,70646,99,88,24,3,0,5,0,1,0,10,1,17,4
"291",2016,73113,82,71,22,2,0,3,1,0,1,10,0,14,1
"292",2016,73153,114,105,39,4,1,0,10,4,0,7,1,17,2
"293",2016,74339,12,12,2,1,0,0,0,0,0,0,0,1,1
"294",2016,76304,9,9,1,0,0,0,0,0,0,0,0,7,0
"295",2016,77609,32,29,9,1,0,0,0,0,0,1,0,9,2
"296",2016,78361,65,57,20,3,0,1,1,0,0,6,1,10,2
"297",2016,78517,38,34,6,0,0,2,2,0,0,3,0,14,0
"298",2016,78892,22,19,3,2,0,0,0,0,0,3,0,3,1
"299",2016,79364,81,70,20,1,0,0,0,0,1,8,0,12,1
"300",2016,79453,101,88,29,4,0,3,0,0,1,10,0,11,3
"301",2016,99563,0,0,0,0,0,0,0,0,0,0,0,0,0
"302",2016,99810,80,66,19,3,0,3,1,0,1,13,0,10,4
"303",2016,60146,0,0,0,0,0,0,0,0,0,0,0,0,0
"304",2016,61102,17,15,4,2,0,0,0,0,0,0,2,3,0
"305",2016,61186,27,21,5,0,0,0,0,2,0,5,0,6,0
"306",2016,62007,3,3,0,0,0,0,0,0,0,0,0,0,1
"307",2016,62164,44,34,3,2,0,0,0,0,0,10,0,9,0
"308",2016,63077,10,10,2,1,0,0,0,1,0,0,0,0,0
"309",2016,64153,6,6,1,0,0,0,0,0,0,0,0,3,0
"310",2016,65103,94,84,31,7,0,5,3,4,2,6,2,7,1
"311",2016,65115,14,13,2,0,0,0,0,0,0,1,0,2,0
"312",2016,71842,37,30,5,1,0,0,0,0,2,2,2,5,0
"313",2016,72133,94,87,30,4,0,2,0,2,1,5,1,12,0
"314",2016,72456,78,68,30,8,2,0,3,1,0,7,1,7,0
"315",2016,73824,33,30,5,2,0,0,0,0,0,1,0,9,0
"316",2016,74823,56,51,14,2,0,0,2,0,0,4,0,6,4
"317",2016,76100,80,63,15,2,1,1,3,3,0,14,3,18,1
"318",2016,78135,13,10,2,0,0,1,0,0,0,1,1,1,0
"319",2016,78217,17,15,5,1,0,0,1,1,0,2,0,3,0
"320",2016,79109,84,69,11,2,1,0,2,2,2,9,3,20,0
"321",2016,79113,20,18,6,1,1,1,2,0,0,2,0,5,0
"322",2016,79150,24,21,8,1,1,0,2,2,0,2,0,4,0
"323",2016,79192,73,68,21,5,0,2,3,0,1,3,1,16,3
"324",2016,99606,80,74,22,2,1,2,0,0,1,4,0,14,3
"325",2016,60523,91,77,21,5,1,0,3,2,0,9,4,9,2
"326",2016,61554,6,5,1,1,0,0,0,0,0,0,0,1,0
"327",2016,62558,2,2,1,0,0,0,0,0,0,0,0,0,0
"328",2016,62559,100,91,32,6,0,3,1,0,2,6,1,17,2
"329",2016,64022,10,10,2,0,0,0,0,0,0,0,0,2,0
"330",2016,65503,7,7,0,0,0,0,0,0,0,0,0,4,1
"331",2016,65513,23,21,4,1,2,0,0,0,0,2,0,11,0
"332",2016,65523,107,94,24,5,1,5,3,0,2,10,1,20,1
"333",2016,71552,107,92,26,1,0,8,0,0,1,13,1,32,4
"334",2016,71562,5,5,0,0,0,0,0,0,0,0,0,2,0
"335",2016,72546,53,43,15,4,0,1,0,1,0,6,0,5,2
"336",2016,74540,93,70,25,4,0,3,1,0,1,20,2,15,2
"337",2016,75321,0,0,0,0,0,0,0,0,0,0,0,0,0
"338",2016,76313,44,43,13,1,0,1,2,0,0,1,0,7,0
"339",2016,76435,26,21,5,1,0,0,1,1,0,4,0,7,0
"340",2016,76509,114,101,39,8,1,1,0,2,0,11,2,7,4
"341",2016,76536,53,48,10,2,0,0,0,0,0,1,3,9,6
"342",2016,77532,108,84,22,1,0,2,7,2,1,22,1,13,1
"343",2016,77669,5,4,0,0,0,0,0,0,0,1,0,2,0
"344",2016,78566,5,5,0,0,0,0,0,0,0,0,0,2,0
"345",2016,78850,7,6,2,0,0,0,1,0,0,1,0,2,0
"346",2016,62016,2,2,1,0,0,1,0,0,0,0,0,1,0
"347",2016,62907,110,91,32,2,2,0,4,4,1,11,2,13,1
"348",2016,62908,1,1,0,0,0,0,0,0,0,0,0,1,0
"349",2016,62917,2,2,0,0,0,0,0,0,0,0,0,1,0
"350",2016,62934,10,10,0,0,0,0,1,0,0,0,0,3,0
"351",2016,62947,112,95,37,6,1,9,1,1,1,14,2,21,0
"352",2016,63920,77,59,15,1,1,0,0,1,0,17,1,15,2
"353",2016,64914,101,78,33,11,1,10,3,0,3,17,3,14,0
"354",2016,64944,7,7,3,0,0,0,0,0,0,0,0,0,1
"355",2016,64995,0,0,0,0,0,0,0,0,0,0,0,0,0
"356",2016,66928,0,0,0,0,0,0,0,0,0,0,0,0,0
"357",2016,66965,3,3,0,0,0,0,0,0,0,0,0,2,0
"358",2016,73213,87,73,28,6,0,1,0,0,0,9,4,7,2
"359",2016,73306,55,50,16,3,0,2,0,0,2,2,0,10,1
"360",2016,73339,96,83,24,2,1,0,3,1,0,12,0,10,1
"361",2016,74223,12,10,1,0,0,1,0,0,0,1,0,1,0
"362",2016,74465,73,62,15,3,0,3,0,0,1,7,2,13,6
"363",2016,75441,19,13,4,2,0,0,0,0,0,4,2,3,0
"364",2016,75852,0,0,0,0,0,0,0,0,0,0,0,0,0
"365",2016,77454,41,38,9,0,0,0,4,0,0,3,0,8,2
"366",2016,78122,76,61,18,3,0,0,0,0,0,5,3,8,2
"367",2016,78243,0,0,0,0,0,0,0,0,0,0,0,0,0
"368",2016,94629,103,91,28,3,0,4,1,0,0,12,0,19,4
"369",2016,61204,2,2,0,0,0,0,0,0,0,0,0,1,0
"370",2016,61208,0,0,0,0,0,0,0,1,0,0,0,0,0
"371",2016,61214,0,0,0,0,0,0,0,0,0,0,0,0,0
"372",2016,61295,0,0,0,0,0,0,0,0,0,0,0,0,0
"373",2016,62234,15,15,4,2,0,0,0,0,0,0,0,4,0
"374",2016,62244,14,12,2,0,0,0,0,0,0,2,0,3,0
"375",2016,64213,10,8,2,0,0,0,0,0,0,1,0,2,0
"376",2016,66203,5,3,0,0,0,0,0,0,0,2,0,2,0
"377",2016,66209,7,7,4,0,0,0,0,0,0,0,0,1,0
"378",2016,66244,89,77,27,9,0,7,0,0,1,10,1,20,2
"379",2016,74206,88,70,20,5,0,1,2,0,3,13,2,8,0
"380",2016,75334,65,52,17,1,1,4,0,0,0,12,1,9,1
"381",2016,76232,83,78,27,5,0,6,0,0,1,4,0,8,7
"382",2016,76249,113,101,39,9,2,5,0,0,0,11,1,18,3
"383",2016,76267,29,24,9,2,0,0,0,0,1,4,0,2,1
"384",2016,77248,94,77,25,7,0,1,3,1,2,14,1,11,3
"385",2016,78224,103,94,35,6,0,10,1,1,1,8,0,22,2
"386",2016,78288,12,11,2,1,0,0,0,0,0,1,0,1,0
"387",2016,79215,102,90,32,5,0,5,3,1,1,7,3,17,3
"388",2016,79231,74,69,19,2,1,0,5,1,0,3,2,5,3
"389",2016,79240,103,94,30,5,2,0,1,1,1,6,2,8,3
"390",2016,79290,2,2,0,0,0,0,0,0,0,0,0,0,0
"391",2016,99222,23,20,5,0,0,0,0,0,0,3,0,2,1
"392",2016,62864,39,32,4,0,0,0,0,1,0,5,0,9,1
"393",2016,62893,63,53,17,2,0,0,1,3,0,4,3,19,0
"394",2016,64802,2,2,1,0,0,0,0,0,0,0,0,1,0
"395",2016,64893,0,0,0,0,0,0,0,0,0,0,0,0,0
"396",2016,64895,24,23,4,1,0,0,0,0,0,1,0,9,1
"397",2016,65464,4,4,1,0,0,0,0,0,0,0,0,1,0
