"","year","month","T_ID","P_ID","PA","AB","RBI","RUN","HIT","H2","H3","HR","SB","CS","SH","SF","BB","IB","HP","KK","GD","ERR","LOB","P_AB_CN","P_HIT_CN","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","BAT_ORDER","HOME","AWAY","KBB","SB_rate"
"44",2016,4,"HT",71184,31,27,2,2,6,1,0,0,0,0,1,1,1,0,1,4,1,0,5,4,0,2,0,1,0,2,1,2,3,2,2,8,6,9,4,0
"45",2016,4,"HT",71207,62,51,9,6,11,3,0,0,1,0,0,0,11,0,0,12,2,0,12,14,5,1,0,3,2,2,2,2,3,2,2,1,8,11,1.09090909090909,1
"46",2016,4,"HT",72303,38,33,3,1,5,0,0,0,0,0,0,0,5,0,0,10,1,0,8,7,2,0,0,3,2,0,2,0,3,0,2,9,4,8,2,0
"47",2016,4,"HT",72559,36,32,6,5,8,2,0,1,1,1,0,0,2,0,2,8,0,0,7,7,3,2,0,0,0,3,0,1,0,3,0,1,4,5,4,0.5
"48",2016,4,"HT",73606,33,28,8,6,8,1,0,3,1,0,0,0,4,0,1,7,0,1,5,5,3,2,0,0,0,3,0,2,0,3,0,9,5,5,1.75,1
"49",2016,4,"HT",74605,92,80,6,10,22,3,0,4,0,1,0,0,11,0,1,13,1,6,14,13,2,2,0,3,2,3,2,2,3,3,2,6,9,13,1.18181818181818,0
"50",2016,4,"HT",77648,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,2,0,0,0,1,0,0,8,2,2,0,0
"51",2016,4,"HT",78629,57,45,8,9,15,4,0,1,2,0,0,1,10,0,1,12,1,1,12,15,4,2,0,1,2,3,2,2,0,3,0,4,7,8,1.2,1
"52",2016,4,"HT",78643,54,48,4,2,8,1,0,2,1,1,0,0,6,0,0,18,0,2,8,15,2,2,0,2,2,3,2,2,3,3,2,8,9,12,3,0.5
"53",2016,4,"HT",78765,40,36,6,2,10,2,0,1,0,0,0,0,2,0,2,13,1,0,10,14,4,2,0,3,2,2,1,1,3,3,2,7,8,11,6.5,0
"54",2016,4,"HT",79617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0
"55",2016,4,"KT",64004,7,6,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,3,0,0,3,0,0,0,0,0,3,3,1,2,7,3,2,0
"56",2016,4,"KT",64006,16,14,0,2,4,0,0,0,3,1,0,0,2,0,0,2,0,2,10,3,0,0,3,0,2,1,0,2,4,5,2,9,11,8,1,0.75
"57",2016,4,"KT",64007,16,16,3,3,4,1,0,1,0,0,0,0,0,0,0,5,0,1,1,3,1,0,1,0,0,0,0,0,3,2,1,4,4,3,0,0
"58",2016,4,"KT",64166,8,7,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,2,3,0,0,3,0,0,0,0,1,3,3,2,2,8,4,3,0
"59",2016,4,"KT",65005,89,82,20,11,19,2,0,5,0,0,0,0,7,0,0,14,5,2,13,25,10,0,3,0,2,3,0,3,4,4,3,3,12,10,2,0
"60",2016,4,"KT",70553,66,58,7,8,14,5,0,0,0,1,1,0,7,0,0,12,2,0,7,18,5,0,2,0,2,2,0,2,4,6,3,9,10,11,1.71428571428571,0
"61",2016,4,"KT",70646,81,71,11,8,14,0,0,4,0,0,0,2,7,0,1,21,5,3,11,17,4,0,3,0,2,3,0,2,4,3,3,6,11,9,3,0
"62",2016,4,"KT",73113,92,77,9,14,24,7,0,3,0,0,0,1,12,0,2,15,3,3,18,11,4,0,3,0,1,3,0,3,5,6,3,6,14,10,1.25,0
"63",2016,4,"KT",73153,107,91,8,10,26,3,0,0,10,3,1,0,15,0,0,14,0,1,30,17,7,0,2,0,2,3,0,3,5,6,3,1,13,11,0.933333333333333,0.769230769230769
"64",2016,4,"KT",74339,100,87,9,19,33,2,0,4,1,1,0,1,10,0,2,7,1,1,21,13,5,0,3,0,2,3,0,3,4,6,3,4,14,10,0.7,0.5
"65",2016,4,"KT",76304,6,6,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,2,1,2,0,3,4,3,0,0
"66",2016,4,"KT",77104,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0
"67",2016,4,"KT",77462,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0
"68",2016,4,"KT",77609,64,57,10,3,11,4,0,1,0,0,1,2,4,1,0,16,1,2,11,19,6,0,3,0,2,3,0,3,5,6,3,9,14,11,4,0
"69",2016,4,"KT",78361,20,19,5,2,5,2,1,0,0,0,0,0,1,0,0,5,0,0,3,4,2,0,0,0,1,3,0,2,1,3,0,7,6,4,5,0
"70",2016,4,"KT",78517,75,70,6,7,16,2,0,1,5,1,2,0,2,0,1,21,1,3,10,24,4,0,3,0,1,2,0,3,5,6,3,2,13,10,10.5,0.833333333333333
"71",2016,4,"KT",78753,3,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,1,0,1
"72",2016,4,"KT",78892,53,47,5,7,7,2,0,1,0,1,0,0,5,0,1,8,3,3,6,15,2,0,3,0,0,1,0,2,5,5,2,8,11,7,1.6,0
"73",2016,4,"KT",79364,45,35,4,2,8,1,0,0,0,0,5,1,3,0,1,6,0,2,7,8,3,0,0,0,2,3,0,3,2,6,3,8,11,8,2,0
"74",2016,4,"KT",79453,18,17,1,3,5,0,0,0,0,0,0,0,1,0,0,1,0,0,2,6,2,0,0,0,2,2,0,1,0,3,0,1,3,5,1,0
"75",2016,4,"KT",99810,96,79,17,15,28,3,0,4,1,3,0,1,15,0,1,10,2,0,14,26,8,0,3,0,2,3,0,3,5,6,3,5,14,11,0.666666666666667,0.25
"76",2016,4,"LG",60146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0
"77",2016,4,"LG",61102,39,36,3,2,8,0,0,0,0,0,0,0,2,0,1,8,0,0,7,11,2,3,2,0,0,2,3,0,3,0,1,8,7,7,4,0
"78",2016,4,"LG",61186,78,71,11,10,19,1,0,2,2,4,1,0,5,0,1,18,0,1,15,19,4,4,2,1,0,3,3,0,3,2,3,1,9,12,3.6,0.333333333333333
"79",2016,4,"LG",61891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,1,1,0,0
"80",2016,4,"LG",62164,71,56,4,11,20,3,0,2,0,0,0,0,14,1,1,19,1,0,17,8,1,4,1,2,0,2,3,0,3,2,3,6,9,11,1.35714285714286,0
"81",2016,4,"LG",63077,18,18,1,4,3,1,0,0,1,0,0,0,0,0,0,6,0,0,3,2,1,3,0,2,0,2,2,0,3,2,3,9,8,9,0,1
"82",2016,4,"LG",63123,16,15,0,1,1,0,0,0,0,0,0,0,1,0,0,7,0,1,1,5,0,2,2,0,0,0,0,0,2,0,0,9,2,4,7,0
"83",2016,4,"LG",64153,33,30,5,2,6,1,0,0,0,0,1,0,2,0,0,5,0,1,5,10,4,4,2,0,0,3,1,0,3,1,3,7,6,11,2.5,0
"84",2016,4,"LG",65103,94,83,18,16,24,3,0,9,4,0,0,1,8,1,2,12,1,7,17,20,6,4,2,2,0,3,3,0,3,2,3,5,10,12,1.5,1
"85",2016,4,"LG",65115,13,9,0,4,1,0,0,0,0,1,0,0,4,0,0,3,0,1,2,0,0,2,2,1,0,1,0,0,2,1,2,3,4,7,0.75,0
"86",2016,4,"LG",71842,45,37,2,3,6,0,0,0,0,1,1,0,6,0,1,11,1,1,11,15,2,4,2,2,0,2,3,0,3,2,3,8,9,12,1.83333333333333,0
"87",2016,4,"LG",72133,85,75,8,13,21,6,0,2,2,1,0,0,10,1,0,13,3,0,17,17,3,4,2,2,0,3,3,0,3,2,3,3,10,12,1.3,0.666666666666667
"88",2016,4,"LG",72456,5,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,2,0,0,0
"89",2016,4,"LG",73824,7,4,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,8,1,3,1,0
"90",2016,4,"LG",74823,12,9,0,2,1,0,0,0,1,0,1,0,2,0,0,1,0,0,3,2,0,2,1,0,0,0,0,0,0,0,0,1,2,1,0.5,1
"91",2016,4,"LG",76100,76,68,15,11,21,1,1,4,2,0,0,1,6,1,1,16,0,0,16,25,8,4,2,2,0,2,2,0,3,2,3,4,8,12,2.66666666666667,1
"92",2016,4,"LG",78135,23,23,3,2,8,1,1,0,0,0,0,0,0,0,0,4,0,0,4,2,2,2,0,2,0,2,2,0,1,0,3,4,6,6,0,0
"93",2016,4,"LG",78217,5,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,9,1,3,1,0
"94",2016,4,"LG",79109,57,49,7,7,12,0,0,3,1,0,0,0,8,0,0,10,0,2,13,11,3,2,0,2,0,3,3,0,0,2,3,9,8,7,1.25,1
"95",2016,4,"LG",79150,81,71,7,8,15,3,0,1,1,3,0,1,9,0,0,26,0,2,15,12,1,4,2,0,0,3,3,0,3,2,3,1,8,12,2.88888888888889,0.25
"96",2016,4,"LG",79192,59,54,12,4,14,1,0,2,0,0,0,2,1,0,2,13,1,1,13,15,5,4,2,2,0,3,3,0,3,2,3,7,10,12,13,0
"97",2016,4,"LG",79198,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,0,0,1,1,0,1,0,1,9,4,5,0,0
"98",2016,4,"LG",96462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0
"99",2016,4,"LG",99606,63,51,8,9,18,2,0,1,1,2,2,1,8,1,1,6,0,1,13,9,5,4,0,2,0,2,3,0,0,2,3,6,9,7,0.75,0.333333333333333
"100",2016,4,"LT",60523,105,91,9,6,22,4,1,0,1,1,1,1,7,0,5,29,3,2,19,21,5,3,3,3,3,0,4,0,3,3,3,1,14,11,4.14285714285714,0.5
"101",2016,4,"LT",60558,23,23,0,2,6,1,0,0,1,0,0,0,0,0,0,5,1,0,3,7,1,0,0,0,0,0,0,0,3,1,3,7,4,3,0,1
"102",2016,4,"LT",61554,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,1,2,3,0,0
"103",2016,4,"LT",62559,4,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0
"104",2016,4,"LT",64022,10,10,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,1,3,0,2,0,2,0,1,0,0,6,6,3,0,0
"105",2016,4,"LT",65506,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,0,0
"106",2016,4,"LT",65513,10,9,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,4,0,3,1,2,0,0,2,0,0,0,0,8,6,2,4,0
"107",2016,4,"LT",65523,97,88,18,18,27,6,1,2,6,1,1,1,7,1,0,23,2,0,15,37,12,3,3,3,3,0,4,0,3,2,3,3,13,11,3.28571428571429,0.857142857142857
"108",2016,4,"LT",65546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0
"109",2016,4,"LT",71552,105,85,16,14,25,5,0,4,0,0,0,1,19,0,0,25,4,0,19,29,7,3,3,3,3,0,4,0,3,3,3,4,14,11,1.31578947368421,0
"110",2016,4,"LT",71562,86,76,5,8,22,1,1,0,2,1,3,1,6,1,0,10,0,2,18,18,5,3,3,3,3,0,4,0,2,3,3,7,13,11,1.66666666666667,0.666666666666667
"111",2016,4,"LT",71565,27,23,0,2,3,0,0,0,0,0,0,0,4,0,0,4,2,0,7,8,0,2,3,3,3,0,1,0,2,3,3,9,10,10,1,0
"112",2016,4,"LT",72546,64,57,5,5,15,0,0,1,1,1,3,1,3,0,0,9,0,1,15,15,2,3,3,3,3,0,3,0,2,3,2,9,12,10,3,0.5
"113",2016,4,"LT",72551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0
"114",2016,4,"LT",73226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,0,0
"115",2016,4,"LT",74540,91,74,18,14,22,3,0,6,0,0,0,1,13,0,3,23,1,1,18,16,8,3,2,3,3,0,3,0,3,3,3,6,13,10,1.76923076923077,0
"116",2016,4,"LT",76313,103,96,21,16,31,4,1,6,1,2,0,1,6,0,0,8,2,2,20,30,13,3,3,3,3,0,3,0,3,3,3,5,13,11,1.33333333333333,0.333333333333333
"117",2016,4,"LT",76509,97,86,12,16,37,7,1,1,3,4,0,1,10,1,0,10,3,1,24,23,8,3,3,3,3,0,4,0,2,3,0,2,13,8,1,0.428571428571429
"118",2016,4,"LT",76536,19,17,3,0,3,0,0,0,0,0,0,1,0,0,1,3,1,0,5,7,1,3,2,2,2,0,2,0,2,0,1,8,9,5,0,0
"119",2016,4,"LT",77532,114,99,14,23,33,9,1,3,8,1,0,0,15,0,0,21,0,2,21,20,8,3,3,3,3,0,4,0,3,3,3,1,14,11,1.4,0.888888888888889
"120",2016,4,"LT",77669,8,8,0,2,2,1,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,2,2,0,2,0,0,0,1,0,0,4,5,2,0,0
"121",2016,4,"LT",78566,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,7,1,4,0,0
"122",2016,4,"LT",78850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,9,1,1,0,0
"123",2016,4,"LT",79356,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,1,0,2,9,1,2,0,0
"124",2016,4,"NC",60263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0
"125",2016,4,"NC",62907,50,46,7,8,14,1,1,1,3,1,0,0,4,0,0,9,1,3,8,12,7,3,2,0,0,0,0,3,0,3,0,1,5,6,2.25,0.75
"126",2016,4,"NC",62908,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,3,0,0,6,0,6,0,0
"127",2016,4,"NC",62934,31,27,1,3,3,0,0,0,0,1,1,1,1,0,1,7,0,0,1,4,0,3,1,0,2,3,0,1,3,3,0,2,5,11,7,0
"128",2016,4,"NC",62947,101,90,12,15,27,8,0,2,0,1,0,2,9,0,0,30,0,1,19,22,7,3,2,0,3,4,0,3,3,3,2,3,9,14,3.33333333333333,0
"129",2016,4,"NC",63920,35,27,0,9,12,2,0,0,0,1,1,0,7,0,0,8,0,0,8,4,1,0,0,0,3,4,0,0,3,0,2,1,4,8,1.14285714285714,0
"130",2016,4,"NC",64906,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,2,1,0,1,1,0,0,1,2,0,7,3,5,0,0
"131",2016,4,"NC",64914,97,85,17,16,28,4,0,5,1,2,0,0,11,2,1,20,0,0,17,24,7,3,2,0,3,4,0,3,3,3,2,4,9,14,1.81818181818182,0.333333333333333
"132",2016,4,"NC",65933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0
"133",2016,4,"NC",66928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0
"134",2016,4,"NC",66968,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,1,0,3,0,5,4,4,0,1
"135",2016,4,"NC",73213,89,80,11,8,20,5,0,2,0,0,3,0,4,0,2,12,5,5,16,24,6,3,2,0,3,4,0,3,3,3,2,7,9,14,3,0
"136",2016,4,"NC",73306,57,50,8,4,10,1,0,3,0,1,2,0,3,0,2,12,0,0,6,14,4,3,2,0,3,4,0,3,3,3,2,8,9,14,4,0
"137",2016,4,"NC",73339,80,72,10,12,19,8,0,1,1,0,1,0,7,0,0,8,1,0,14,12,4,3,2,0,3,4,0,3,0,3,2,2,9,11,1.14285714285714,1
"138",2016,4,"NC",74223,14,13,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,1,0,1,2,0,1,3,0,2,1,3,1,9,5,9,4,0
"139",2016,4,"NC",74358,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,1,1,0
"140",2016,4,"NC",74465,97,77,16,10,21,4,0,3,1,0,0,1,14,1,4,21,4,1,23,21,7,3,2,0,3,4,0,3,3,3,2,5,9,14,1.5,1
"141",2016,4,"NC",75441,21,17,3,2,6,0,0,1,0,1,0,1,3,0,0,5,2,2,5,2,2,2,1,0,1,3,0,2,2,3,1,4,6,9,1.66666666666667,0
"142",2016,4,"NC",75867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0
"143",2016,4,"NC",77454,58,52,0,4,16,0,0,0,3,1,1,0,5,0,0,13,1,1,16,9,2,2,2,0,3,4,0,3,2,3,2,1,8,13,2.6,0.75
"144",2016,4,"NC",78122,69,64,2,5,11,2,0,0,0,0,2,0,1,0,2,8,4,0,9,18,1,3,2,0,3,4,0,2,3,3,2,9,9,13,8,0
"145",2016,4,"NC",78352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1,1,0,0
"146",2016,4,"NC",94629,76,62,15,7,20,3,0,3,0,1,0,1,13,1,0,9,0,0,13,18,6,3,2,0,3,4,0,1,3,2,2,6,9,11,0.692307692307692,0
"147",2016,4,"OB",61204,12,11,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,7,1,0,3,2,1,0,0,1,0,2,1,1,6,5,6,0,1
"148",2016,4,"OB",61208,8,5,1,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,5,4,1,0,0,0,0,0,2,0,0,0,1,8,3,0,0,0
"149",2016,4,"OB",61214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0
"150",2016,4,"OB",62234,8,7,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,5,3,0,4,2,2,0,0,1,0,1,2,0,9,6,6,3,0
"151",2016,4,"OB",62244,21,15,2,2,3,1,0,0,0,0,0,0,5,0,1,5,0,1,4,8,1,1,2,2,0,0,1,0,2,2,1,5,5,6,1,0
"152",2016,4,"OB",63260,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0
