"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","BB","HP","KK","GD","PA","SB","CS","SF","BAT_ORDER","stadium_MH","stadium_MS","stadium_JS","stadium_SW","stadium_DJ","stadium_DG","stadium_GJ","stadium_GC","stadium_SJ","stadium_PH","stadium_US","stadium_CJ","stadium_CW","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","HOME","AWAY"
2016,4,61186,"LG",71,19,1,0,2,5,1,18,0,78,2,4,1,1,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,61204,"OB",11,2,0,0,0,0,0,0,0,12,1,0,1,6,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,61208,"OB",5,2,0,0,0,2,1,0,0,8,0,0,0,8,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,61214,"OB",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,61353,"WO",84,30,1,4,0,2,0,23,2,87,4,2,1,2,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,61366,"WO",19,4,0,0,0,0,3,6,1,22,0,0,0,9,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,61463,"SS",1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,61554,"LT",1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,61643,"HT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,61666,"HT",0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,61700,"HH",31,6,1,0,1,4,1,7,3,36,0,0,0,8,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,61743,"HT",31,8,1,2,0,2,0,8,1,34,0,1,1,1,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,61891,"LG",0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,62056,"SK",0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,62164,"LG",56,20,3,0,2,14,1,19,1,71,0,0,0,6,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,62234,"OB",7,1,0,0,0,1,0,3,0,8,0,0,0,9,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,62244,"OB",15,3,1,0,0,5,1,5,0,21,0,0,0,5,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,62332,"WO",7,3,1,0,0,0,1,1,0,8,0,0,0,6,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,62353,"WO",21,5,0,1,0,3,1,7,0,26,1,1,1,8,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,62404,"SS",87,32,6,2,2,10,1,14,0,100,3,0,2,3,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,62415,"SS",81,14,3,0,1,5,0,18,2,93,1,4,7,2,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,62559,"LT",4,1,1,0,0,0,0,1,0,4,0,0,0,7,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,62668,"HT",10,3,0,0,1,0,0,5,0,11,0,0,1,9,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,62700,"HH",61,17,4,0,2,2,2,15,0,67,0,2,2,7,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,62797,"HH",3,1,0,0,0,0,0,2,0,3,0,0,0,8,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,62864,"SK",10,2,1,0,0,4,0,2,0,14,1,0,0,9,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,62893,"SK",31,11,1,0,0,1,2,9,0,36,0,1,2,8,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,62907,"NC",46,14,1,1,1,4,0,9,1,50,3,1,0,1,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,62908,"NC",1,0,0,0,0,0,0,0,0,1,0,0,0,6,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,62934,"NC",27,3,0,0,0,1,1,7,0,31,0,1,2,2,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,62947,"NC",90,27,8,0,2,9,0,30,0,101,0,1,2,3,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,63077,"LG",18,3,1,0,0,0,0,6,0,18,1,0,0,9,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,63123,"LG",15,1,0,0,0,1,0,7,0,16,0,0,0,9,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,63260,"OB",1,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,63360,"WO",7,1,0,0,0,3,1,1,0,11,0,0,0,5,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,63440,"SS",24,7,2,0,0,1,1,4,0,26,0,0,0,8,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,63634,"HT",16,5,2,0,0,1,0,6,0,17,0,0,0,8,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,63636,"HT",2,1,0,0,0,0,0,0,0,2,0,1,0,6,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,63704,"HT",48,16,1,1,1,5,0,15,0,55,4,0,2,2,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,63920,"NC",27,12,2,0,0,7,0,8,0,35,0,1,1,1,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,64004,"KT",6,0,0,0,0,1,0,2,0,7,0,0,0,2,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,64006,"KT",14,4,0,0,0,2,0,2,0,16,3,1,0,9,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,64007,"KT",16,4,1,0,1,0,0,5,0,16,0,0,0,4,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,64022,"LT",10,1,0,0,0,0,0,2,0,10,0,0,0,6,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,64086,"HH",69,18,5,0,3,5,1,25,2,78,0,1,3,7,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,64153,"LG",30,6,1,0,0,2,0,5,0,33,0,0,1,7,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,64166,"KT",7,0,0,0,0,1,0,3,0,8,0,1,0,2,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,64300,"WO",87,24,6,0,4,9,2,19,0,99,6,2,1,8,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,64346,"WO",54,9,4,0,0,7,0,21,1,62,3,2,1,9,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,64468,"SS",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,64493,"SS",7,1,0,0,0,1,0,3,0,8,0,1,0,5,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,64499,"SS",14,4,1,0,0,1,0,2,1,16,0,1,1,9,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,64610,"HT",13,3,1,1,0,0,0,2,0,13,0,0,0,8,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,64646,"HT",5,0,0,0,0,0,0,1,0,5,1,0,0,5,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,64699,"HT",77,27,8,0,3,6,0,11,4,83,2,0,0,4,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,64890,"SK",3,0,0,0,0,0,0,2,0,3,0,0,0,4,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,64906,"NC",2,0,0,0,0,0,0,1,0,2,0,0,0,7,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,64914,"NC",85,28,4,0,5,11,1,20,0,97,1,2,0,4,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,65005,"KT",82,19,2,0,5,7,0,14,5,89,0,0,0,3,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,65103,"LG",83,24,3,0,9,8,2,12,1,94,4,0,1,5,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,65115,"LG",9,1,0,0,0,4,0,3,0,13,0,1,0,3,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,65506,"LT",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,65513,"LT",9,0,0,0,0,1,0,4,0,10,0,0,0,8,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,65523,"LT",88,27,6,1,2,7,0,23,2,97,6,1,2,3,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,65546,"LT",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,65653,"HT",8,3,1,0,0,0,0,3,0,8,0,0,0,2,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,65933,"NC",0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,66209,"OB",8,2,0,0,0,0,0,3,0,8,1,1,0,8,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,66244,"OB",61,10,2,0,1,10,2,18,1,74,0,0,1,4,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,66306,"WO",91,22,4,0,5,13,2,16,2,108,0,0,2,4,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,66452,"SS",73,17,2,0,1,11,1,9,0,86,0,0,1,3,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,66643,"HT",0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,66740,"HH",75,23,5,0,1,3,1,24,2,80,0,1,1,6,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,66805,"SK",56,11,1,0,3,2,1,14,2,59,2,3,0,7,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,66833,"SK",4,0,0,0,0,0,0,2,0,4,0,0,0,1,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,66838,"SK",2,1,0,0,0,0,0,1,0,2,0,0,0,8,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,66928,"NC",0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,66968,"NC",3,0,0,0,0,0,0,0,0,3,3,0,0,5,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,70142,"HT",0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,70410,"HT",93,26,7,1,1,4,1,13,3,99,1,3,1,3,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,70553,"KT",58,14,5,0,0,7,0,12,2,66,0,1,1,9,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,70646,"KT",71,14,0,0,4,7,1,21,5,81,0,0,2,6,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,70756,"HT",82,25,5,0,4,8,2,13,1,93,1,1,1,5,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,71184,"HT",27,6,1,0,0,1,1,4,1,31,0,0,2,8,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,71207,"HT",51,11,3,0,0,11,0,12,2,62,1,0,0,1,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,71347,"HH",32,6,1,1,0,2,0,8,1,36,0,0,2,2,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,71432,"SS",28,8,1,0,0,4,1,8,0,33,1,0,0,6,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,71552,"LT",85,25,5,0,4,19,0,25,4,105,0,0,1,4,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,71562,"LT",76,22,1,1,0,6,0,10,0,86,2,1,4,7,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,71565,"LT",23,3,0,0,0,4,0,4,2,27,0,0,0,9,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,71610,"HH",45,13,2,0,1,8,0,13,1,56,2,0,3,3,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,71752,"HH",85,25,5,0,1,15,0,15,2,101,0,0,1,4,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,71837,"SK",73,19,4,0,2,6,2,17,1,85,4,1,4,9,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,71842,"LG",37,6,0,0,0,6,1,11,1,45,0,1,1,8,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,71845,"SK",0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,71848,"SK",53,12,1,0,0,9,1,5,1,67,4,2,4,2,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,71857,"SK",51,11,3,0,1,5,0,7,1,59,0,1,3,2,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,72133,"LG",75,21,6,0,2,10,0,13,3,85,2,1,0,3,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,72303,"HT",33,5,0,0,0,5,0,10,1,38,0,0,0,9,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,72443,"SS",87,29,6,0,6,16,0,14,3,103,0,0,0,4,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,72456,"LG",3,1,0,0,0,0,0,0,0,5,0,0,2,9,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,72466,"SS",27,3,0,0,2,6,2,7,2,36,0,0,1,7,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,72546,"LT",57,15,0,0,1,3,0,9,0,64,1,1,4,9,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,72551,"LT",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,72559,"HT",32,8,2,0,1,2,2,8,0,36,1,1,0,1,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,72860,"SK",6,0,0,0,0,1,0,2,0,8,0,0,1,2,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,73113,"KT",77,24,7,0,3,12,2,15,3,92,0,0,1,6,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,73136,"HH",67,17,2,1,0,1,2,18,1,71,0,0,1,3,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,73153,"KT",91,26,3,0,0,15,0,14,0,107,10,3,1,1,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,73213,"NC",80,20,5,0,2,4,2,12,5,89,0,0,3,7,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,73226,"LT",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,73306,"NC",50,10,1,0,3,3,2,12,0,57,0,1,2,8,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,73339,"NC",72,19,8,0,1,7,0,8,1,80,1,0,1,2,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,73342,"WO",74,22,0,1,1,11,0,8,1,86,1,2,1,3,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,73602,"HH",46,12,2,0,0,4,0,8,2,53,0,0,3,9,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,73606,"HT",28,8,1,0,3,4,1,7,0,33,1,0,0,9,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,73750,"HH",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,73824,"LG",4,0,0,0,0,2,1,2,0,7,0,0,0,8,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,74163,"HH",55,12,2,0,0,9,1,2,1,67,3,0,2,2,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,74206,"OB",68,21,3,0,1,14,1,11,2,89,1,2,6,9,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,74215,"WO",13,5,1,0,0,2,1,1,1,16,0,0,0,6,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,74223,"NC",13,0,0,0,0,1,0,4,0,14,0,0,0,9,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,74339,"KT",87,33,2,0,4,10,2,7,1,100,1,1,1,4,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,74358,"NC",3,0,0,0,0,1,0,1,0,4,0,0,0,7,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,74465,"NC",77,21,4,0,3,14,4,21,4,97,1,0,1,5,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,74540,"LT",74,22,3,0,6,13,3,23,1,91,0,0,1,6,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,74605,"HT",80,22,3,0,4,11,1,13,1,92,0,1,0,6,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,74729,"HH",52,19,1,0,1,10,2,10,1,65,0,0,1,6,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,74731,"HH",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,74823,"LG",9,1,0,0,0,2,0,1,0,12,1,0,1,1,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,74846,"SK",88,23,5,0,3,5,1,19,3,96,2,0,2,5,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,74857,"HH",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,75138,"SK",0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,75151,"SK",101,32,8,1,5,5,2,21,1,109,2,0,1,4,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,75250,"SK",0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,75334,"OB",66,26,5,0,3,11,1,11,1,79,1,0,1,4,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,75340,"SK",0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,75441,"NC",17,6,0,0,1,3,0,5,2,21,0,1,1,4,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,75808,"HH",88,26,5,0,3,8,2,9,3,99,3,1,1,1,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
