P_ID,Unnamed: 0,year,month,START_CK,RELIEF_CK,CG_CK,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,VS_T_ID_HH,VS_T_ID_HT,VS_T_ID_KT,VS_T_ID_LG,VS_T_ID_LT,VS_T_ID_NC,VS_T_ID_OB,VS_T_ID_SK,VS_T_ID_SS,VS_T_ID_WO,TB_SC_B,TB_SC_T,WLS_D,WLS_L,WLS_ND,WLS_S,WLS_W,AVG,OBP,SLG,OPS,KBB,BABIP,inplay_ratio
50835,15206,6060,18,13,0,0,0,217,1280,342,295,87,18,1,3,11,2,1,3,37,1,6,40,9,1,1,0,46,36,2,1,1,3,1,1,1,0,1,2,7,6,0,5,4,0,4,0.8938425400332071,1.1503529411764712,1.216818549088195,2.3671714902646652,3.2432432432432403,0.988235294117646,1.3734939759036144
50900,5034,2020,6,0,1,0,0,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1.0,1.0,1.0,2.0,0.0,1.0,1.0
50912,15096,6060,18,13,0,0,0,211,1261,303,264,67,10,0,7,2,1,2,0,32,0,5,55,7,2,1,0,30,30,2,2,3,1,1,0,2,0,2,0,6,7,0,2,5,0,6,0.7605905177438429,1.037063946154855,1.118125197755167,2.1551891439100217,5.15625,0.891089108910891,1.5
60105,13570,12104,46,0,14,0,0,61,367,93,80,20,5,0,4,0,0,0,2,9,0,2,14,1,3,0,0,10,10,2,2,0,0,2,4,1,1,2,0,7,7,0,0,14,0,0,1.7790004113533533,2.4551614543605393,2.895516248457425,5.350677702817964,9.33333333333336,1.5,1.55
60140,73215,48437,144,2,170,0,22,499,2961,756,647,183,27,3,17,16,7,10,6,69,3,24,163,18,14,0,4,124,109,13,15,28,5,24,21,16,19,12,19,86,86,0,14,137,10,11,7.016287454336799,9.64595163473181,10.486750165454351,20.13270180018617,56.695652173913054,8.422832980972514,1.6399132321041214
60146,58029,46407,144,0,146,0,18,450,2644,679,582,156,22,2,26,10,3,8,5,76,2,8,122,12,7,1,0,88,79,13,20,17,15,16,13,14,18,4,16,81,65,0,5,133,0,8,6.27242412428171,8.209927366403878,10.458090350660008,18.668017717063893,36.92105263157902,6.810933940774483,1.5827505827505828
60164,570,2016,7,2,0,0,0,16,108,25,20,7,1,0,1,0,0,0,1,4,0,0,0,2,1,0,0,4,4,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0.35,0.44,0.55,0.99,0.0,0.3,1.3888888888888888
60181,27061,36304,113,0,152,0,38,489,2719,691,626,163,29,4,32,12,2,6,9,41,5,9,137,9,7,1,0,88,83,17,22,17,0,17,22,16,13,13,15,79,73,1,13,122,4,12,4.544510712725636,5.762250827880196,8.296072432260324,14.05832326014052,60.14634146341468,5.060085836909867,1.5424107142857142
60255,9743,8070,29,0,6,0,0,12,85,22,17,5,0,0,3,3,0,0,0,4,0,1,4,0,0,0,0,6,6,0,2,0,1,1,0,0,1,0,1,5,1,0,0,6,0,0,0.8666666666666669,1.616666666666666,2.46666666666667,4.083333333333332,4.0,0.8,2.2
60263,80417,62550,200,112,8,1,0,1789,10297,2628,2339,644,105,7,69,22,25,20,14,213,2,42,505,41,24,1,5,351,317,15,14,15,7,12,0,12,21,11,13,65,55,0,33,51,0,36,8.405900512916995,10.423308778526227,12.607541007835193,23.030849786361408,73.49765258215952,10.019673974142787,1.500856653340948
60264,16747,26217,84,33,7,0,0,481,2881,747,656,211,42,5,27,18,9,8,8,67,1,8,87,17,5,1,2,140,129,1,7,1,4,3,6,3,5,7,3,21,19,0,18,15,0,7,4.471389337430119,5.238490915215813,7.348704042086492,12.587194957302312,16.880597014925417,4.349090909090915,1.398876404494382
60336,13464,6058,20,2,9,0,0,48,292,68,56,14,1,0,1,0,1,0,0,12,0,0,14,4,0,0,0,7,7,0,2,1,0,1,2,2,2,1,0,8,3,0,1,9,0,1,0.73125,1.0904761904761902,0.85625,1.94672619047619,3.50000000000001,0.9512195121951208,1.6585365853658536
60337,38433,20188,64,0,30,0,0,102,576,149,127,34,10,0,2,3,4,0,2,15,2,5,27,5,1,0,0,18,18,1,2,0,5,2,2,9,2,2,5,18,12,0,0,30,0,0,4.0082732082732075,4.571969696969696,6.013894901394897,10.585864598364594,18.000000000000004,3.1999999999999997,1.5520833333333333
60339,69044,50445,171,13,106,0,9,558,3309,837,719,204,34,3,26,14,4,10,10,80,0,18,117,16,13,1,3,127,112,16,10,11,12,14,7,12,17,13,7,65,54,1,11,102,0,5,8.043159499518755,9.904143051083683,11.841744605577638,21.74588765666132,36.562499999999986,7.593856655290105,1.4787985865724382
60342,1326,6048,17,0,11,0,0,29,190,47,36,8,2,0,0,1,0,0,0,9,0,2,2,1,1,0,0,7,7,1,2,1,3,1,1,1,1,0,0,8,3,0,0,11,0,0,0.6066666666666669,1.138528138528139,0.686666666666667,1.825194805194805,0.666666666666666,0.7058823529411771,1.3823529411764706
60441,1618,2017,6,0,1,0,0,3,33,8,6,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.666666666666667,0.625,0.666666666666667,1.29166666666667,1.0,0.666666666666667,2.0
60457,8524,16131,55,0,25,0,0,94,545,143,130,41,6,1,7,4,0,1,1,7,0,4,30,2,3,0,0,22,19,2,5,1,4,2,2,2,3,0,4,10,15,0,0,24,0,1,2.2519910888331944,3.1234827538053356,4.333535226956279,7.457017980761612,34.28571428571433,2.893617021276592,1.5543478260869565
60559,65211,52460,167,12,169,0,11,686,4051,1038,890,236,49,4,35,12,6,5,15,119,5,9,204,14,25,0,0,163,155,18,17,21,23,0,19,22,17,20,24,87,94,1,8,166,0,6,7.133310236171344,9.382695162414224,12.05181541315455,21.434510575568776,44.57142857142843,7.846846846846852,1.6320754716981132
60634,54619,44389,142,10,131,0,17,438,2560,667,554,153,18,2,11,11,7,8,7,87,1,11,96,12,6,3,7,76,65,12,0,12,16,14,14,19,21,12,21,71,70,0,6,124,4,7,6.529102125557027,8.87705683027095,8.527672790242118,17.404729620513077,24.275862068965544,6.881057268722471,1.5159090909090909
60636,22142,34284,112,2,111,0,25,282,1827,442,384,116,20,1,11,15,1,5,4,45,4,4,88,5,3,0,0,68,63,12,0,9,16,8,17,11,12,13,15,61,52,0,4,99,3,7,5.178012099901781,6.625673684501174,7.618663071397308,14.244336755898484,33.24444444444451,6.176470588235284,1.5729537366548043
60757,29105,22195,79,0,49,0,6,114,791,187,150,47,8,0,4,1,1,3,1,31,0,2,41,3,8,0,0,23,22,0,6,1,3,6,7,10,2,6,8,26,23,0,0,48,0,1,3.569434974390336,5.751230472426126,4.703994292720982,10.455224765147108,14.54838709677419,4.462264150943403,1.7980769230769231
60764,4663,12098,37,3,15,0,0,53,362,92,72,24,2,0,3,0,0,1,2,17,0,0,14,2,1,0,0,22,21,0,2,3,3,0,2,4,2,2,0,10,8,0,2,16,0,0,2.358140225787285,3.0259615384615377,2.920083184789067,5.94604472325061,4.9411764705882355,2.210526315789474,1.7358490566037736
60768,80395,60537,189,38,142,0,23,1007,5799,1481,1311,373,62,5,47,25,11,16,11,131,5,12,254,39,13,0,6,203,190,1,20,20,20,19,20,20,21,22,17,88,92,0,22,144,1,13,8.61315072505688,10.46303503284891,14.157761556138828,24.620796588987748,58.16793893129761,9.578844270323222,1.4824824824824825
60841,82671,62551,200,127,1,0,1,1994,11594,2966,2542,671,117,8,67,123,36,21,19,297,1,87,515,59,14,0,7,370,332,19,13,14,17,14,9,15,0,15,12,62,66,0,44,38,0,46,8.28285031416837,11.233991493975708,12.387314946633012,23.621306440608716,53.75420875420859,9.461344113188497,1.5280783101494075
60845,46025,34303,111,0,105,0,9,316,1876,481,420,134,22,3,18,12,4,4,5,47,2,5,89,10,8,2,0,83,82,9,16,11,8,13,12,8,4,12,12,53,52,1,7,90,3,4,5.317752711756397,6.533306106095078,8.75205531494006,15.285361421035134,32.19148936170221,6.201257861635211,1.5616883116883118
60848,2818,6049,21,0,14,0,0,34,225,55,49,18,3,1,2,2,3,0,0,5,0,1,13,0,0,0,0,12,12,0,2,0,0,1,0,0,7,1,3,7,7,0,0,13,0,1,1.215384615384616,1.4375,1.861538461538462,3.2990384615384647,7.800000000000001,1.4117647058823541,1.6176470588235294
61101,78352,58517,194,87,25,0,3,1413,8295,2124,1850,523,102,5,57,32,20,13,21,187,2,53,410,30,27,0,4,293,270,13,8,13,0,9,16,13,20,13,7,50,62,0,32,51,1,28,8.116782402336355,10.644786169017687,12.870791539042315,23.515577708059997,63.58288770053483,9.625356125356127,1.5594713656387664
61145,43915,24225,67,14,23,0,2,278,1687,421,337,86,17,1,6,8,7,4,0,75,1,5,59,16,6,0,1,67,61,8,3,3,0,2,3,10,4,0,4,18,19,0,4,28,0,5,5.2500312896597725,6.5338842865913636,8.612672684499309,15.146556971090671,9.440000000000005,3.529411764705887,1.5477941176470589
61156,14830,6060,18,0,7,0,0,19,137,30,24,5,1,0,0,0,0,0,0,5,0,1,5,1,3,0,0,3,3,0,0,2,1,1,0,0,2,0,1,4,3,0,0,7,0,0,0.80952380952381,1.311111111111111,1.05952380952381,2.3706349206349238,3.0,0.7894736842105259,1.5789473684210527
61214,58381,50438,162,13,99,0,0,482,2892,770,677,217,40,4,21,21,4,4,5,76,1,8,111,11,13,2,4,120,109,12,10,10,16,15,14,2,8,13,12,64,48,0,4,105,1,2,7.710431827874998,10.059749999117908,13.034463847697426,23.09421384681534,36.51315789473675,8.909090909090894,1.4259259259259258
61215,6832,14114,50,9,12,0,0,159,1043,260,218,80,18,2,6,2,4,2,4,32,0,4,28,9,2,0,0,44,43,2,7,2,3,2,2,0,2,0,1,14,7,0,2,18,0,1,2.796066252587992,3.45499844024866,3.8814354727398204,7.336433912988482,6.125,2.755319148936172,1.4444444444444444
61240,38571,44374,150,85,2,1,0,1569,8863,2248,2010,535,87,12,61,48,18,24,13,173,2,28,468,42,30,0,4,237,219,9,9,9,7,8,11,3,8,11,12,47,40,0,19,24,0,44,5.693569195315593,7.014988094127449,8.674055255846165,15.689043349973606,59.51445086705207,6.979919678714864,1.5313351498637602
61268,57712,28265,93,3,84,0,10,303,1411,398,356,84,9,2,6,2,4,3,6,29,0,4,64,12,0,0,0,31,30,11,10,5,9,12,9,11,10,10,0,47,40,0,3,77,1,6,3.2914944117304086,4.177345716589592,4.141837962669371,8.319183679258957,30.896551724137954,3.739726027397261,1.4214285714285715
61295,33243,22198,80,0,37,0,0,114,621,163,142,39,7,0,9,3,6,3,1,16,0,1,24,2,0,0,1,27,25,4,2,4,6,6,1,1,7,3,3,13,24,0,1,34,0,2,2.8379953379953378,4.016668464626722,6.227806915306916,10.24447537993363,16.5,3.0000000000000027,1.5092592592592593
61323,791,6048,15,10,0,0,0,141,831,209,170,44,7,1,7,8,4,4,1,26,1,8,27,3,0,0,0,22,22,1,2,2,1,1,0,1,2,0,0,4,6,0,2,6,0,2,0.775817732406699,1.139444339444339,1.296412063977654,2.435856403421993,3.1153846153846203,0.81021897810219,1.548148148148148
61329,37179,38328,116,3,113,0,14,294,1669,438,382,110,15,1,11,6,3,4,5,35,5,12,72,6,3,0,1,65,57,12,11,9,3,7,19,19,10,13,13,60,56,3,3,103,1,6,5.335088754054272,7.359871921936703,7.63161898770418,14.991490909640879,39.08571428571433,6.187499999999996,1.489795918367347
61365,65557,50445,147,20,139,0,14,784,4506,1183,1043,316,74,8,38,22,15,5,12,97,1,26,144,24,7,1,4,190,178,19,17,20,16,26,10,16,17,0,18,90,69,0,11,130,0,18,7.254578458383585,8.930082292363858,12.311646295258903,21.241728587622767,37.11340206185574,7.961053837342496,1.3934040047114251
61396,11401,14119,39,0,15,0,0,39,291,74,55,17,3,0,1,2,0,0,1,13,0,5,9,1,2,1,0,22,21,2,2,2,1,2,2,2,2,0,0,11,4,0,0,15,0,0,2.790834165834166,3.6767482517482506,3.510614385614386,7.187362637362642,4.846153846153845,2.4347826086956537,1.6818181818181819
61411,37378,42357,140,0,187,0,25,643,3751,920,796,171,27,2,30,24,4,8,4,92,12,20,247,5,7,1,0,97,89,22,16,18,24,28,24,18,20,0,17,99,88,0,15,113,48,11,4.183550439467214,6.244018501077707,7.473436929216979,13.717455430294693,56.38043478260863,5.661567877629069,1.7864077669902914
61456,49553,30272,109,2,102,0,3,426,2279,610,556,158,32,4,15,12,5,9,4,39,2,2,134,9,9,0,2,72,67,14,8,12,14,11,11,8,13,13,0,58,46,0,7,88,4,5,3.9147430160319576,4.554958754706445,5.991194600217198,10.546153354923646,51.538461538461576,5.218978102189785,1.5136476426799008
61457,57996,36329,107,0,144,0,11,279,1572,400,345,81,18,2,8,8,2,3,7,31,1,14,72,5,1,0,1,47,41,19,13,14,19,10,13,24,15,0,17,74,70,0,2,141,0,1,4.494312614200384,6.783563211232845,7.42216928396108,14.205732495193919,41.8064516129032,4.830882352941169,1.550387596899225
61496,8018,8069,25,7,5,0,0,101,743,170,143,48,4,0,7,3,2,0,0,25,0,2,28,3,8,1,1,37,31,1,3,2,2,1,0,2,1,0,0,4,8,0,2,9,0,1,1.4987588652482269,1.962220776404251,2.318971631205673,4.2811924076099235,4.48,1.51851851851852,1.5740740740740742
61557,467,2016,6,0,6,0,0,16,93,24,22,6,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,1,0,0,0,2,0,2,0,1,0,0,6,0,0,6,0,0,0.272727272727273,0.33333333333333304,0.5,0.833333333333333,0.0,0.23809523809523803,1.1428571428571428
61569,72,2016,4,0,1,0,0,6,34,9,9,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.33333333333333304,0.33333333333333304,0.666666666666667,1.0,0.0,0.28571428571428603,1.2857142857142858
61643,72488,56497,190,26,111,0,10,838,4992,1276,1135,361,67,7,36,14,7,11,14,109,3,7,219,29,23,0,5,202,190,15,2,14,20,15,10,18,18,11,14,77,60,2,15,107,5,8,9.180269995188327,10.621706459429028,15.045977495177555,25.667683954606577,56.256880733945046,10.178970917225966,1.4734411085450347
61666,33788,38324,132,19,74,0,12,481,2905,744,633,187,35,5,15,17,5,6,12,86,4,7,138,13,34,0,2,115,106,12,0,8,15,8,14,10,10,6,10,46,47,0,6,74,2,11,5.466074425617895,7.28251044473955,8.169563567643179,15.45207401238274,30.48837209302329,6.6422764227642235,1.5897435897435896
61715,189,2016,5,0,1,0,0,4,50,11,4,2,0,0,1,0,0,1,0,6,0,0,0,1,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.5,0.8,1.25,2.05,0.0,0.33333333333333304,3.6666666666666665
61891,10286,20164,69,0,86,0,1,264,1524,392,333,88,11,3,6,2,1,4,3,44,4,7,105,8,6,0,1,37,35,12,8,11,0,9,10,9,11,5,11,42,44,0,8,47,28,3,2.4926955068831487,3.7834979476068953,3.7907282699502374,7.574226217557137,23.863636363636402,3.6444444444444404,1.7899543378995433
61895,80890,56502,187,0,219,0,59,660,3888,950,827,199,34,4,29,12,8,11,4,101,10,7,251,12,17,0,1,112,102,29,26,18,25,23,25,25,0,20,28,110,109,0,11,190,10,8,6.715209595352474,9.016303745874048,11.337510858711257,20.3538146045853,69.58415841584171,8.638838475499089,1.7495395948434622
61929,550,2016,7,0,1,0,0,1,19,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1.0,1.0,1.0,2.0,0.0,1.0,2.0
61962,14228,8075,20,0,19,0,0,66,466,102,83,20,3,0,4,2,1,0,1,17,0,1,16,1,0,0,1,12,11,2,5,2,1,1,1,0,2,2,3,7,12,0,1,18,0,0,1.0095495495495501,1.50887445887446,1.572792792792793,3.081667251667255,3.76470588235294,1.0,1.6451612903225807
62056,66429,46413,149,0,140,0,23,395,2345,582,498,122,22,1,19,11,3,5,1,66,3,12,98,8,12,0,0,82,72,15,15,23,14,9,14,17,0,16,17,67,73,1,3,128,2,6,5.286401926961103,8.136934470124524,9.49109002829284,17.628024498417368,34.15151515151505,6.201570680628268,1.5315789473684212
62146,31118,32277,96,0,102,0,10,224,1291,349,304,86,16,1,8,2,1,4,0,36,4,5,50,4,3,0,4,46,40,15,8,9,0,14,9,14,7,13,13,51,51,0,1,98,1,2,4.911380153132876,6.249139355760718,7.387761782478649,13.636901138239365,22.222222222222232,5.073170731707309,1.41869918699187
62242,53197,34308,115,0,150,0,30,451,2285,622,562,142,30,3,12,12,3,5,8,40,3,7,91,14,11,0,0,63,59,19,20,16,16,19,14,0,18,12,16,79,71,0,2,133,5,10,4.80079605535501,5.7290888804838564,7.700280491085554,13.429369371569408,38.67499999999999,4.732334047109208,1.3791574279379157
62263,15168,10092,23,0,14,0,0,47,300,77,67,24,6,0,2,0,0,0,1,5,0,4,9,4,0,1,0,16,14,2,2,1,0,1,0,1,2,2,3,8,6,0,0,13,0,1,2.0342857142857143,2.232857142857143,2.59968253968254,4.832539682539682,9.0,1.92982456140351,1.4
62294,4866,2020,5,0,1,0,0,0,9,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0,inf
62322,15376,22183,76,36,0,0,0,631,3603,878,794,195,38,1,23,8,8,7,9,61,0,7,220,10,5,0,2,97,85,3,5,3,3,6,2,6,6,2,0,16,20,0,10,11,0,15,2.7835416778671243,3.42135189884349,4.223180513525782,7.644532412369272,39.67213114754098,3.378571428571427,1.6199261992619927
62338,2171,4033,12,1,1,0,0,18,122,32,26,9,0,0,0,0,0,0,0,6,0,0,2,1,0,0,0,4,4,1,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0.7212121212121221,0.959514170040485,0.7212121212121221,1.6807262912526069,0.6666666666666661,0.75,1.3333333333333333
62360,67371,34320,109,8,83,0,9,461,2453,667,602,174,34,2,16,6,2,3,6,49,1,7,110,18,6,0,0,86,83,8,6,10,10,8,14,12,12,11,0,38,53,0,5,70,2,14,5.7048327008471915,6.621442364824716,8.456610517769937,15.078052882594665,38.1632653061224,5.5726141078838225,1.4191489361702128
62363,86135,52475,171,53,88,0,29,1186,6368,1748,1556,447,83,7,41,21,13,21,17,103,1,51,279,42,13,2,5,230,208,12,16,15,20,13,14,15,21,15,0,68,73,1,22,86,5,27,7.45457163762654,8.888379335891694,11.03987726837562,19.9282566042673,70.42718446601943,8.424581005586592,1.4339622641509433
62463,3414,12096,42,13,12,0,0,214,1261,335,277,84,17,1,4,2,4,7,2,45,1,4,35,10,11,0,3,54,49,4,1,4,0,2,2,3,4,4,1,13,12,0,6,17,0,2,1.743599873767372,2.336223230062904,2.407873280200437,4.744096510263343,4.666666666666667,1.9999999999999982,1.4194915254237288
62528,74179,52468,163,73,35,0,1,1163,7186,1806,1551,455,82,5,58,50,23,13,22,193,2,27,341,21,22,0,4,275,255,13,12,16,11,0,12,15,11,10,8,60,48,0,26,50,10,22,7.001584629547115,9.221861477320735,11.260674538111461,20.482536015432192,45.93782383419683,8.792163543441225,1.5982300884955751
62595,18421,10093,35,0,5,0,0,16,144,33,25,10,3,0,1,1,0,1,1,6,0,0,6,0,1,0,0,11,9,1,1,0,0,0,0,1,0,1,1,4,1,0,0,5,0,0,1.6,2.1,2.5,4.6,5.0,2.36842105263158,1.9411764705882353
62611,39780,20189,66,7,41,0,1,190,1146,297,253,78,21,1,3,9,3,2,3,37,0,2,35,10,6,0,1,43,36,0,4,5,5,5,7,4,7,4,7,25,23,0,4,42,0,2,2.231200791545619,4.246713841566705,3.479666119321291,7.726379960888002,9.459459459459458,3.440366972477059,1.400943396226415
62637,2579,4034,9,0,18,0,4,42,256,66,55,16,1,1,1,2,0,0,1,9,0,1,10,2,1,0,0,12,11,2,0,2,3,1,1,2,2,2,3,9,9,0,1,16,0,1,0.600806451612903,0.801843317972351,0.82258064516129,1.6244239631336361,2.22222222222222,0.6666666666666661,1.5348837209302326
62648,45227,44381,146,6,165,0,26,681,4258,1022,845,201,30,3,29,25,5,11,6,150,12,10,204,17,19,1,3,121,115,16,0,18,19,24,20,17,20,16,21,77,94,0,15,120,21,15,5.573765971051011,7.974466858477375,8.793057984382058,16.767524842859427,29.91999999999999,6.122977346278321,1.6864686468646866
