"year","month","T_ID","P_ID","PA","AB","RBI","RUN","HIT","H2","H3","HR","SB","CS","SH","SF","BB","IB","HP","KK","GD","ERR","LOB","P_AB_CN","P_HIT_CN","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","BAT_ORDER","HOME","AWAY","VISIT_G","HOME_G"
2016,4,"HH",99737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,11,12
2016,4,"HT",61643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,2,13,9
2016,4,"HT",61666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,13,9
2016,4,"HT",61743,34,31,1,2,8,1,2,0,0,1,1,0,2,0,0,8,1,0,7,5,1,0,0,2,2,0,2,0,3,0,2,1,4,7,13,9
2016,4,"HT",62668,11,10,1,3,3,0,0,1,0,0,1,0,0,0,0,5,0,0,2,3,0,2,0,1,1,2,1,1,1,2,1,9,5,7,13,9
2016,4,"HT",63634,17,16,2,1,5,2,0,0,0,0,0,0,1,0,0,6,0,1,3,6,2,0,0,2,1,0,1,0,2,0,1,8,2,5,13,9
2016,4,"HT",63636,2,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,1,0,3,0,1,6,2,5,13,9
2016,4,"HT",63704,55,48,5,10,16,1,1,1,4,0,2,0,5,0,0,15,0,0,9,11,3,2,0,1,0,3,0,1,3,3,2,2,6,9,13,9
2016,4,"HT",64610,13,13,0,2,3,1,1,0,0,0,0,0,0,0,0,2,0,0,6,3,0,1,0,0,0,3,0,2,0,2,0,8,4,4,13,9
2016,4,"HT",64646,5,5,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,1,0,1,0,1,1,3,2,1,3,3,2,5,7,10,13,9
2016,4,"HT",64699,83,77,12,12,27,8,0,3,2,0,0,0,6,0,0,11,4,2,19,18,7,2,0,3,1,2,2,2,3,3,2,4,8,12,13,9
2016,4,"HT",65653,8,8,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,2,1,0,0,0,2,1,2,13,9
2016,4,"HT",66643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,13,9
2016,4,"HT",70142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,13,9
2016,4,"HT",70410,99,93,16,15,26,7,1,1,1,3,0,1,4,0,1,13,3,1,15,24,10,2,0,3,2,3,2,2,3,3,2,3,9,13,13,9
2016,4,"HT",70756,93,82,14,13,25,5,0,4,1,1,0,1,8,1,2,13,1,1,16,25,6,2,0,3,2,3,2,2,3,3,2,5,9,13,13,9
2016,4,"HT",71184,31,27,2,2,6,1,0,0,0,0,1,1,1,0,1,4,1,0,5,4,0,2,0,1,0,2,1,2,3,2,2,8,6,9,13,9
2016,4,"HT",71207,62,51,9,6,11,3,0,0,1,0,0,0,11,0,0,12,2,0,12,14,5,1,0,3,2,2,2,2,3,2,2,1,8,11,13,9
2016,4,"HT",72303,38,33,3,1,5,0,0,0,0,0,0,0,5,0,0,10,1,0,8,7,2,0,0,3,2,0,2,0,3,0,2,9,4,8,13,9
2016,4,"HT",72559,36,32,6,5,8,2,0,1,1,1,0,0,2,0,2,8,0,0,7,7,3,2,0,0,0,3,0,1,0,3,0,1,4,5,13,9
2016,4,"HT",73606,33,28,8,6,8,1,0,3,1,0,0,0,4,0,1,7,0,1,5,5,3,2,0,0,0,3,0,2,0,3,0,9,5,5,13,9
2016,4,"HT",74605,92,80,6,10,22,3,0,4,0,1,0,0,11,0,1,13,1,6,14,13,2,2,0,3,2,3,2,2,3,3,2,6,9,13,13,9
2016,4,"HT",77648,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,2,0,0,0,1,0,0,8,2,2,13,9
2016,4,"HT",78629,57,45,8,9,15,4,0,1,2,0,0,1,10,0,1,12,1,1,12,15,4,2,0,1,2,3,2,2,0,3,0,4,7,8,13,9
2016,4,"HT",78643,54,48,4,2,8,1,0,2,1,1,0,0,6,0,0,18,0,2,8,15,2,2,0,2,2,3,2,2,3,3,2,8,9,12,13,9
2016,4,"HT",78765,40,36,6,2,10,2,0,1,0,0,0,0,2,0,2,13,1,0,10,14,4,2,0,3,2,2,1,1,3,3,2,7,8,11,13,9
2016,4,"HT",79617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,13,9
2016,4,"KT",64004,7,6,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,3,0,0,3,0,0,0,0,0,3,3,1,2,7,3,11,14
2016,4,"KT",64006,16,14,0,2,4,0,0,0,3,1,0,0,2,0,0,2,0,2,10,3,0,0,3,0,2,1,0,2,4,5,2,9,11,8,11,14
2016,4,"KT",64007,16,16,3,3,4,1,0,1,0,0,0,0,0,0,0,5,0,1,1,3,1,0,1,0,0,0,0,0,3,2,1,4,4,3,11,14
2016,4,"KT",64166,8,7,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,2,3,0,0,3,0,0,0,0,1,3,3,2,2,8,4,11,14
2016,4,"KT",65005,89,82,20,11,19,2,0,5,0,0,0,0,7,0,0,14,5,2,13,25,10,0,3,0,2,3,0,3,4,4,3,3,12,10,11,14
2016,4,"KT",70553,66,58,7,8,14,5,0,0,0,1,1,0,7,0,0,12,2,0,7,18,5,0,2,0,2,2,0,2,4,6,3,9,10,11,11,14
2016,4,"KT",70646,81,71,11,8,14,0,0,4,0,0,0,2,7,0,1,21,5,3,11,17,4,0,3,0,2,3,0,2,4,3,3,6,11,9,11,14
2016,4,"KT",73113,92,77,9,14,24,7,0,3,0,0,0,1,12,0,2,15,3,3,18,11,4,0,3,0,1,3,0,3,5,6,3,6,14,10,11,14
2016,4,"KT",73153,107,91,8,10,26,3,0,0,10,3,1,0,15,0,0,14,0,1,30,17,7,0,2,0,2,3,0,3,5,6,3,1,13,11,11,14
2016,4,"KT",74339,100,87,9,19,33,2,0,4,1,1,0,1,10,0,2,7,1,1,21,13,5,0,3,0,2,3,0,3,4,6,3,4,14,10,11,14
2016,4,"KT",76304,6,6,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,2,1,2,0,3,4,3,11,14
2016,4,"KT",77104,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,11,14
2016,4,"KT",77462,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,11,14
2016,4,"KT",77609,64,57,10,3,11,4,0,1,0,0,1,2,4,1,0,16,1,2,11,19,6,0,3,0,2,3,0,3,5,6,3,9,14,11,11,14
2016,4,"KT",78361,20,19,5,2,5,2,1,0,0,0,0,0,1,0,0,5,0,0,3,4,2,0,0,0,1,3,0,2,1,3,0,7,6,4,11,14
2016,4,"KT",78517,75,70,6,7,16,2,0,1,5,1,2,0,2,0,1,21,1,3,10,24,4,0,3,0,1,2,0,3,5,6,3,2,13,10,11,14
2016,4,"KT",78753,3,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,1,11,14
2016,4,"KT",78892,53,47,5,7,7,2,0,1,0,1,0,0,5,0,1,8,3,3,6,15,2,0,3,0,0,1,0,2,5,5,2,8,11,7,11,14
2016,4,"KT",79364,45,35,4,2,8,1,0,0,0,0,5,1,3,0,1,6,0,2,7,8,3,0,0,0,2,3,0,3,2,6,3,8,11,8,11,14
2016,4,"KT",79453,18,17,1,3,5,0,0,0,0,0,0,0,1,0,0,1,0,0,2,6,2,0,0,0,2,2,0,1,0,3,0,1,3,5,11,14
2016,4,"KT",99810,96,79,17,15,28,3,0,4,1,3,0,1,15,0,1,10,2,0,14,26,8,0,3,0,2,3,0,3,5,6,3,5,14,11,11,14
2016,4,"LG",60146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,12,10
2016,4,"LG",61102,39,36,3,2,8,0,0,0,0,0,0,0,2,0,1,8,0,0,7,11,2,3,2,0,0,2,3,0,3,0,1,8,7,7,12,10
2016,4,"LG",61186,78,71,11,10,19,1,0,2,2,4,1,0,5,0,1,18,0,1,15,19,4,4,2,1,0,3,3,0,3,2,3,1,9,12,12,10
2016,4,"LG",61891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,1,1,12,10
2016,4,"LG",62164,71,56,4,11,20,3,0,2,0,0,0,0,14,1,1,19,1,0,17,8,1,4,1,2,0,2,3,0,3,2,3,6,9,11,12,10
2016,4,"LG",63077,18,18,1,4,3,1,0,0,1,0,0,0,0,0,0,6,0,0,3,2,1,3,0,2,0,2,2,0,3,2,3,9,8,9,12,10
2016,4,"LG",63123,16,15,0,1,1,0,0,0,0,0,0,0,1,0,0,7,0,1,1,5,0,2,2,0,0,0,0,0,2,0,0,9,2,4,12,10
2016,4,"LG",64153,33,30,5,2,6,1,0,0,0,0,1,0,2,0,0,5,0,1,5,10,4,4,2,0,0,3,1,0,3,1,3,7,6,11,12,10
2016,4,"LG",65103,94,83,18,16,24,3,0,9,4,0,0,1,8,1,2,12,1,7,17,20,6,4,2,2,0,3,3,0,3,2,3,5,10,12,12,10
2016,4,"LG",65115,13,9,0,4,1,0,0,0,0,1,0,0,4,0,0,3,0,1,2,0,0,2,2,1,0,1,0,0,2,1,2,3,4,7,12,10
2016,4,"LG",71842,45,37,2,3,6,0,0,0,0,1,1,0,6,0,1,11,1,1,11,15,2,4,2,2,0,2,3,0,3,2,3,8,9,12,12,10
2016,4,"LG",72133,85,75,8,13,21,6,0,2,2,1,0,0,10,1,0,13,3,0,17,17,3,4,2,2,0,3,3,0,3,2,3,3,10,12,12,10
2016,4,"LG",72456,5,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,2,0,12,10
2016,4,"LG",73824,7,4,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,8,1,3,12,10
2016,4,"LG",74823,12,9,0,2,1,0,0,0,1,0,1,0,2,0,0,1,0,0,3,2,0,2,1,0,0,0,0,0,0,0,0,1,2,1,12,10
2016,4,"LG",76100,76,68,15,11,21,1,1,4,2,0,0,1,6,1,1,16,0,0,16,25,8,4,2,2,0,2,2,0,3,2,3,4,8,12,12,10
2016,4,"LG",78135,23,23,3,2,8,1,1,0,0,0,0,0,0,0,0,4,0,0,4,2,2,2,0,2,0,2,2,0,1,0,3,4,6,6,12,10
2016,4,"LG",78217,5,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,9,1,3,12,10
2016,4,"LG",79109,57,49,7,7,12,0,0,3,1,0,0,0,8,0,0,10,0,2,13,11,3,2,0,2,0,3,3,0,0,2,3,9,8,7,12,10
2016,4,"LG",79150,81,71,7,8,15,3,0,1,1,3,0,1,9,0,0,26,0,2,15,12,1,4,2,0,0,3,3,0,3,2,3,1,8,12,12,10
2016,4,"LG",79192,59,54,12,4,14,1,0,2,0,0,0,2,1,0,2,13,1,1,13,15,5,4,2,2,0,3,3,0,3,2,3,7,10,12,12,10
2016,4,"LG",79198,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,0,0,1,1,0,1,0,1,9,4,5,12,10
2016,4,"LG",96462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,1,12,10
2016,4,"LG",99606,63,51,8,9,18,2,0,1,1,2,2,1,8,1,1,6,0,1,13,9,5,4,0,2,0,2,3,0,0,2,3,6,9,7,12,10
2016,4,"LT",60523,105,91,9,6,22,4,1,0,1,1,1,1,7,0,5,29,3,2,19,21,5,3,3,3,3,0,4,0,3,3,3,1,14,11,11,14
2016,4,"LT",60558,23,23,0,2,6,1,0,0,1,0,0,0,0,0,0,5,1,0,3,7,1,0,0,0,0,0,0,0,3,1,3,7,4,3,11,14
2016,4,"LT",61554,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,1,2,3,11,14
2016,4,"LT",62559,4,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,7,1,0,11,14
2016,4,"LT",64022,10,10,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,1,3,0,2,0,2,0,1,0,0,6,6,3,11,14
2016,4,"LT",65506,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,11,14
2016,4,"LT",65513,10,9,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,4,0,3,1,2,0,0,2,0,0,0,0,8,6,2,11,14
2016,4,"LT",65523,97,88,18,18,27,6,1,2,6,1,1,1,7,1,0,23,2,0,15,37,12,3,3,3,3,0,4,0,3,2,3,3,13,11,11,14
2016,4,"LT",65546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,11,14
2016,4,"LT",71552,105,85,16,14,25,5,0,4,0,0,0,1,19,0,0,25,4,0,19,29,7,3,3,3,3,0,4,0,3,3,3,4,14,11,11,14
2016,4,"LT",71562,86,76,5,8,22,1,1,0,2,1,3,1,6,1,0,10,0,2,18,18,5,3,3,3,3,0,4,0,2,3,3,7,13,11,11,14
2016,4,"LT",71565,27,23,0,2,3,0,0,0,0,0,0,0,4,0,0,4,2,0,7,8,0,2,3,3,3,0,1,0,2,3,3,9,10,10,11,14
2016,4,"LT",72546,64,57,5,5,15,0,0,1,1,1,3,1,3,0,0,9,0,1,15,15,2,3,3,3,3,0,3,0,2,3,2,9,12,10,11,14
2016,4,"LT",72551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,11,14
2016,4,"LT",73226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,11,14
2016,4,"LT",74540,91,74,18,14,22,3,0,6,0,0,0,1,13,0,3,23,1,1,18,16,8,3,2,3,3,0,3,0,3,3,3,6,13,10,11,14
2016,4,"LT",76313,103,96,21,16,31,4,1,6,1,2,0,1,6,0,0,8,2,2,20,30,13,3,3,3,3,0,3,0,3,3,3,5,13,11,11,14
2016,4,"LT",76509,97,86,12,16,37,7,1,1,3,4,0,1,10,1,0,10,3,1,24,23,8,3,3,3,3,0,4,0,2,3,0,2,13,8,11,14
2016,4,"LT",76536,19,17,3,0,3,0,0,0,0,0,0,1,0,0,1,3,1,0,5,7,1,3,2,2,2,0,2,0,2,0,1,8,9,5,11,14
2016,4,"LT",77532,114,99,14,23,33,9,1,3,8,1,0,0,15,0,0,21,0,2,21,20,8,3,3,3,3,0,4,0,3,3,3,1,14,11,11,14
2016,4,"LT",77669,8,8,0,2,2,1,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,2,2,0,2,0,0,0,1,0,0,4,5,2,11,14
2016,4,"LT",78566,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,7,1,4,11,14
2016,4,"LT",78850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,9,1,1,11,14
2016,4,"LT",79356,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,1,0,2,9,1,2,11,14
2016,4,"NC",60263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,14,9
2016,4,"NC",62907,50,46,7,8,14,1,1,1,3,1,0,0,4,0,0,9,1,3,8,12,7,3,2,0,0,0,0,3,0,3,0,1,5,6,14,9
2016,4,"NC",62908,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,3,0,0,6,0,6,14,9
2016,4,"NC",62934,31,27,1,3,3,0,0,0,0,1,1,1,1,0,1,7,0,0,1,4,0,3,1,0,2,3,0,1,3,3,0,2,5,11,14,9
2016,4,"NC",62947,101,90,12,15,27,8,0,2,0,1,0,2,9,0,0,30,0,1,19,22,7,3,2,0,3,4,0,3,3,3,2,3,9,14,14,9
2016,4,"NC",63920,35,27,0,9,12,2,0,0,0,1,1,0,7,0,0,8,0,0,8,4,1,0,0,0,3,4,0,0,3,0,2,1,4,8,14,9
2016,4,"NC",64906,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,2,1,0,1,1,0,0,1,2,0,7,3,5,14,9
2016,4,"NC",64914,97,85,17,16,28,4,0,5,1,2,0,0,11,2,1,20,0,0,17,24,7,3,2,0,3,4,0,3,3,3,2,4,9,14,14,9
2016,4,"NC",65933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,14,9
2016,4,"NC",66928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,14,9
2016,4,"NC",66968,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,1,0,3,0,5,4,4,14,9
2016,4,"NC",73213,89,80,11,8,20,5,0,2,0,0,3,0,4,0,2,12,5,5,16,24,6,3,2,0,3,4,0,3,3,3,2,7,9,14,14,9
2016,4,"NC",73306,57,50,8,4,10,1,0,3,0,1,2,0,3,0,2,12,0,0,6,14,4,3,2,0,3,4,0,3,3,3,2,8,9,14,14,9
2016,4,"NC",73339,80,72,10,12,19,8,0,1,1,0,1,0,7,0,0,8,1,0,14,12,4,3,2,0,3,4,0,3,0,3,2,2,9,11,14,9
2016,4,"NC",74223,14,13,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,1,0,1,2,0,1,3,0,2,1,3,1,9,5,9,14,9
2016,4,"NC",74358,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,1,14,9
2016,4,"NC",74465,97,77,16,10,21,4,0,3,1,0,0,1,14,1,4,21,4,1,23,21,7,3,2,0,3,4,0,3,3,3,2,5,9,14,14,9
2016,4,"NC",75441,21,17,3,2,6,0,0,1,0,1,0,1,3,0,0,5,2,2,5,2,2,2,1,0,1,3,0,2,2,3,1,4,6,9,14,9
2016,4,"NC",75867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,14,9
2016,4,"NC",77454,58,52,0,4,16,0,0,0,3,1,1,0,5,0,0,13,1,1,16,9,2,2,2,0,3,4,0,3,2,3,2,1,8,13,14,9
2016,4,"NC",78122,69,64,2,5,11,2,0,0,0,0,2,0,1,0,2,8,4,0,9,18,1,3,2,0,3,4,0,2,3,3,2,9,9,13,14,9
2016,4,"NC",78352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1,1,14,9
2016,4,"NC",94629,76,62,15,7,20,3,0,3,0,1,0,1,13,1,0,9,0,0,13,18,6,3,2,0,3,4,0,1,3,2,2,6,9,11,14,9
2016,4,"OB",61204,12,11,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,7,1,0,3,2,1,0,0,1,0,2,1,1,6,5,6,10,14
2016,4,"OB",61208,8,5,1,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,5,4,1,0,0,0,0,0,2,0,0,0,1,8,3,0,10,14
2016,4,"OB",61214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,10,14
2016,4,"OB",62234,8,7,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,5,3,0,4,2,2,0,0,1,0,1,2,0,9,6,6,10,14
2016,4,"OB",62244,21,15,2,2,3,1,0,0,0,0,0,0,5,0,1,5,0,1,4,8,1,1,2,2,0,0,1,0,2,2,1,5,5,6,10,14
2016,4,"OB",63260,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,10,14
2016,4,"OB",66209,8,8,1,7,2,0,0,0,1,1,0,0,0,0,0,3,0,0,3,1,0,5,1,3,0,0,1,0,1,3,3,8,9,8,10,14
2016,4,"OB",66244,74,61,5,8,10,2,0,1,0,0,0,1,10,0,2,18,1,0,13,20,1,5,0,3,0,0,3,0,0,4,3,4,10,8,10,14
2016,4,"OB",74206,89,68,15,12,21,3,0,1,1,2,3,3,14,0,1,11,2,0,16,28,9,6,2,3,0,0,3,0,3,4,3,9,14,10,10,14
2016,4,"OB",75334,79,66,14,14,26,5,0,3,1,0,1,0,11,0,1,11,1,2,17,18,5,4,2,3,0,0,3,0,3,3,3,4,12,9,10,14
2016,4,"OB",76232,89,77,16,14,27,4,0,4,1,0,0,1,8,0,3,7,3,3,19,28,8,6,2,2,0,0,3,0,3,4,3,5,14,9,10,14
2016,4,"OB",76249,107,93,16,17,33,7,0,5,2,0,0,0,12,1,2,15,3,0,26,24,8,6,2,3,0,0,3,0,3,4,3,3,14,10,10,14
2016,4,"OB",76267,43,39,5,4,9,3,0,1,0,0,0,1,2,0,1,6,0,0,2,9,2,3,1,3,0,0,2,0,2,4,2,8,10,7,10,14
2016,4,"OB",77248,87,74,5,10,22,2,0,1,2,4,1,0,10,0,2,20,4,4,19,17,5,5,2,3,0,0,3,0,2,4,3,6,12,10,10,14
2016,4,"OB",78224,37,33,12,7,9,2,0,5,0,0,0,0,4,0,0,7,0,0,5,12,3,6,2,2,0,0,0,0,3,1,0,8,7,7,10,14
