P_ID,year,month,PA,inplay_H
61186,2020,9,115,34
61186,2020,10,93,28
61197,2020,7,0,0
61197,2020,8,0,0
61197,2020,9,0,0
61197,2020,10,0,0
61204,2020,7,0,1
61204,2020,8,0,1
61204,2020,9,0,1
61204,2020,10,0,1
61208,2020,7,42,9
61208,2020,8,62,13
61208,2020,9,43,9
61208,2020,10,35,7
61268,2020,7,0,0
61268,2020,8,0,0
61268,2020,9,0,0
61268,2020,10,0,0
61295,2020,7,0,0
61295,2020,10,0,0
61353,2020,7,28,13
61353,2020,8,35,15
61353,2020,9,25,12
61353,2020,10,20,11
61365,2020,7,0,0
61365,2020,8,0,0
61365,2020,9,0,0
61365,2020,10,0,0
61404,2020,7,14,10
61404,2020,8,40,16
61404,2020,9,32,14
61404,2020,10,25,12
61554,2020,7,0,0
61554,2020,8,0,0
61554,2020,9,0,0
61554,2020,10,0,0
61566,2020,7,12,3
61566,2020,8,23,5
61566,2020,9,28,6
61566,2020,10,25,5
61700,2020,7,0,0
61700,2020,8,0,0
61700,2020,9,0,0
61700,2020,10,0,0
61743,2020,7,2,0
61743,2020,8,0,0
61743,2020,9,0,0
61743,2020,10,0,0
61869,2020,7,8,0
61869,2020,8,11,0
61869,2020,9,12,0
61869,2020,10,10,0
61895,2020,7,0,0
61895,2020,8,0,0
61895,2020,9,0,0
61895,2020,10,0,0
62025,2020,7,6,3
62025,2020,8,7,3
62025,2020,9,16,5
62025,2020,10,15,5
62146,2020,7,0,0
62146,2020,8,0,0
62146,2020,9,0,0
62146,2020,10,0,0
62234,2020,7,6,0
62234,2020,8,45,5
62234,2020,9,31,2
62234,2020,10,28,1
62244,2020,7,52,11
62244,2020,8,88,19
62244,2020,9,99,22
62244,2020,10,77,17
62265,2020,7,44,7
62265,2020,8,91,18
62265,2020,9,98,19
62265,2020,10,88,17
62353,2020,7,9,4
62353,2020,8,31,8
62353,2020,9,5,3
62353,2020,10,3,2
62356,2020,7,0,5
62356,2020,8,0,5
62356,2020,9,1,6
62356,2020,10,0,5
62404,2020,7,41,3
62404,2020,8,98,18
62404,2020,9,94,17
62404,2020,10,73,11
62409,2020,7,0,2
62409,2020,8,0,2
62409,2020,9,0,2
62409,2020,10,0,2
62415,2020,7,53,11
62415,2020,8,114,26
62415,2020,9,106,24
62415,2020,10,82,18
62528,2020,7,0,0
62528,2020,8,0,0
62528,2020,9,0,0
62528,2020,10,0,0
62556,2020,7,12,5
62556,2020,8,21,7
62556,2020,9,19,7
62556,2020,10,17,6
62558,2020,7,4,1
62558,2020,8,7,2
62558,2020,9,15,4
62558,2020,10,13,3
62700,2020,7,28,4
62700,2020,8,57,11
62700,2020,9,77,17
62700,2020,10,63,13
62797,2020,7,0,0
62797,2020,8,0,0
62797,2020,9,0,0
62797,2020,10,0,0
62802,2020,7,5,2
62802,2020,8,27,5
62802,2020,9,20,4
62802,2020,10,18,4
62864,2020,7,8,0
62864,2020,8,20,2
62864,2020,9,17,1
62864,2020,10,15,1
62884,2020,7,6,3
62884,2020,8,17,6
62884,2020,9,12,5
62884,2020,10,9,4
62893,2020,7,0,0
62893,2020,8,0,0
62893,2020,9,0,0
62893,2020,10,0,0
62895,2020,7,10,2
62895,2020,8,9,1
62895,2020,9,13,2
62895,2020,10,10,2
62907,2020,7,46,21
62907,2020,8,110,40
62907,2020,9,129,46
62907,2020,10,120,43
62908,2020,7,9,2
62908,2020,8,67,15
62908,2020,9,93,21
62908,2020,10,83,19
62925,2020,7,46,4
62925,2020,8,2,0
62925,2020,9,22,0
62925,2020,10,20,0
62931,2020,7,26,7
62931,2020,8,43,10
62931,2020,9,25,6
62931,2020,10,23,6
62934,2020,7,25,5
62934,2020,8,66,12
62934,2020,9,64,12
62934,2020,10,59,11
62937,2020,7,0,0
62937,2020,8,0,0
62937,2020,9,0,0
62937,2020,10,0,0
62947,2020,7,53,10
62947,2020,8,112,23
62947,2020,9,131,27
62947,2020,10,122,26
62951,2020,7,0,0
62951,2020,8,0,0
62951,2020,9,0,0
62951,2020,10,0,0
63103,2020,7,0,0
63103,2020,8,0,0
63103,2020,9,0,0
63103,2020,10,0,0
63202,2020,7,0,1
63202,2020,8,0,1
63202,2020,9,0,1
63202,2020,10,0,1
63248,2020,7,0,0
63248,2020,8,0,0
63248,2020,9,0,0
63248,2020,10,0,0
63257,2020,7,0,2
63257,2020,8,2,2
63257,2020,9,9,4
63257,2020,10,7,3
63260,2020,7,0,4
63260,2020,8,0,4
63260,2020,9,0,4
63260,2020,10,0,4
63342,2020,7,0,0
63342,2020,8,0,0
63342,2020,9,0,0
63342,2020,10,0,0
63348,2020,7,0,0
63348,2020,8,0,0
63348,2020,9,0,0
63348,2020,10,0,0
63435,2020,7,1,0
63435,2020,8,4,1
63435,2020,9,4,1
63435,2020,10,4,1
63440,2020,7,0,1
63440,2020,8,0,1
63440,2020,9,0,1
63440,2020,10,0,1
63448,2020,7,0,1
63448,2020,8,1,1
63448,2020,9,1,1
63448,2020,10,1,1
63450,2020,7,25,11
63450,2020,8,56,17
63450,2020,9,72,20
63450,2020,10,56,17
63543,2020,7,0,0
63543,2020,8,0,0
63543,2020,9,0,0
63543,2020,10,0,0
63559,2020,7,4,1
63559,2020,8,8,2
63559,2020,9,9,2
63559,2020,10,7,2
63634,2020,7,0,1
63634,2020,8,0,1
63634,2020,9,0,1
63634,2020,10,0,1
63700,2020,7,0,2
63700,2020,8,0,2
63700,2020,9,0,2
63700,2020,10,0,2
63703,2020,7,4,1
63703,2020,8,13,2
63703,2020,9,16,2
63703,2020,10,13,2
63704,2020,7,25,5
63704,2020,8,61,13
63704,2020,9,79,17
63704,2020,10,64,14
63722,2020,7,32,7
63722,2020,8,57,12
63722,2020,9,38,8
63722,2020,10,34,8
63894,2020,7,0,0
63894,2020,8,0,0
63894,2020,9,0,0
63894,2020,10,0,0
63920,2020,7,2,3
63920,2020,8,2,3
63920,2020,9,1,3
63920,2020,10,1,3
63950,2020,7,0,0
63950,2020,10,0,0
63963,2020,7,43,7
63963,2020,8,72,12
63963,2020,9,86,14
63963,2020,10,79,13
64004,2020,7,12,3
64004,2020,8,22,5
64004,2020,9,30,7
64004,2020,10,27,6
64006,2020,7,47,14
64006,2020,8,106,26
64006,2020,9,121,30
64006,2020,10,107,27
64007,2020,7,0,1
64007,2020,8,1,1
64007,2020,9,2,1
64007,2020,10,2,1
64012,2020,7,0,2
64012,2020,8,0,2
64012,2020,9,0,2
64012,2020,10,0,2
64014,2020,7,2,0
64014,2020,8,7,1
64014,2020,9,8,1
64014,2020,10,7,1
64029,2020,7,0,0
64029,2020,8,0,0
64029,2020,9,0,0
64029,2020,10,0,0
64100,2020,7,0,1
64100,2020,10,1,1
64101,2020,7,0,0
64101,2020,8,1,0
64101,2020,9,0,0
64101,2020,10,0,0
64115,2020,7,4,0
64115,2020,8,4,0
64115,2020,9,0,0
64115,2020,10,0,0
64166,2020,7,56,8
64166,2020,8,50,6
64166,2020,9,61,9
64166,2020,10,54,7
64213,2020,7,3,0
64213,2020,8,0,0
64213,2020,9,11,0
64213,2020,10,8,0
64260,2020,7,16,3
64260,2020,8,23,5
64260,2020,9,29,6
64260,2020,10,22,5
64266,2020,7,0,0
64266,2020,8,0,0
64266,2020,9,0,0
64266,2020,10,0,0
64300,2020,7,64,20
64300,2020,8,121,31
64300,2020,9,125,32
64300,2020,10,84,24
64340,2020,7,0,0
64340,2020,8,0,0
64340,2020,9,0,0
64340,2020,10,0,0
64346,2020,7,10,2
64346,2020,10,25,6
64407,2020,7,0,0
64407,2020,8,1,0
64407,2020,9,0,0
64407,2020,10,0,0
64410,2020,7,0,2
64410,2020,8,0,2
64410,2020,9,0,2
64410,2020,10,0,2
64468,2020,7,0,1
64468,2020,8,6,2
64468,2020,9,6,2
64468,2020,10,4,2
64469,2020,7,0,1
64469,2020,8,0,1
64469,2020,9,0,1
64469,2020,10,0,1
64499,2020,7,0,0
64499,2020,10,0,0
64501,2020,7,0,1
64501,2020,8,0,1
64501,2020,9,0,1
64501,2020,10,0,1
64504,2020,7,1,0
64504,2020,8,0,0
64504,2020,9,3,0
64504,2020,10,3,0
64560,2020,7,0,0
64560,2020,8,3,0
64560,2020,9,0,0
64560,2020,10,0,0
64565,2020,7,0,0
64565,2020,8,0,0
64565,2020,9,0,0
64565,2020,10,0,0
64646,2020,7,56,13
64646,2020,8,113,26
64646,2020,9,124,28
64646,2020,10,110,25
64657,2020,7,2,0
64657,2020,8,1,0
64657,2020,9,0,0
64657,2020,10,0,0
64704,2020,7,22,5
64704,2020,8,30,6
64704,2020,9,37,8
64704,2020,10,30,6
64717,2020,7,0,0
64717,2020,8,2,0
64717,2020,9,2,0
64717,2020,10,2,0
64768,2020,7,0,0
64768,2020,8,0,0
64768,2020,9,0,0
64768,2020,10,0,0
64793,2020,7,0,0
64793,2020,8,0,0
64793,2020,9,0,0
64793,2020,10,0,0
64868,2020,7,10,0
64868,2020,8,11,0
64868,2020,9,9,0
64868,2020,10,8,0
64890,2020,7,0,0
64890,2020,8,0,0
64890,2020,9,0,0
64890,2020,10,0,0
64893,2020,7,0,0
64893,2020,8,0,0
64893,2020,9,0,0
64893,2020,10,0,0
64906,2020,7,0,0
64906,2020,8,0,0
64906,2020,9,0,0
64906,2020,10,0,0
64984,2020,7,4,3
64984,2020,8,7,4
64984,2020,9,7,4
64984,2020,10,7,4
64995,2020,7,0,0
64995,2020,10,0,0
65042,2020,7,0,0
65042,2020,8,0,0
65042,2020,9,0,0
65042,2020,10,0,0
65060,2020,7,0,0
65060,2020,8,0,0
65060,2020,9,0,0
65060,2020,10,0,0
65062,2020,7,0,0
65062,2020,8,0,0
65062,2020,9,0,0
65062,2020,10,0,0
65109,2020,7,0,0
65109,2020,8,0,0
65109,2020,9,0,0
65109,2020,10,0,0
65136,2020,7,0,0
65136,2020,8,0,0
65136,2020,9,0,0
65136,2020,10,0,0
65207,2020,7,0,0
65207,2020,8,0,0
65207,2020,9,0,0
65207,2020,10,0,0
65398,2020,7,0,0
65398,2020,8,0,0
65398,2020,9,0,0
65398,2020,10,0,0
65399,2020,7,8,1
65399,2020,8,0,0
65399,2020,9,10,2
65399,2020,10,6,1
65464,2020,7,2,5
65464,2020,8,5,6
65464,2020,9,3,5
65464,2020,10,2,5
65496,2020,7,0,0
65496,2020,8,0,0
65496,2020,9,0,0
65496,2020,10,0,0
65503,2020,7,5,0
65503,2020,8,14,1
65503,2020,9,17,1
65503,2020,10,14,1
65506,2020,7,2,0
65506,2020,8,1,0
65506,2020,9,0,0
65506,2020,10,0,0
65515,2020,7,3,2
65515,2020,8,7,3
65515,2020,9,3,2
65515,2020,10,3,2
65586,2020,7,32,8
65586,2020,8,63,15
65586,2020,9,68,16
65586,2020,10,45,11
65610,2020,7,0,1
65610,2020,8,0,1
65610,2020,9,0,1
65610,2020,10,0,1
65653,2020,7,0,0
65653,2020,8,0,0
65653,2020,9,0,0
65653,2020,10,0,0
65869,2020,7,0,0
65869,2020,8,0,0
65869,2020,9,0,0
65869,2020,10,0,0
65898,2020,7,0,0
65898,2020,8,0,0
65898,2020,9,0,0
65898,2020,10,0,0
66052,2020,7,2,0
66052,2020,8,1,0
66052,2020,9,10,1
66052,2020,10,8,0
66108,2020,7,2,0
66108,2020,8,0,0
66108,2020,9,0,0
66108,2020,10,0,0
66113,2020,7,13,3
66113,2020,8,40,10
66113,2020,9,42,10
66113,2020,10,34,8
66145,2020,7,0,0
66145,2020,8,0,0
66145,2020,9,0,0
66145,2020,10,0,0
66203,2020,7,0,0
66203,2020,8,0,0
66203,2020,9,0,0
66203,2020,10,0,0
66354,2020,7,8,3
66354,2020,8,18,5
66354,2020,9,13,4
66354,2020,10,8,3
66409,2020,7,0,2
66409,2020,8,0,2
66409,2020,9,3,2
66409,2020,10,2,2
66606,2020,7,11,2
66606,2020,8,31,6
66606,2020,9,31,6
66606,2020,10,27,5
66614,2020,7,22,3
66614,2020,8,44,5
66614,2020,9,48,6
66614,2020,10,42,5
66630,2020,7,0,0
66630,2020,8,0,0
66630,2020,9,0,0
66630,2020,10,0,0
66702,2020,7,0,1
66702,2020,8,1,2
66702,2020,9,1,2
66702,2020,10,1,2
66706,2020,7,2,4
66706,2020,8,13,6
66706,2020,9,13,6
66706,2020,10,11,6
66707,2020,7,0,0
66707,2020,8,0,0
66707,2020,9,0,0
66707,2020,10,0,0
66838,2020,7,41,8
66838,2020,8,74,15
66838,2020,9,77,16
66838,2020,10,60,12
66917,2020,7,0,0
66917,2020,8,1,0
66917,2020,9,1,0
66917,2020,10,1,0
66928,2020,7,0,0
66928,2020,8,0,0
66928,2020,9,0,0
66928,2020,10,0,0
67008,2020,7,0,0
67008,2020,10,0,0
67025,2020,7,55,0
67025,2020,8,105,10
67025,2020,9,124,14
67025,2020,10,110,11
67207,2020,7,2,0
67207,2020,8,0,0
67207,2020,9,8,0
67207,2020,10,7,0
67304,2020,7,56,14
67304,2020,8,132,31
67304,2020,9,99,24
67304,2020,10,66,16
67341,2020,7,70,19
67341,2020,8,134,36
67341,2020,9,139,38
67341,2020,10,93,25
67391,2020,7,0,0
67391,2020,8,0,0
67391,2020,9,0,0
67391,2020,10,0,0
67443,2020,7,0,0
67443,2020,8,0,0
67443,2020,9,0,0
67443,2020,10,0,0
67504,2020,7,2,0
67504,2020,8,7,1
67504,2020,9,0,0
67504,2020,10,0,0
67644,2020,7,0,0
67644,2020,8,0,0
67644,2020,9,0,0
67644,2020,10,0,0
67828,2020,7,0,0
67828,2020,8,0,0
67828,2020,9,0,0
67828,2020,10,0,0
67872,2020,7,58,12
67872,2020,8,104,20
67872,2020,9,122,23
67872,2020,10,95,18
68050,2020,7,56,15
68050,2020,8,94,23
68050,2020,9,128,30
68050,2020,10,114,27
68106,2020,7,2,0
68106,2020,8,7,1
68106,2020,9,7,1
68106,2020,10,6,1
68200,2020,7,0,0
68200,2020,8,0,0
68200,2020,9,0,0
68200,2020,10,0,0
68204,2020,7,7,0
68204,2020,8,24,3
68204,2020,9,25,3
68204,2020,10,20,2
68305,2020,7,1,0
68305,2020,8,5,1
68305,2020,9,6,1
68305,2020,10,4,1
68341,2020,7,0,0
68341,2020,8,0,0
68341,2020,9,0,0
68341,2020,10,0,0
68346,2020,7,2,0
68346,2020,8,8,2
68346,2020,9,9,2
68346,2020,10,6,2
68362,2020,7,7,1
68362,2020,8,28,3
68362,2020,9,34,3
68362,2020,10,30,3
68518,2020,7,18,2
68518,2020,8,32,3
68518,2020,9,39,4
68518,2020,10,35,4
68525,2020,7,3,2
68525,2020,8,3,2
68525,2020,9,5,2
68525,2020,10,5,2
68730,2020,7,0,7
68730,2020,8,0,7
68730,2020,9,0,7
68730,2020,10,0,7
68743,2020,7,70,18
68743,2020,8,92,22
68743,2020,9,88,21
68743,2020,10,71,18
68868,2020,7,38,6
68868,2020,8,58,11
68868,2020,9,72,14
68868,2020,10,56,10
68912,2020,7,4,0
68912,2020,8,9,0
68912,2020,9,4,0
68912,2020,10,4,0
69098,2020,7,0,0
69098,2020,8,0,0
69098,2020,9,0,0
69098,2020,10,0,0
69100,2020,7,12,2
69100,2020,8,20,3
69100,2020,9,20,3
69100,2020,10,16,3
69159,2020,7,0,0
69159,2020,8,0,0
69159,2020,9,0,0
69159,2020,10,0,0
69209,2020,7,66,13
69209,2020,8,118,28
69209,2020,9,128,31
69209,2020,10,100,23
69306,2020,7,10,2
69306,2020,8,18,3
69306,2020,9,20,3
69306,2020,10,14,2
69360,2020,7,0,0
69360,2020,8,0,0
69360,2020,9,0,0
69360,2020,10,0,0
69399,2020,7,0,0
69399,2020,8,0,0
69399,2020,9,0,0
69399,2020,10,0,0
69403,2020,7,0,0
69403,2020,8,2,0
69403,2020,9,2,0
69403,2020,10,2,0
69418,2020,7,24,5
69418,2020,8,52,12
69418,2020,9,60,13
69418,2020,10,46,10
69439,2020,7,0,0
69439,2020,8,1,0
69439,2020,9,1,0
69439,2020,10,1,0
69442,2020,7,3,1
69442,2020,8,11,3
69442,2020,9,11,3
69442,2020,10,9,2
69453,2020,7,36,3
69453,2020,8,76,11
69453,2020,9,82,12
69453,2020,10,64,8
69636,2020,7,12,0
69636,2020,8,27,3
69636,2020,9,30,3
69636,2020,10,27,3
69652,2020,7,54,17
69652,2020,8,116,31
69652,2020,9,127,33
69652,2020,10,113,30
69702,2020,7,2,1
69702,2020,8,5,2
69702,2020,9,6,2
69702,2020,10,5,2
69705,2020,7,6,2
69705,2020,8,16,4
69705,2020,9,20,6
69705,2020,10,16,4
69737,2020,7,17,6
69737,2020,8,47,10
69737,2020,9,59,12
69737,2020,10,48,11
69766,2020,7,20,2
69766,2020,8,30,3
69766,2020,9,38,4
69766,2020,10,31,3
69813,2020,7,0,0
69813,2020,8,0,0
69813,2020,9,0,0
69813,2020,10,0,0
69825,2020,7,19,3
69825,2020,10,50,8
69962,2020,7,0,0
69962,2020,8,0,0
69962,2020,9,0,0
69962,2020,10,0,0
69992,2020,7,0,0
69992,2020,8,1,1
69992,2020,9,2,2
69992,2020,10,2,2
69995,2020,7,1,0
69995,2020,8,4,0
69995,2020,9,5,0
69995,2020,10,4,0
70410,2020,7,7,2
70410,2020,8,32,9
70410,2020,9,35,10
70410,2020,10,31,9
71184,2020,7,10,1
71184,2020,8,21,3
71184,2020,9,12,2
71184,2020,10,10,1
71564,2020,7,54,12
71564,2020,8,103,23
71564,2020,9,126,28
71564,2020,10,112,25
71752,2020,7,63,26
71752,2020,8,68,28
71752,2020,9,89,33
71752,2020,10,73,29
71837,2020,7,46,14
71837,2020,8,77,21
71837,2020,9,90,24
71837,2020,10,70,19
71842,2020,7,13,4
71842,2020,8,27,6
71842,2020,9,14,4
71842,2020,10,11,4
72133,2020,7,22,5
72133,2020,8,69,18
72133,2020,9,66,17
72133,2020,10,53,13
72443,2020,7,48,14
72443,2020,8,110,29
72443,2020,9,125,32
72443,2020,10,111,29
73113,2020,7,45,3
73113,2020,8,77,8
73113,2020,9,66,7
73113,2020,10,59,5
73136,2020,7,27,12
73136,2020,8,33,13
73136,2020,9,66,21
73136,2020,10,54,18
73209,2020,7,39,11
73209,2020,8,77,19
73209,2020,9,56,15
73209,2020,10,50,14
73306,2020,7,6,1
73306,2020,8,18,3
73306,2020,9,15,2
73306,2020,10,14,2
73342,2020,7,12,4
73342,2020,8,46,10
73342,2020,9,31,7
73342,2020,10,21,5
73801,2020,7,0,0
73801,2020,8,0,0
73801,2020,9,0,0
73801,2020,10,0,0
74163,2020,7,68,23
74163,2020,8,106,33
74163,2020,9,74,25
74163,2020,10,60,21
74206,2020,7,41,7
74206,2020,8,49,9
74206,2020,9,85,18
74206,2020,10,66,13
74215,2020,7,12,9
74215,2020,8,16,10
74215,2020,9,22,11
74215,2020,10,17,10
74339,2020,7,52,17
74339,2020,8,102,29
74339,2020,9,120,34
74339,2020,10,106,30
74465,2020,7,46,7
74465,2020,8,97,16
74465,2020,9,68,11
74465,2020,10,63,10
74540,2020,7,38,11
74540,2020,8,48,13
74540,2020,9,63,16
74540,2020,10,49,13
74729,2020,7,0,3
74729,2020,8,0,3
74729,2020,9,0,3
74729,2020,10,0,3
75125,2020,7,15,6
75125,2020,8,35,9
75125,2020,9,36,9
75125,2020,10,24,8
75151,2020,7,41,10
75151,2020,8,69,17
75151,2020,9,98,23
75151,2020,10,76,18
75334,2020,7,64,6
75334,2020,8,114,18
75334,2020,9,123,21
75334,2020,10,96,14
75342,2020,7,0,0
75342,2020,8,0,0
75342,2020,9,0,0
75342,2020,10,0,0
75566,2020,7,52,6
75566,2020,8,93,14
75566,2020,9,114,18
75566,2020,10,88,13
75808,2020,7,45,16
75808,2020,8,59,19
75808,2020,9,80,24
75808,2020,10,65,21
75847,2020,7,65,13
75847,2020,8,78,15
75847,2020,9,122,23
75847,2020,10,94,18
75867,2020,7,0,0
75867,2020,8,0,0
75867,2020,9,0,0
75867,2020,10,0,0
76118,2020,7,0,0
76118,2020,10,0,0
76158,2020,7,0,0
76158,2020,10,0,0
76232,2020,7,42,13
76232,2020,8,92,24
76232,2020,9,108,28
76232,2020,10,100,26
76249,2020,7,41,18
76249,2020,8,105,34
76249,2020,9,121,38
76249,2020,10,108,35
76267,2020,7,60,15
76267,2020,8,91,23
76267,2020,9,95,24
76267,2020,10,74,18
76290,2020,7,72,20
76290,2020,8,114,31
76290,2020,9,52,14
76290,2020,10,42,12
76313,2020,7,55,9
76313,2020,8,109,22
76313,2020,9,128,26
76313,2020,10,114,23
76509,2020,7,7,5
76509,2020,8,16,7
76509,2020,9,25,9
76509,2020,10,21,8
76650,2020,7,0,0
76650,2020,8,0,0
76650,2020,9,0,0
76650,2020,10,0,0
76753,2020,7,35,15
76753,2020,8,43,16
76753,2020,9,70,23
76753,2020,10,57,20
76802,2020,7,49,15
76802,2020,8,60,17
76802,2020,9,54,16
76802,2020,10,42,13
76812,2020,7,12,10
76812,2020,8,7,8
76812,2020,9,6,8
76812,2020,10,5,8
76849,2020,7,44,9
76849,2020,8,90,20
76849,2020,9,72,16
76849,2020,10,67,14
76869,2020,7,0,1
76869,2020,8,0,1
76869,2020,9,0,1
76869,2020,10,0,1
77243,2020,7,2,0
77243,2020,8,4,0
77243,2020,9,3,0
77243,2020,10,3,0
77248,2020,7,22,6
77248,2020,8,44,10
77248,2020,9,55,12
77248,2020,10,43,10
77263,2020,7,0,0
77263,2020,8,0,0
77263,2020,9,0,0
77263,2020,10,0,0
77463,2020,7,30,9
77463,2020,8,37,11
77463,2020,9,26,8
77463,2020,10,20,6
77532,2020,7,57,7
77532,2020,8,110,21
77532,2020,9,134,28
77532,2020,10,120,24
77563,2020,7,0,0
77563,2020,8,0,0
77563,2020,9,0,0
77563,2020,10,0,0
77564,2020,7,35,6
77564,2020,8,51,10
77564,2020,9,54,11
77564,2020,10,44,8
78122,2020,7,13,0
78122,2020,8,31,1
78122,2020,9,29,1
78122,2020,10,27,0
78135,2020,7,45,9
78135,2020,8,68,13
78135,2020,9,71,14
78135,2020,10,58,12
78168,2020,7,66,22
78168,2020,8,123,36
78168,2020,9,128,37
78168,2020,10,85,26
78217,2020,7,10,2
78217,2020,8,17,4
78217,2020,9,19,5
78217,2020,10,16,4
78224,2020,7,57,8
78224,2020,8,118,19
78224,2020,9,127,21
78224,2020,10,99,16
78288,2020,7,49,14
78288,2020,8,83,22
78288,2020,9,82,22
78288,2020,10,67,19
78361,2020,7,0,0
78361,2020,8,1,0
78361,2020,9,0,0
78361,2020,10,0,0
78513,2020,7,58,22
78513,2020,8,113,35
78513,2020,9,137,40
78513,2020,10,123,37
78536,2020,7,0,0
78536,2020,8,1,0
78536,2020,9,1,0
78536,2020,10,1,0
78548,2020,7,39,4
78548,2020,8,78,12
78548,2020,9,92,15
78548,2020,10,82,13
78603,2020,7,25,0
78603,2020,8,70,8
78603,2020,9,71,8
78603,2020,10,63,6
78629,2020,7,54,8
78629,2020,8,111,20
78629,2020,9,74,12
78629,2020,10,65,11
78643,2020,7,6,0
78643,2020,8,7,0
78643,2020,9,6,0
78643,2020,10,6,0
78756,2020,7,20,6
78756,2020,8,40,10
78756,2020,9,61,15
78756,2020,10,49,12
78813,2020,7,19,6
78813,2020,8,34,11
78813,2020,9,43,13
78813,2020,10,39,12
78819,2020,7,0,0
78819,2020,8,0,0
78819,2020,9,0,0
78819,2020,10,0,0
79109,2020,7,72,15
79109,2020,8,91,19
79109,2020,9,108,23
79109,2020,10,88,19
79113,2020,7,0,0
79113,2020,10,0,0
79140,2020,7,0,0
79140,2020,10,0,0
79150,2020,7,39,9
79150,2020,8,38,9
79150,2020,9,41,10
79150,2020,10,33,8
79192,2020,7,55,20
79192,2020,8,69,24
79192,2020,9,88,28
79192,2020,10,71,24
79215,2020,7,64,16
79215,2020,8,98,25
79215,2020,9,104,26
79215,2020,10,81,20
79231,2020,7,2,2
79231,2020,8,4,2
79231,2020,9,9,3
79231,2020,10,7,3
79240,2020,7,59,3
79240,2020,8,106,16
79240,2020,9,109,16
79240,2020,10,84,10
79290,2020,7,0,2
79290,2020,8,1,2
79290,2020,9,2,2
79290,2020,10,2,2
79293,2020,7,0,0
79293,2020,8,0,0
79293,2020,9,0,0
79293,2020,10,0,0
79334,2020,7,1,3
79334,2020,8,3,3
79334,2020,9,3,3
79334,2020,10,3,3
79365,2020,7,50,9
79365,2020,8,90,18
79365,2020,9,91,18
79365,2020,10,61,12
79402,2020,7,54,0
79402,2020,8,111,10
79402,2020,9,105,9
79402,2020,10,82,4
79456,2020,7,40,4
79456,2020,8,63,9
79456,2020,9,58,8
79456,2020,10,39,3
79545,2020,7,0,0
79545,2020,8,0,0
79545,2020,9,0,0
