"year","month","P_ID","T_ID","PA","SB","CS","GD","ERR"
2016,4,65062,"KT",49,3,1,0,0
2016,4,65067,"KT",25,1,0,0,0
2016,4,65331,"WO",153,4,1,2,0
2016,4,65343,"WO",44,1,1,0,1
2016,4,65348,"WO",85,2,0,4,0
2016,4,65509,"LT",1,0,0,0,0
2016,4,65543,"LT",154,6,2,0,0
2016,4,65546,"LT",139,1,1,4,0
2016,4,65696,"HT",1,0,0,0,0
2016,4,65764,"HH",44,3,1,0,1
2016,4,65856,"SK",131,1,1,5,0
2016,4,65931,"NC",133,3,0,3,0
2016,4,65933,"NC",29,0,0,0,0
2016,4,66032,"KT",75,1,1,2,0
2016,4,66047,"KT",23,1,0,0,0
2016,4,66049,"KT",115,1,1,1,1
2016,4,66154,"LG",45,0,0,1,0
2016,4,66226,"OB",125,1,1,3,1
2016,4,66323,"WO",112,6,5,0,1
2016,4,66402,"SS",139,7,1,6,0
2016,4,66440,"SS",66,2,2,2,0
2016,4,66493,"SS",4,0,0,1,0
2016,4,66628,"HT",142,3,2,1,0
2016,4,66643,"HT",141,3,2,2,0
2016,4,66741,"HH",28,1,2,0,0
2016,4,66748,"HH",114,9,1,1,2
2016,4,66928,"NC",48,1,1,1,0
2016,4,66960,"NC",27,0,1,1,0
2016,4,67845,"KT",96,1,0,1,0
2016,4,70142,"HT",24,0,1,0,0
2016,4,70615,"LT",11,0,0,0,1
2016,4,70839,"LG",30,0,1,0,0
2016,4,71118,"LG",50,1,0,0,0
2016,4,71260,"HH",44,1,0,2,0
2016,4,71801,"LT",31,1,2,1,1
2016,4,71845,"SK",60,1,1,4,0
2016,4,71851,"SS",35,0,0,0,0
2016,4,72447,"HH",85,4,1,3,1
2016,4,72463,"SS",36,1,0,0,0
2016,4,72523,"SK",16,0,0,0,0
2016,4,72535,"LT",38,1,1,0,0
2016,4,72551,"LT",58,2,0,1,0
2016,4,72749,"WO",28,1,2,0,0
2016,4,72862,"LT",54,1,1,1,0
2016,4,73117,"LG",119,0,1,5,0
2016,4,73211,"OB",59,0,0,1,0
2016,4,73226,"LT",48,1,0,1,0
2016,4,73241,"OB",74,2,0,1,0
2016,4,73248,"SK",30,0,0,1,0
2016,4,73632,"HT",29,4,0,0,1
2016,4,73738,"HH",5,0,0,0,0
2016,4,73750,"HH",32,0,0,1,0
2016,4,73801,"HH",111,4,2,1,0
2016,4,74167,"HH",51,0,2,2,2
2016,4,74359,"WO",17,0,1,0,0
2016,4,74454,"SS",130,0,3,2,1
2016,4,74513,"OB",134,0,0,5,0
2016,4,74630,"SS",25,0,1,0,0
2016,4,74731,"HH",96,2,1,0,0
2016,4,74838,"SK",28,0,1,0,0
2016,4,74857,"HH",50,0,1,0,0
2016,4,75138,"SK",26,1,0,1,1
2016,4,75149,"KT",53,0,1,1,0
2016,4,75250,"SK",45,0,3,1,1
2016,4,75268,"SS",13,0,0,0,0
2016,4,75321,"LT",34,0,0,1,0
2016,4,75340,"SK",16,0,0,0,0
2016,4,75342,"WO",52,1,0,0,0
2016,4,75620,"HT",83,0,2,3,0
2016,4,75668,"HT",8,1,0,0,0
2016,4,75750,"WO",92,0,0,1,0
2016,4,75867,"NC",62,1,2,0,1
2016,4,76329,"OB",51,2,1,1,0
2016,4,76350,"WO",47,0,1,1,0
2016,4,76355,"SS",75,3,0,3,0
2016,4,76430,"WO",61,0,1,0,0
2016,4,76455,"SS",78,3,2,1,1
2016,4,76610,"HT",73,3,3,1,0
2016,4,76650,"LG",37,0,1,0,0
2016,4,76757,"LG",40,1,0,1,0
2016,4,76858,"SK",44,1,0,0,1
2016,4,77263,"OB",48,1,1,2,0
2016,4,77318,"KT",69,0,1,3,0
2016,4,77446,"SS",34,0,0,0,0
2016,4,77563,"KT",3,0,0,0,0
2016,4,77591,"LT",56,3,1,0,0
2016,4,77637,"HT",142,2,1,6,1
2016,4,77829,"SK",154,2,1,4,1
2016,4,77927,"SS",60,0,0,4,0
2016,4,78243,"NC",47,1,0,1,0
2016,4,78257,"OB",31,0,0,1,0
2016,4,78352,"NC",36,0,0,0,0
2016,4,78760,"HH",11,0,0,1,0
2016,4,79140,"LG",11,0,0,0,0
2016,4,79191,"KT",23,1,0,1,0
2016,4,79229,"OB",130,0,1,3,1
2016,4,79293,"OB",47,2,0,2,0
2016,4,79349,"LT",41,0,1,1,0
2016,4,79440,"SS",49,2,0,0,0
2016,4,79535,"OB",55,1,1,0,0
2016,4,79617,"HT",10,0,0,1,0
2016,4,79764,"HH",84,1,2,2,2
2016,4,79791,"SS",38,1,1,1,0
2016,4,79847,"SK",5,0,0,0,0
2016,4,96462,"LG",19,0,0,2,0
2016,4,97336,"HT",31,1,2,0,0
2016,4,99445,"SS",27,0,0,0,0
2016,4,99563,"KT",38,2,0,2,0
2016,4,99737,"HH",68,0,3,2,0
2016,5,60105,"LG",23,0,0,0,0
2016,5,60146,"LG",18,1,0,0,0
2016,5,60181,"LG",2,0,0,0,0
2016,5,60263,"NC",133,3,2,2,0
2016,5,60264,"KT",104,4,1,5,0
2016,5,60339,"WO",48,0,0,1,0
2016,5,60342,"WO",7,0,0,1,0
2016,5,60559,"LT",30,0,0,0,0
2016,5,60634,"HT",42,1,0,1,1
2016,5,60636,"HT",43,4,0,1,0
2016,5,60764,"HH",40,0,0,1,0
2016,5,60768,"HH",77,1,1,4,0
2016,5,60841,"SK",108,4,3,2,0
2016,5,60845,"SK",28,1,0,1,0
2016,5,61145,"LG",4,0,0,0,0
2016,5,61214,"OB",57,0,0,1,0
2016,5,61240,"OB",140,7,1,3,0
2016,5,61295,"OB",21,0,0,0,0
2016,5,61323,"NC",65,1,2,0,0
2016,5,61329,"LG",54,1,0,1,0
2016,5,61365,"SS",53,0,0,2,0
2016,5,61396,"WO",16,0,0,0,0
2016,5,61411,"SS",56,0,0,0,0
2016,5,61643,"HT",62,1,1,1,0
2016,5,61715,"HT",11,0,0,1,0
2016,5,61891,"LG",57,1,1,0,0
2016,5,62056,"SK",4,0,0,0,0
2016,5,62146,"LG",26,0,0,0,0
2016,5,62242,"OB",42,0,0,0,0
2016,5,62463,"LG",110,1,2,4,1
2016,5,62528,"LT",16,0,0,0,0
2016,5,62655,"LT",19,0,0,1,0
2016,5,62698,"LG",142,1,3,6,0
2016,5,62869,"SK",88,0,0,4,0
2016,5,62929,"NC",126,1,1,3,1
2016,5,62937,"WO",116,1,1,1,0
2016,5,62966,"NC",62,0,0,3,1
2016,5,63111,"LG",106,2,0,2,0
2016,5,63248,"OB",19,1,0,0,0
2016,5,63512,"LT",75,0,0,0,0
2016,5,63638,"HT",82,2,0,4,0
2016,5,63791,"HH",1,0,0,0,0
2016,5,63810,"SK",114,7,0,2,1
2016,5,63935,"LT",79,1,1,3,1
2016,5,63938,"NC",51,0,1,2,0
2016,5,63959,"NC",18,0,0,0,0
2016,5,64001,"KT",61,2,0,1,0
2016,5,64017,"KT",42,2,1,0,0
2016,5,64021,"LT",116,1,0,2,0
2016,5,64041,"KT",32,0,0,1,0
2016,5,64204,"OB",28,2,0,2,0
2016,5,64350,"WO",64,0,1,2,0
2016,5,64596,"LT",36,0,0,0,0
2016,5,64893,"SK",50,0,1,1,0
2016,5,64995,"NC",24,0,0,1,0
2016,5,65042,"KT",23,0,0,0,1
2016,5,65048,"KT",8,0,0,0,0
2016,5,65056,"KT",55,3,0,0,0
2016,5,65057,"KT",1,0,1,0,0
2016,5,65058,"KT",36,3,0,1,1
2016,5,65060,"KT",82,2,0,2,0
2016,5,65062,"KT",50,3,1,0,0
2016,5,65067,"KT",62,7,0,1,0
2016,5,65320,"WO",15,0,0,0,0
2016,5,65331,"WO",129,0,0,2,1
2016,5,65343,"WO",26,1,0,1,0
2016,5,65348,"WO",116,1,2,2,0
2016,5,65509,"LT",13,0,0,1,0
2016,5,65543,"LT",139,1,1,3,0
2016,5,65546,"LT",133,2,3,3,1
2016,5,65665,"HT",14,0,0,0,0
2016,5,65742,"HH",146,2,4,2,1
2016,5,65764,"HH",12,1,1,0,0
2016,5,65769,"HH",23,0,0,0,0
2016,5,65856,"SK",139,3,3,1,0
2016,5,65931,"NC",129,3,0,2,1
2016,5,65933,"NC",36,1,0,1,0
2016,5,66047,"KT",30,0,0,2,0
2016,5,66049,"KT",116,1,0,2,0
2016,5,66154,"LG",102,2,0,3,1
2016,5,66201,"OB",6,2,0,0,0
2016,5,66226,"OB",119,2,2,3,0
2016,5,66323,"WO",111,2,5,1,0
2016,5,66402,"SS",158,5,1,3,0
2016,5,66446,"SS",27,1,0,1,0
2016,5,66493,"SS",52,0,0,2,0
2016,5,66609,"HT",19,0,1,0,0
2016,5,66628,"HT",127,0,1,6,1
2016,5,66643,"HT",137,2,3,4,0
2016,5,66748,"HH",36,1,0,1,0
2016,5,66859,"SK",4,0,0,0,0
2016,5,66928,"NC",32,0,0,1,0
2016,5,66960,"NC",43,1,1,4,0
2016,5,67845,"KT",112,1,1,4,1
2016,5,70142,"HT",54,0,0,3,0
2016,5,70615,"LT",27,1,0,1,0
2016,5,70839,"LG",65,1,1,3,0
2016,5,71118,"LG",13,0,0,0,0
2016,5,71260,"HH",37,1,0,0,0
2016,5,71801,"LT",32,2,0,0,0
2016,5,71845,"SK",40,1,1,1,0
2016,5,71851,"SS",9,0,0,0,1
2016,5,72321,"HT",27,0,0,0,0
2016,5,72447,"HH",88,2,2,3,1
2016,5,72463,"SS",15,0,0,0,0
2016,5,72523,"SK",14,0,0,1,0
2016,5,72535,"LT",17,0,0,0,0
2016,5,72551,"LT",51,0,1,1,0
2016,5,72749,"WO",34,1,0,0,0
2016,5,72862,"LT",37,0,0,0,0
2016,5,73117,"LG",61,4,1,0,0
2016,5,73226,"LT",19,0,0,1,0
2016,5,73241,"OB",54,1,0,0,0
2016,5,73248,"SK",37,0,0,1,0
2016,5,73738,"HH",17,0,0,0,1
2016,5,73750,"HH",71,0,3,0,0
2016,5,73801,"HH",110,5,1,2,0
2016,5,74167,"HH",90,2,1,3,0
2016,5,74359,"WO",17,0,0,0,0
2016,5,74454,"SS",139,0,1,3,0
2016,5,74513,"OB",137,0,0,7,1
2016,5,74630,"SS",38,0,0,0,0
2016,5,74731,"HH",76,1,0,3,0
2016,5,74748,"HH",18,0,0,0,0
2016,5,74857,"HH",68,1,0,0,0
2016,5,75138,"SK",22,0,0,0,0
2016,5,75149,"KT",25,0,0,1,1
2016,5,75250,"SK",47,1,0,1,0
2016,5,75268,"SS",18,0,1,0,0
2016,5,75321,"LT",32,0,1,0,0
2016,5,75340,"SK",72,1,0,4,0
2016,5,75342,"WO",52,1,0,2,0
2016,5,75668,"HT",33,0,0,0,0
2016,5,75730,"KT",25,0,0,0,0
2016,5,75750,"WO",117,2,2,3,0
2016,5,75852,"NC",34,0,0,1,0
2016,5,75867,"NC",23,0,0,0,0
2016,5,76118,"NC",3,0,0,0,0
2016,5,76329,"OB",53,1,0,1,0
2016,5,76350,"WO",41,0,0,2,0
2016,5,76355,"SS",131,2,0,3,0
2016,5,76430,"WO",56,1,0,2,0
2016,5,76461,"SS",81,1,2,2,0
2016,5,76540,"LT",10,0,0,0,0
2016,5,76610,"HT",69,4,0,0,0
2016,5,76650,"LG",51,2,1,0,0
2016,5,76757,"LG",12,1,0,0,0
2016,5,76858,"SK",42,0,0,1,0
2016,5,77147,"LG",16,0,0,0,0
2016,5,77318,"KT",44,0,0,3,0
2016,5,77446,"SS",62,0,1,0,0
2016,5,77563,"KT",35,2,0,1,1
2016,5,77591,"LT",61,0,1,2,0
2016,5,77637,"HT",169,7,2,3,2
2016,5,77829,"SK",142,4,2,5,0
2016,5,77927,"SS",72,0,0,0,0
2016,5,78243,"NC",43,0,0,0,0
2016,5,78257,"OB",65,3,1,0,0
2016,5,78352,"NC",51,3,0,0,0
2016,5,78366,"NC",42,1,0,2,0
2016,5,78552,"LT",12,1,0,0,0
2016,5,78760,"HH",4,0,0,0,0
2016,5,79140,"LG",51,0,0,0,0
2016,5,79229,"OB",138,1,0,4,0
2016,5,79293,"OB",44,0,0,2,0
2016,5,79349,"LT",5,0,0,0,0
2016,5,79440,"SS",88,5,3,0,0
2016,5,79448,"SS",15,0,0,1,0
2016,5,79535,"OB",96,1,1,4,0
2016,5,79617,"HT",75,0,1,0,1
2016,5,79764,"HH",84,1,0,0,0
2016,5,79791,"SS",36,0,0,2,0
2016,5,79847,"SK",12,0,0,0,0
2016,5,96462,"LG",19,0,0,1,0
2016,5,97336,"HT",46,2,1,1,0
2016,5,99314,"HH",7,0,0,0,0
2016,5,99563,"KT",40,1,0,0,0
2016,5,99737,"HH",47,1,1,0,0
2016,6,60146,"LG",59,0,0,2,0
2016,6,60181,"LG",29,1,0,0,0
2016,6,60263,"NC",92,2,1,1,1
2016,6,60264,"KT",78,2,0,1,1
2016,6,60339,"WO",60,1,0,1,0
2016,6,60457,"SS",21,1,0,1,0
2016,6,60559,"LT",54,0,0,0,0
2016,6,60634,"HT",5,2,0,0,0
2016,6,60636,"HT",38,2,0,0,0
2016,6,60764,"HH",4,0,0,0,0
2016,6,60768,"HH",55,3,0,1,0
2016,6,60841,"SK",121,4,1,3,0
2016,6,60845,"SK",21,1,0,0,0
2016,6,60848,"KT",27,0,1,0,0
2016,6,61214,"OB",18,0,0,0,0
2016,6,61215,"OB",67,0,2,1,0
2016,6,61240,"OB",100,1,0,2,0
2016,6,61323,"NC",67,4,2,2,0
2016,6,61329,"LG",13,0,0,1,0
2016,6,61365,"SS",57,3,1,1,0
2016,6,61396,"WO",11,1,0,0,0
2016,6,61411,"SS",76,10,0,0,0
2016,6,61557,"SK",24,0,0,0,0
2016,6,61643,"HT",62,1,0,1,1
2016,6,61666,"HT",24,1,0,1,0
2016,6,61891,"LG",56,0,0,2,0
2016,6,62056,"SK",37,1,0,1,0
2016,6,62146,"LG",7,0,0,0,0
2016,6,62242,"OB",48,0,0,0,0
2016,6,62338,"WO",13,0,0,0,0
2016,6,62463,"LG",33,0,0,1,0
2016,6,62655,"LT",52,0,0,0,0
2016,6,62698,"LG",136,2,2,4,0
2016,6,62869,"SK",47,0,1,0,1
2016,6,62929,"NC",127,0,0,3,1
2016,6,62937,"WO",121,3,3,1,0
2016,6,62966,"NC",83,0,1,1,0
2016,6,63111,"LG",126,1,3,5,0
2016,6,63512,"LT",95,1,0,1,0
2016,6,63638,"HT",43,4,0,1,0
2016,6,63810,"SK",33,3,0,1,0
2016,6,63935,"LT",66,0,0,1,1
2016,6,63950,"NC",64,0,1,1,0
2016,6,64001,"KT",11,2,0,0,0
2016,6,64017,"KT",51,0,2,3,1
2016,6,64021,"LT",119,0,1,4,0
2016,6,64029,"KT",13,0,0,0,0
2016,6,64041,"KT",4,0,0,0,0
2016,6,64204,"OB",5,0,0,0,0
2016,6,64596,"LT",6,0,0,1,0
2016,6,64764,"LT",12,0,0,0,0
2016,6,65048,"KT",19,0,0,0,0
2016,6,65056,"KT",52,0,0,0,0
2016,6,65057,"KT",64,0,0,2,0
2016,6,65058,"KT",31,0,0,1,0
2016,6,65060,"KT",123,1,1,4,0
2016,6,65062,"KT",42,3,0,1,0
2016,6,65067,"KT",53,2,0,3,0
2016,6,65320,"WO",100,3,1,2,0
2016,6,65331,"WO",133,2,2,5,1
2016,6,65343,"WO",48,2,2,0,1
2016,6,65348,"WO",95,1,1,1,1
2016,6,65368,"WO",26,0,0,0,0
2016,6,65543,"LT",129,4,5,2,0
2016,6,65546,"LT",165,1,2,2,1
2016,6,65665,"HT",50,3,0,0,1
2016,6,65742,"HH",14,0,0,0,0
2016,6,65856,"SK",164,0,2,6,0
2016,6,65931,"NC",126,2,3,4,0
2016,6,66032,"KT",62,0,1,1,0
2016,6,66049,"KT",44,0,0,1,1
2016,6,66145,"LG",10,0,0,0,0
2016,6,66154,"LG",156,4,1,5,1
2016,6,66226,"OB",142,0,1,0,0
2016,6,66323,"WO",48,1,0,0,0
2016,6,66324,"WO",25,0,0,1,0
2016,6,66402,"SS",28,1,0,0,0
2016,6,66493,"SS",56,1,0,3,0
2016,6,66609,"HT",44,0,0,0,0
2016,6,66628,"HT",132,4,0,2,1
2016,6,66643,"HT",170,2,1,2,0
2016,6,66659,"HT",70,0,0,2,0
2016,6,66741,"HH",13,0,0,1,1
2016,6,66748,"HH",7,1,0,0,0
2016,6,66750,"HH",45,1,0,2,0
2016,6,66859,"SK",64,2,0,0,0
2016,6,66920,"NC",9,0,0,0,0
2016,6,66928,"NC",18,0,0,0,0
2016,6,66960,"NC",84,2,0,3,0
2016,6,66990,"NC",14,0,0,0,0
2016,6,67845,"KT",124,2,1,3,0
2016,6,70142,"HT",54,3,0,1,0
2016,6,70615,"LT",17,0,0,1,0
2016,6,70839,"LG",54,1,0,0,0
2016,6,71118,"LG",28,2,0,2,0
2016,6,71260,"HH",6,0,0,0,0
2016,6,71801,"LT",6,0,0,0,0
2016,6,71845,"SK",60,2,0,0,2
2016,6,72261,"WO",4,0,0,0,0
2016,6,72447,"HH",108,2,3,2,1
2016,6,72463,"SS",92,3,1,1,1
2016,6,72535,"LT",62,0,0,1,0
2016,6,72551,"LT",58,0,0,2,0
2016,6,72749,"WO",59,0,1,0,0
2016,6,72862,"LT",26,2,0,0,0
2016,6,73117,"LG",131,0,2,2,0
2016,6,73211,"LT",56,1,0,0,0
2016,6,73226,"LT",21,1,0,0,0
2016,6,73241,"OB",59,2,0,3,0
2016,6,73248,"SK",28,1,1,3,0
2016,6,73632,"HT",61,0,0,1,0
2016,6,73750,"HH",117,1,2,4,0
2016,6,73801,"HH",110,2,1,2,0
2016,6,74139,"LG",31,0,0,0,0
2016,6,74167,"HH",101,4,1,2,2
2016,6,74359,"WO",35,0,0,1,0
2016,6,74454,"SS",146,1,3,5,0
2016,6,74513,"OB",106,1,0,3,0
2016,6,74630,"SS",19,1,1,0,0
2016,6,74731,"HH",89,3,0,3,1
2016,6,74838,"SK",129,2,1,4,0
2016,6,74857,"HH",64,1,0,1,0
2016,6,75138,"SK",9,0,0,0,0
2016,6,75149,"KT",40,0,0,0,2
2016,6,75250,"SK",35,0,0,0,0
2016,6,75258,"WO",52,0,0,0,0
2016,6,75321,"LT",44,1,1,1,0
2016,6,75340,"SK",62,1,1,1,0
2016,6,75342,"WO",43,3,0,2,1
2016,6,75668,"HT",28,0,0,1,0
2016,6,75750,"WO",25,1,0,0,0
2016,6,75852,"NC",29,1,0,3,0
2016,6,75867,"NC",66,0,0,0,0
2016,6,76118,"NC",61,0,0,1,0
2016,6,76329,"OB",49,0,1,0,0
2016,6,76350,"WO",43,2,2,1,0
2016,6,76355,"SS",95,6,3,0,0
2016,6,76430,"WO",54,2,1,0,0
2016,6,76455,"SS",172,0,0,7,0
2016,6,76461,"SS",85,3,2,0,0
2016,6,76540,"LT",3,0,0,0,0
2016,6,76610,"HT",25,0,0,1,0
2016,6,76650,"LG",42,0,1,0,0
2016,6,76858,"SK",34,2,0,1,0
2016,6,77147,"LG",26,1,0,0,0
2016,6,77318,"KT",121,1,1,3,0
2016,6,77446,"SS",45,0,1,0,0
2016,6,77452,"HH",10,0,0,0,0
2016,6,77563,"KT",36,3,0,2,0
2016,6,77637,"HT",139,1,1,3,0
2016,6,77829,"SK",117,1,0,0,1
2016,6,77927,"SS",24,0,1,0,0
2016,6,78257,"OB",61,1,1,1,0
2016,6,78352,"NC",47,1,0,0,0
2016,6,78366,"NC",28,0,0,0,0
2016,6,78552,"LT",8,0,0,0,0
2016,6,78760,"HH",37,0,0,0,0
2016,6,79140,"LG",49,2,0,0,0
2016,6,79229,"OB",145,2,1,3,1
2016,6,79349,"OB",57,2,3,1,0
2016,6,79440,"SS",117,4,0,0,0
2016,6,79535,"OB",99,2,0,1,0
2016,6,79617,"HT",28,0,1,0,0
2016,6,79657,"NC",13,0,0,0,0
2016,6,79764,"HH",108,4,1,3,1
2016,6,79791,"SS",24,1,0,0,0
2016,6,79847,"SK",17,0,0,0,0
2016,6,96462,"LG",28,1,0,0,0
2016,6,97336,"HT",42,0,0,1,0
2016,6,99314,"HH",40,0,0,1,0
2016,6,99445,"SS",18,2,0,0,0
2016,6,99563,"KT",28,0,0,0,0
2016,6,99737,"HH",56,2,0,3,0
2016,7,60146,"LG",28,0,1,0,0
2016,7,60164,"LG",25,0,0,2,0
2016,7,60181,"LG",92,5,0,1,0
2016,7,60263,"NC",50,1,0,0,1
2016,7,60264,"KT",56,4,1,1,0
2016,7,60339,"WO",37,0,0,0,0
2016,7,60457,"SS",2,1,0,0,0
2016,7,60559,"LT",55,1,0,1,0
2016,7,60634,"HT",69,1,1,2,1
2016,7,60636,"HT",22,1,0,0,0
2016,7,60757,"HH",10,0,0,0,0
2016,7,60768,"HH",58,0,1,0,0
2016,7,60841,"SK",90,5,3,3,0
2016,7,60845,"SK",36,0,1,1,0
2016,7,60848,"KT",16,2,0,0,0
2016,7,61101,"LG",21,0,1,0,0
2016,7,61214,"OB",43,1,0,0,0
2016,7,61215,"OB",42,1,1,2,0
2016,7,61240,"OB",88,0,0,3,0
2016,7,61329,"LG",23,0,1,0,0
2016,7,61365,"SS",44,2,0,1,0
2016,7,61396,"WO",2,0,0,0,0
2016,7,61411,"SS",57,4,0,1,0
2016,7,61643,"HT",93,0,0,1,0
2016,7,61666,"HT",44,0,1,1,1
2016,7,61891,"LG",43,1,0,2,0
2016,7,61895,"SK",25,0,1,0,0
2016,7,61929,"KT",4,0,0,0,0
2016,7,62056,"SK",14,0,0,1,0
2016,7,62146,"LG",33,0,0,0,1
2016,7,62242,"OB",42,0,0,2,0
2016,7,62322,"WO",23,0,0,1,0
2016,7,62648,"HT",33,1,0,0,0
2016,7,62655,"LT",34,0,1,0,0
2016,7,62698,"LG",152,5,0,1,0
2016,7,62869,"SK",80,2,0,4,0
2016,7,62929,"NC",101,0,0,3,0
2016,7,62937,"WO",101,1,0,0,0
2016,7,62966,"NC",52,0,0,2,0
2016,7,63111,"LG",114,2,1,1,1
2016,7,63512,"LT",55,0,1,0,0
2016,7,63638,"HT",5,0,0,0,0
2016,7,63935,"LT",17,0,0,0,0
2016,7,63938,"NC",84,1,2,0,0
2016,7,63950,"NC",60,1,2,0,0
2016,7,63959,"NC",11,0,0,1,0
2016,7,64017,"KT",41,0,0,0,0
2016,7,64021,"LT",79,2,2,0,1
2016,7,64041,"KT",21,0,0,0,0
2016,7,64596,"LT",31,0,0,0,0
2016,7,64764,"LT",10,0,0,0,0
2016,7,64893,"SK",18,0,0,0,0
2016,7,64960,"NC",12,0,0,0,0
2016,7,65056,"KT",54,1,2,2,0
2016,7,65057,"KT",36,1,1,0,0
2016,7,65058,"KT",49,1,0,2,0
2016,7,65060,"KT",90,3,0,1,0
2016,7,65062,"KT",38,4,1,0,2
2016,7,65067,"KT",14,1,0,0,0
2016,7,65320,"WO",56,3,1,2,0
2016,7,65331,"KT",27,0,1,0,0
2016,7,65331,"WO",74,0,1,0,0
2016,7,65343,"WO",17,2,0,0,0
2016,7,65348,"WO",92,3,0,0,2
2016,7,65368,"WO",14,0,0,0,0
2016,7,65543,"LT",77,3,2,1,0
2016,7,65546,"LT",129,4,1,3,0
2016,7,65665,"HT",23,0,0,0,0
2016,7,65827,"SK",12,0,0,0,0
2016,7,65856,"SK",141,3,0,3,0
2016,7,65931,"NC",99,1,2,3,0
2016,7,65933,"NC",36,0,1,0,0
2016,7,66032,"KT",54,0,1,0,0
2016,7,66047,"KT",20,0,0,1,0
2016,7,66050,"KT",62,0,1,0,0
2016,7,66138,"LG",55,4,2,3,1
2016,7,66154,"LG",11,0,0,0,0
2016,7,66160,"LG",11,0,0,0,0
2016,7,66201,"OB",3,0,0,0,0
2016,7,66226,"OB",120,3,0,7,0
2016,7,66324,"WO",143,0,0,4,0
2016,7,66423,"SS",49,0,1,0,0
2016,7,66446,"SS",13,0,0,0,0
2016,7,66493,"SS",8,2,0,1,0
2016,7,66628,"HT",120,2,3,4,0
2016,7,66643,"HT",148,5,1,2,0
2016,7,66659,"HT",9,0,0,0,0
2016,7,66742,"HH",87,1,2,0,0
2016,7,66750,"HH",106,1,1,4,0
2016,7,66825,"SK",61,1,3,0,1
2016,7,66859,"SK",51,2,0,0,0
2016,7,66920,"NC",1,0,0,0,0
2016,7,66928,"NC",55,0,0,1,0
2016,7,66960,"NC",47,2,2,1,0
2016,7,67845,"KT",83,3,2,2,0
2016,7,70142,"HT",42,1,0,2,0
2016,7,70839,"LG",14,0,0,0,0
2016,7,71118,"LG",41,2,0,0,0
2016,7,71801,"LT",8,1,1,0,0
2016,7,71845,"SK",66,2,1,2,0
2016,7,72447,"HH",78,2,0,1,0
2016,7,72463,"SS",30,0,1,0,0
2016,7,72523,"SK",24,1,0,0,0
2016,7,72535,"LT",26,0,0,0,0
2016,7,72551,"LT",31,0,0,3,0
2016,7,72749,"WO",56,1,0,1,0
2016,7,72862,"LT",47,4,0,1,0
2016,7,73117,"LG",122,0,1,4,0
2016,7,73211,"LT",100,4,0,4,0
2016,7,73226,"OB",17,0,0,1,0
2016,7,73241,"OB",31,0,1,0,0
2016,7,73248,"SK",10,1,0,0,0
2016,7,73750,"HH",37,1,1,0,1
2016,7,73801,"HH",55,0,0,1,0
2016,7,74167,"HH",63,3,0,0,0
2016,7,74359,"WO",46,1,1,3,0
2016,7,74454,"SS",110,0,1,3,0
