"year","month","T_ID","APP_T_ID","H_A"
2020,5,"SK","HT","HOME"
2020,5,"LG","KT","HOME"
2020,5,"SS","OB","HOME"
2020,5,"LT","WO","HOME"
2020,5,"KT","HT","HOME"
2020,5,"HH","LG","HOME"
2020,5,"OB","SK","HOME"
2020,5,"LT","SS","HOME"
2020,5,"NC","WO","HOME"
2020,5,"KT","HT","HOME"
2020,5,"HH","LG","HOME"
2020,5,"OB","SK","HOME"
2020,5,"LT","SS","HOME"
2020,5,"NC","WO","HOME"
2020,5,"KT","HT","HOME"
2020,5,"HH","LG","HOME"
2020,5,"OB","SK","HOME"
2020,5,"LT","SS","HOME"
2020,5,"NC","WO","HOME"
2020,5,"SK","HH","HOME"
2020,5,"WO","KT","HOME"
2020,5,"HT","LG","HOME"
2020,5,"OB","LT","HOME"
2020,5,"SS","NC","HOME"
2020,5,"HT","LG","HOME"
2020,5,"SK","HH","HOME"
2020,5,"WO","KT","HOME"
2020,5,"OB","LT","HOME"
2020,5,"SS","NC","HOME"
2020,5,"SK","HH","HOME"
2020,5,"WO","KT","HOME"
2020,5,"HT","LG","HOME"
2020,5,"OB","LT","HOME"
2020,5,"SS","NC","HOME"
2020,5,"HH","SK","AWAY"
2020,5,"LT","KT","AWAY"
2020,5,"NC","SS","AWAY"
2020,5,"OB","LG","AWAY"
2020,5,"WO","HT","AWAY"
2020,5,"HH","SK","AWAY"
2020,5,"LT","KT","AWAY"
2020,5,"NC","SS","AWAY"
2020,5,"OB","LG","AWAY"
2020,5,"WO","HT","AWAY"
2020,5,"HH","SK","AWAY"
2020,5,"LT","KT","AWAY"
2020,5,"NC","SS","AWAY"
2020,5,"OB","LG","AWAY"
2020,5,"WO","HT","AWAY"
2020,5,"HH","WO","AWAY"
2020,5,"HT","SS","AWAY"
2020,5,"KT","OB","AWAY"
2020,5,"LG","NC","AWAY"
2020,5,"SK","LT","AWAY"
2020,5,"HH","WO","AWAY"
2020,5,"HT","SS","AWAY"
2020,5,"HH","WO","AWAY"
2020,5,"HT","SS","AWAY"
2020,5,"KT","OB","AWAY"
2020,5,"LG","NC","AWAY"
2020,5,"SK","LT","AWAY"
2020,5,"HT","HH","AWAY"
2020,5,"KT","NC","AWAY"
2020,5,"OB","LT","AWAY"
2020,5,"SK","LG","AWAY"
2020,5,"SS","WO","AWAY"
2020,5,"HT","HH","AWAY"
2020,5,"KT","NC","AWAY"
2020,5,"OB","LT","AWAY"
2020,5,"SK","LG","AWAY"
2020,5,"SS","WO","AWAY"
2020,5,"HT","HH","AWAY"
2020,5,"KT","NC","AWAY"
2020,5,"OB","LT","AWAY"
2020,5,"SK","LG","AWAY"
2020,5,"SS","WO","AWAY"
2020,5,"LT","HH","AWAY"
2020,5,"NC","SK","AWAY"
2020,5,"OB","HT","AWAY"
2020,5,"SS","KT","AWAY"
2020,5,"LT","HH","AWAY"
2020,5,"WO","LG","AWAY"
2020,5,"NC","SK","AWAY"
2020,5,"OB","HT","AWAY"
2020,5,"SS","KT","AWAY"
2020,5,"WO","LG","AWAY"
2020,5,"LT","HH","AWAY"
2020,5,"NC","SK","AWAY"
2020,5,"OB","HT","AWAY"
2020,5,"SS","KT","AWAY"
2020,5,"WO","LG","AWAY"
2020,5,"HH","KT","AWAY"
2020,5,"LG","SS","AWAY"
2020,5,"LT","HT","AWAY"
2020,5,"NC","OB","AWAY"
2020,5,"SK","WO","AWAY"
2020,5,"HH","KT","AWAY"
2020,5,"LG","SS","AWAY"
2020,5,"LT","HT","AWAY"
2020,5,"NC","OB","AWAY"
2020,5,"SK","WO","AWAY"
2020,5,"HH","KT","AWAY"
2020,5,"LG","SS","AWAY"
2020,5,"LT","HT","AWAY"
2020,5,"NC","OB","AWAY"
2020,5,"SK","WO","AWAY"
2020,5,"HH","NC","AWAY"
2020,5,"HT","SK","AWAY"
2020,5,"KT","LG","AWAY"
2020,5,"OB","SS","AWAY"
2020,5,"WO","LT","AWAY"
2020,5,"KT","LG","AWAY"
2020,5,"HH","NC","AWAY"
2020,5,"HT","SK","AWAY"
2020,5,"OB","SS","AWAY"
2020,5,"WO","LT","AWAY"
2020,5,"HH","NC","AWAY"
2020,5,"HT","SK","AWAY"
2020,5,"KT","LG","AWAY"
2020,5,"OB","SS","AWAY"
2020,5,"WO","LT","AWAY"
2020,5,"HT","KT","AWAY"
2020,5,"LG","HH","AWAY"
2020,5,"SK","OB","AWAY"
2020,5,"SS","LT","AWAY"
2020,5,"WO","NC","AWAY"
2020,5,"HT","KT","AWAY"
2020,5,"LG","HH","AWAY"
2020,5,"SK","OB","AWAY"
2020,5,"SS","LT","AWAY"
2020,5,"WO","NC","AWAY"
2020,5,"HT","KT","AWAY"
2020,5,"LG","HH","AWAY"
2020,5,"SK","OB","AWAY"
2020,5,"SS","LT","AWAY"
2020,5,"WO","NC","AWAY"
2020,5,"HH","SK","AWAY"
2020,5,"KT","WO","AWAY"
2020,5,"LG","HT","AWAY"
2020,5,"LT","OB","AWAY"
2020,5,"NC","SS","AWAY"
2020,5,"LG","HT","AWAY"
2020,5,"HH","SK","AWAY"
2020,5,"KT","WO","AWAY"
2020,5,"LT","OB","AWAY"
2020,5,"NC","SS","AWAY"
2020,5,"HH","SK","AWAY"
2020,5,"KT","WO","AWAY"
2020,5,"LG","HT","AWAY"
2020,5,"LT","OB","AWAY"
2020,5,"NC","SS","AWAY"
2020,6,"HT","LT","HOME"
2020,6,"KT","OB","HOME"
2020,6,"NC","SK","HOME"
2020,6,"LG","SS","HOME"
2020,6,"HH","WO","HOME"
2020,6,"HT","LT","HOME"
2020,6,"KT","OB","HOME"
2020,6,"NC","SK","HOME"
2020,6,"LG","SS","HOME"
2020,6,"HH","WO","HOME"
2020,6,"HT","LT","HOME"
2020,6,"KT","OB","HOME"
2020,6,"NC","SK","HOME"
2020,6,"LG","SS","HOME"
2020,6,"HH","WO","HOME"
2020,6,"OB","HT","HOME"
2020,6,"LT","KT","HOME"
2020,6,"WO","LG","HOME"
2020,6,"HH","NC","HOME"
2020,6,"SK","SS","HOME"
2020,6,"OB","HT","HOME"
2020,6,"HH","NC","HOME"
2020,6,"LT","KT","HOME"
2020,6,"WO","LG","HOME"
2020,6,"SK","SS","HOME"
2020,6,"OB","HT","HOME"
2020,6,"LT","KT","HOME"
2020,6,"WO","LG","HOME"
2020,6,"HH","NC","HOME"
2020,6,"SK","SS","HOME"
2020,6,"LT","HH","HOME"
2020,6,"KT","HT","HOME"
2020,6,"NC","OB","HOME"
2020,6,"LG","SK","HOME"
2020,6,"SS","WO","HOME"
2020,6,"LT","HH","HOME"
2020,6,"KT","HT","HOME"
2020,6,"NC","OB","HOME"
2020,6,"SS","WO","HOME"
2020,6,"LG","SK","HOME"
2020,6,"LT","HH","HOME"
2020,6,"KT","HT","HOME"
2020,6,"NC","OB","HOME"
2020,6,"SS","WO","HOME"
2020,6,"LG","SK","HOME"
2020,6,"SK","HT","HOME"
2020,6,"LG","LT","HOME"
2020,6,"HH","OB","HOME"
2020,6,"NC","WO","HOME"
2020,6,"SS","KT","HOME"
2020,6,"SK","HT","HOME"
2020,6,"LG","LT","HOME"
2020,6,"NC","WO","HOME"
2020,6,"SS","KT","HOME"
2020,6,"HH","OB","HOME"
2020,6,"HH","OB","HOME"
2020,6,"SK","HT","HOME"
2020,6,"SS","KT","HOME"
2020,6,"LG","LT","HOME"
2020,6,"NC","WO","HOME"
2020,6,"SK","KT","HOME"
2020,6,"HH","LG","HOME"
2020,6,"WO","LT","HOME"
2020,6,"HT","NC","HOME"
2020,6,"OB","SS","HOME"
2020,6,"SK","KT","HOME"
2020,6,"HH","LG","HOME"
2020,6,"WO","LT","HOME"
2020,6,"HT","NC","HOME"
2020,6,"OB","SS","HOME"
2020,6,"SK","KT","HOME"
2020,6,"HH","LG","HOME"
2020,6,"WO","LT","HOME"
2020,6,"OB","SS","HOME"
2020,6,"NC","HH","HOME"
2020,6,"KT","LT","HOME"
2020,6,"LG","OB","HOME"
2020,6,"WO","SK","HOME"
2020,6,"HT","SS","HOME"
2020,6,"NC","HH","HOME"
2020,6,"KT","LT","HOME"
2020,6,"LG","OB","HOME"
2020,6,"WO","SK","HOME"
2020,6,"HT","SS","HOME"
2020,6,"NC","HH","HOME"
2020,6,"KT","LT","HOME"
2020,6,"LG","OB","HOME"
2020,6,"WO","SK","HOME"
2020,6,"HT","SS","HOME"
2020,6,"SS","HH","HOME"
2020,6,"LT","HT","HOME"
2020,6,"KT","NC","HOME"
2020,6,"SK","OB","HOME"
2020,6,"LG","WO","HOME"
2020,6,"SS","HH","HOME"
2020,6,"KT","NC","HOME"
2020,6,"SK","OB","HOME"
2020,6,"LG","WO","HOME"
2020,6,"SS","HH","HOME"
2020,6,"KT","NC","HOME"
2020,6,"SK","OB","HOME"
2020,6,"LG","WO","HOME"
2020,6,"WO","HT","HOME"
2020,6,"HH","KT","HOME"
2020,6,"SK","LG","HOME"
2020,6,"OB","NC","HOME"
2020,6,"LT","SS","HOME"
2020,6,"WO","HT","HOME"
2020,6,"HH","KT","HOME"
2020,6,"SK","LG","HOME"
2020,6,"OB","NC","HOME"
2020,6,"LT","SS","HOME"
2020,6,"WO","HT","HOME"
2020,6,"HH","KT","HOME"
2020,6,"SK","LG","HOME"
2020,6,"OB","NC","HOME"
2020,6,"LT","SS","HOME"
2020,6,"LG","KT","HOME"
2020,6,"NC","LT","HOME"
2020,6,"WO","OB","HOME"
2020,6,"SS","SK","HOME"
2020,6,"LT","HT","AWAY"
2020,6,"OB","KT","AWAY"
2020,6,"SK","NC","AWAY"
2020,6,"SS","LG","AWAY"
2020,6,"WO","HH","AWAY"
2020,6,"LT","HT","AWAY"
2020,6,"OB","KT","AWAY"
2020,6,"SK","NC","AWAY"
2020,6,"SS","LG","AWAY"
2020,6,"WO","HH","AWAY"
2020,6,"LT","HT","AWAY"
2020,6,"OB","KT","AWAY"
2020,6,"SK","NC","AWAY"
2020,6,"SS","LG","AWAY"
2020,6,"WO","HH","AWAY"
2020,6,"HT","OB","AWAY"
2020,6,"KT","LT","AWAY"
2020,6,"LG","WO","AWAY"
2020,6,"NC","HH","AWAY"
2020,6,"SS","SK","AWAY"
2020,6,"HT","OB","AWAY"
2020,6,"NC","HH","AWAY"
2020,6,"KT","LT","AWAY"
2020,6,"LG","WO","AWAY"
2020,6,"SS","SK","AWAY"
2020,6,"HT","OB","AWAY"
2020,6,"KT","LT","AWAY"
2020,6,"LG","WO","AWAY"
2020,6,"NC","HH","AWAY"
2020,6,"SS","SK","AWAY"
2020,6,"HH","LT","AWAY"
2020,6,"HT","KT","AWAY"
2020,6,"OB","NC","AWAY"
2020,6,"SK","LG","AWAY"
2020,6,"WO","SS","AWAY"
2020,6,"HH","LT","AWAY"
2020,6,"HT","KT","AWAY"
2020,6,"OB","NC","AWAY"
2020,6,"WO","SS","AWAY"
2020,6,"SK","LG","AWAY"
2020,6,"HH","LT","AWAY"
2020,6,"HT","KT","AWAY"
2020,6,"OB","NC","AWAY"
2020,6,"WO","SS","AWAY"
2020,6,"SK","LG","AWAY"
2020,6,"HT","SK","AWAY"
2020,6,"LT","LG","AWAY"
2020,6,"OB","HH","AWAY"
2020,6,"WO","NC","AWAY"
2020,6,"KT","SS","AWAY"
2020,6,"HT","SK","AWAY"
2020,6,"LT","LG","AWAY"
2020,6,"WO","NC","AWAY"
2020,6,"KT","SS","AWAY"
2020,6,"OB","HH","AWAY"
2020,6,"OB","HH","AWAY"
2020,6,"HT","SK","AWAY"
2020,6,"KT","SS","AWAY"
2020,6,"LT","LG","AWAY"
2020,6,"WO","NC","AWAY"
2020,6,"KT","SK","AWAY"
2020,6,"LG","HH","AWAY"
2020,6,"LT","WO","AWAY"
2020,6,"NC","HT","AWAY"
2020,6,"SS","OB","AWAY"
2020,6,"KT","SK","AWAY"
2020,6,"LG","HH","AWAY"
2020,6,"LT","WO","AWAY"
2020,6,"NC","HT","AWAY"
2020,6,"SS","OB","AWAY"
2020,6,"KT","SK","AWAY"
2020,6,"LG","HH","AWAY"
2020,6,"LT","WO","AWAY"
2020,6,"SS","OB","AWAY"
2020,6,"HH","NC","AWAY"
2020,6,"LT","KT","AWAY"
2020,6,"OB","LG","AWAY"
2020,6,"SK","WO","AWAY"
2020,6,"SS","HT","AWAY"
2020,6,"HH","NC","AWAY"
2020,6,"LT","KT","AWAY"
2020,6,"OB","LG","AWAY"
2020,6,"SK","WO","AWAY"
2020,6,"SS","HT","AWAY"
2020,6,"HH","NC","AWAY"
2020,6,"LT","KT","AWAY"
2020,6,"OB","LG","AWAY"
2020,6,"SK","WO","AWAY"
2020,6,"SS","HT","AWAY"
2020,6,"HH","SS","AWAY"
2020,6,"HT","LT","AWAY"
2020,6,"NC","KT","AWAY"
2020,6,"OB","SK","AWAY"
2020,6,"WO","LG","AWAY"
2020,6,"HH","SS","AWAY"
2020,6,"NC","KT","AWAY"
2020,6,"OB","SK","AWAY"
2020,6,"WO","LG","AWAY"
2020,6,"HH","SS","AWAY"
2020,6,"NC","KT","AWAY"
2020,6,"OB","SK","AWAY"
2020,6,"WO","LG","AWAY"
2020,6,"HT","WO","AWAY"
2020,6,"KT","HH","AWAY"
2020,6,"LG","SK","AWAY"
2020,6,"NC","OB","AWAY"
2020,6,"SS","LT","AWAY"
2020,6,"HT","WO","AWAY"
2020,6,"KT","HH","AWAY"
2020,6,"LG","SK","AWAY"
2020,6,"NC","OB","AWAY"
2020,6,"SS","LT","AWAY"
2020,6,"HT","WO","AWAY"
2020,6,"KT","HH","AWAY"
2020,6,"LG","SK","AWAY"
2020,6,"NC","OB","AWAY"
2020,6,"SS","LT","AWAY"
2020,6,"KT","LG","AWAY"
2020,6,"LT","NC","AWAY"
2020,6,"OB","WO","AWAY"
2020,6,"SK","SS","AWAY"
