"year","month","P_ID","T_ID","PA","AB","HIT","H2","H3","HR","BB","HP","KK","BK","AVG","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","H_A_AWAY","H_A_HOME"
2020,7,76225,"LT",8,8,2,1,0,0,0,0,1,0,0.25,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,78536,"LT",21,17,2,0,0,0,4,0,7,0,0.118,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,67259,"OB",7,6,3,0,0,2,1,0,0,0,0.5,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,69360,"WO",10,8,3,1,0,0,1,1,1,0,0.375,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,99811,"SK",7,7,3,0,0,1,0,0,0,0,0.429,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,73801,"LG",10,7,3,0,0,0,3,0,2,0,0.429,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,69134,"LG",19,17,3,0,0,1,1,1,4,0,0.176,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,65643,"NC",14,11,3,0,1,1,2,1,3,0,0.273,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,63959,"NC",26,24,3,0,0,0,1,1,2,0,0.125,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,65496,"SS",19,18,3,0,0,0,1,0,4,0,0.167,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,64596,"LT",18,13,3,0,0,0,5,0,3,0,0.231,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,67246,"OB",9,8,4,1,0,0,1,0,2,0,0.5,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,50360,"WO",15,14,4,0,1,0,1,0,5,0,0.286,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,62937,"WO",7,7,4,1,0,1,0,0,0,0,0.571,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,79847,"SK",11,8,4,1,0,0,3,0,0,0,0.5,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,65343,"SK",15,14,4,0,0,1,1,0,4,0,0.286,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,78819,"LG",7,7,4,1,0,1,0,0,0,0,0.571,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,65639,"NC",24,19,4,2,1,0,4,1,4,0,0.211,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,77563,"KT",21,16,4,1,0,1,5,0,1,0,0.25,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,64047,"KT",35,30,4,1,0,0,4,1,5,0,0.133,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,66039,"KT",6,4,4,1,0,0,1,1,0,0,1,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,66663,"HT",18,15,4,0,0,1,2,1,2,0,0.267,4,0,4,0,1,3,3,0,5,3,9,14
2020,7,62920,"SS",28,23,4,0,0,1,5,0,6,0,0.174,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,63492,"SS",7,6,4,1,0,2,1,0,1,0,0.667,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,61156,"HH",28,25,4,1,0,0,2,1,8,0,0.16,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,79293,"LT",20,16,4,2,0,0,4,0,2,0,0.25,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,62595,"LT",10,8,4,1,0,1,2,0,1,0,0.5,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,62951,"OB",36,31,5,1,0,0,4,1,6,0,0.161,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,76430,"WO",36,33,5,2,0,0,3,0,5,0,0.152,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,66305,"WO",13,10,5,0,0,0,3,0,1,0,0.5,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,64893,"SK",25,21,5,1,0,0,4,0,6,0,0.238,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,61295,"NC",35,30,5,1,0,1,4,1,9,0,0.167,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,63991,"NC",34,30,5,0,0,0,2,2,3,0,0.167,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,66609,"HT",36,30,5,0,0,1,6,0,13,0,0.167,4,0,4,0,1,3,3,0,5,3,9,14
2020,7,77927,"SS",17,16,5,0,0,1,1,0,0,0,0.313,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,67737,"HH",8,6,5,0,0,1,2,0,0,0,0.833,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,64554,"HH",39,28,5,0,0,0,11,0,5,0,0.179,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,77263,"OB",21,16,6,1,0,0,4,1,1,0,0.375,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,75867,"NC",24,23,6,1,0,1,1,0,7,0,0.261,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,75258,"KT",14,11,6,1,0,0,1,2,2,0,0.545,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,75342,"KT",42,41,6,1,0,0,1,0,4,0,0.146,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,78247,"HT",50,34,6,2,0,0,15,1,13,0,0.176,4,0,4,0,1,3,3,0,5,3,9,14
2020,7,77591,"LT",24,21,6,1,1,0,3,0,9,0,0.286,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,50556,"LT",17,17,6,1,0,0,0,0,2,0,0.353,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,76329,"OB",30,28,7,0,0,0,0,2,7,0,0.25,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,61962,"WO",19,15,7,0,0,1,4,0,3,0,0.467,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,67313,"WO",38,36,7,0,0,1,2,0,9,0,0.194,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,63348,"WO",37,35,7,3,0,1,1,1,3,0,0.2,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,61895,"SK",42,37,7,0,0,1,5,0,10,0,0.189,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,62056,"SK",29,27,7,1,0,1,1,1,7,0,0.259,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,62146,"LG",30,27,7,2,1,0,2,1,8,0,0.259,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,68900,"NC",15,15,7,2,0,0,0,0,3,0,0.467,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,64995,"NC",36,29,7,1,0,0,7,0,7,0,0.241,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,75340,"KT",35,30,7,1,0,1,5,0,3,0,0.233,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,69516,"HT",26,18,7,0,0,1,7,1,0,0,0.389,4,0,4,0,1,3,3,0,5,3,9,14
2020,7,68403,"SS",46,38,7,2,0,0,8,0,4,0,0.184,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,67443,"SS",25,19,7,1,0,2,4,2,4,0,0.368,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,50449,"SS",34,26,7,1,0,0,7,1,6,1,0.269,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,74857,"HH",38,34,7,2,0,0,2,2,9,0,0.206,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,67591,"LT",25,23,7,1,0,1,2,0,3,0,0.304,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,63543,"LT",40,35,7,1,0,1,5,0,13,0,0.2,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,79545,"LT",21,17,7,2,0,0,4,0,3,0,0.412,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,62242,"OB",28,27,8,0,0,3,1,0,3,0,0.296,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,68341,"WO",53,44,8,0,0,1,9,0,15,0,0.182,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,63342,"WO",37,35,8,1,0,0,2,0,10,0,0.229,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,63894,"SK",47,33,8,2,0,1,13,1,9,0,0.242,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,75138,"SK",20,17,8,2,1,2,3,0,4,0,0.471,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,79140,"LG",30,28,8,2,0,3,2,0,4,0,0.286,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,65062,"KT",36,35,8,0,0,1,1,0,16,0,0.229,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,76757,"KT",38,33,8,1,0,1,5,0,7,0,0.242,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,63638,"HT",37,36,8,0,0,1,1,0,7,0,0.222,4,0,4,0,1,3,3,0,5,3,9,14
2020,7,50662,"HT",37,35,8,2,0,1,2,0,8,0,0.229,4,0,4,0,1,3,3,0,5,3,9,14
2020,7,60146,"SS",32,29,8,1,0,1,3,0,10,0,0.276,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,67421,"SS",38,29,8,3,0,0,7,2,7,0,0.276,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,79764,"HH",18,16,8,1,0,1,2,0,2,0,0.5,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,60559,"LT",25,20,8,0,0,2,5,0,2,0,0.4,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,63248,"OB",35,32,9,0,0,0,3,0,12,0,0.281,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,60336,"WO",42,32,9,1,0,1,10,0,8,0,0.281,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,69399,"WO",19,17,9,1,0,0,2,0,0,0,0.529,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,64051,"WO",38,33,9,1,0,1,5,0,8,0,0.273,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,65411,"SK",25,22,9,1,0,1,2,1,4,0,0.409,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,64768,"SK",36,33,9,1,0,1,2,1,4,0,0.273,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,50126,"LG",52,43,9,0,0,1,7,2,8,1,0.209,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,65060,"KT",40,35,9,2,0,0,5,0,5,0,0.257,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,62528,"LT",38,34,9,1,0,3,4,0,9,0,0.265,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,61268,"WO",49,45,10,0,0,0,3,1,7,0,0.222,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,69839,"SK",34,29,10,2,0,2,5,0,7,0,0.345,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,50030,"KT",49,44,10,3,0,0,4,1,6,0,0.227,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,63464,"HH",42,35,10,2,0,1,6,1,6,0,0.286,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,67266,"OB",45,42,11,1,1,0,3,0,7,0,0.262,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,76858,"SK",28,24,11,3,0,0,4,0,4,0,0.458,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,60768,"SK",31,27,11,3,0,2,4,0,5,0,0.407,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,67119,"LG",28,26,11,4,0,1,2,0,1,0,0.423,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,69159,"LG",52,49,11,0,0,0,3,0,10,0,0.224,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,79358,"NC",35,33,11,5,0,1,2,0,6,0,0.333,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,69962,"NC",45,43,11,1,0,2,2,0,12,0,0.256,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,63512,"LT",32,31,11,1,0,3,1,0,5,0,0.355,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,65241,"OB",54,44,12,2,1,0,7,3,8,0,0.273,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,76350,"SK",42,38,12,3,0,3,4,0,7,0,0.316,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,79825,"LG",27,27,12,4,0,3,0,0,2,0,0.444,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,65117,"LG",30,27,12,1,0,1,3,0,1,0,0.444,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,76650,"LG",43,39,12,1,0,1,4,0,9,0,0.308,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,69620,"HT",42,38,12,1,0,1,3,1,11,0,0.316,4,0,4,0,1,3,3,0,5,3,9,14
2020,7,73117,"SS",40,38,12,1,0,1,2,0,4,0,0.316,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,50705,"HH",57,52,12,4,0,0,5,0,20,0,0.231,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,63765,"HH",51,48,12,2,0,1,2,1,10,0,0.25,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,64760,"HH",37,32,12,3,0,3,3,2,7,0,0.375,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,64565,"LT",41,38,12,1,0,0,3,0,3,0,0.316,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,50234,"OB",51,47,13,5,0,0,4,0,9,0,0.277,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,67863,"SK",42,35,13,0,2,1,7,0,7,0,0.371,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,76118,"NC",47,42,13,0,0,2,4,1,11,0,0.31,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,69439,"SS",67,59,13,3,0,1,8,0,12,0,0.22,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,73211,"LT",31,28,13,3,0,1,3,0,0,0,0.464,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,61643,"OB",56,49,14,3,1,2,6,1,15,0,0.286,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,65398,"WO",35,35,14,1,0,5,0,0,7,0,0.4,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,66145,"LG",37,35,14,3,0,3,2,0,8,0,0.4,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,68701,"HH",53,43,14,2,0,3,8,2,12,0,0.326,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,75421,"SS",48,43,15,1,0,1,4,1,5,0,0.349,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,67703,"HH",49,43,15,2,0,2,6,0,10,0,0.349,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,69748,"HH",45,42,15,1,0,2,3,0,5,0,0.357,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,63292,"OB",51,41,16,4,0,2,10,0,4,0,0.39,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,62360,"WO",64,57,16,3,0,1,7,0,14,0,0.281,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,67603,"WO",46,41,16,1,0,3,5,0,7,0,0.39,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,67045,"KT",60,54,16,3,0,3,6,0,6,0,0.296,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,67263,"OB",69,65,17,5,0,1,4,0,10,0,0.262,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,64861,"SK",88,78,17,2,0,1,10,0,17,0,0.218,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,66920,"NC",86,74,17,3,0,4,12,0,8,0,0.23,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,61365,"SS",59,53,17,4,0,1,4,2,12,0,0.321,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,67391,"WO",62,56,18,6,0,0,6,0,6,0,0.321,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,50912,"NC",85,73,18,6,0,1,11,1,16,0,0.247,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,65516,"KT",75,65,18,5,0,1,10,0,15,1,0.277,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,50640,"HT",94,84,18,1,1,1,10,0,22,0,0.214,4,0,4,0,1,3,3,0,5,3,9,14
2020,7,63628,"HT",59,57,18,3,0,1,2,0,5,0,0.316,4,0,4,0,1,3,3,0,5,3,9,14
2020,7,68419,"SS",93,83,19,3,0,1,7,3,18,1,0.229,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,76355,"LT",77,71,19,4,0,4,5,1,7,0,0.268,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,66859,"SK",64,55,20,3,0,2,6,3,5,0,0.364,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,64021,"LT",90,79,20,3,0,3,10,1,18,0,0.253,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,65933,"NC",104,99,21,3,0,4,5,0,34,0,0.212,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,69032,"KT",112,102,21,4,1,2,10,0,27,0,0.206,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,62754,"HT",82,74,22,4,0,3,8,0,15,1,0.297,4,0,4,0,1,3,3,0,5,3,9,14
2020,7,69446,"SS",68,61,22,3,0,2,6,1,10,0,0.361,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,77318,"HH",141,125,22,2,0,3,15,1,36,0,0.176,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,69045,"OB",122,119,23,2,0,0,3,0,34,0,0.193,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,65048,"KT",78,70,23,2,0,3,8,0,10,0,0.329,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,61101,"LG",115,103,24,10,0,1,11,1,20,0,0.233,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,76455,"LG",76,69,24,5,0,2,6,1,7,0,0.348,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,77446,"SS",92,84,24,3,2,6,7,1,16,0,0.286,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,65764,"HH",114,99,24,3,0,1,13,2,22,1,0.242,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,65769,"HH",108,89,24,4,0,5,17,2,22,0,0.27,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,60841,"SK",121,104,25,4,0,2,16,1,25,0,0.24,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,50558,"LT",147,138,25,3,0,2,7,2,42,0,0.181,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,65320,"WO",85,73,26,3,0,5,9,3,9,0,0.356,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,78148,"LG",81,75,26,5,0,5,5,1,16,0,0.347,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,69940,"NC",130,115,26,3,0,1,12,3,27,0,0.226,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,65616,"HT",92,84,26,3,0,3,7,1,11,0,0.31,4,0,4,0,1,3,3,0,5,3,9,14
2020,7,69539,"LT",82,75,27,5,0,3,5,2,11,0,0.36,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,50404,"SS",131,125,30,3,1,2,6,0,22,0,0.24,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,60263,"NC",115,102,31,3,0,6,12,1,18,1,0.304,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,50524,"LT",89,85,31,4,1,3,4,0,12,0,0.365,3,1,0,3,0,3,2,4,3,3,12,10
2020,7,50636,"HT",141,134,32,6,0,1,7,0,20,0,0.239,4,0,4,0,1,3,3,0,5,3,9,14
2020,7,62363,"WO",109,97,33,7,1,2,8,4,21,1,0.34,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,66291,"OB",127,115,34,1,1,2,12,0,16,0,0.296,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,68135,"LG",126,116,34,4,1,3,9,1,23,1,0.293,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,62869,"SK",151,139,35,8,0,5,10,2,23,0,0.252,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,50835,"SK",129,110,35,7,0,3,17,2,10,0,0.318,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,69744,"HH",132,123,36,8,1,4,6,3,13,0,0.293,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,69343,"WO",126,122,37,4,2,3,3,1,15,1,0.303,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,77637,"HT",111,100,38,9,1,5,10,1,23,0,0.38,4,0,4,0,1,3,3,0,5,3,9,14
2020,7,79229,"OB",124,116,40,9,0,4,7,1,11,0,0.345,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,50040,"KT",164,152,43,7,1,3,10,2,34,0,0.283,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,69103,"LG",154,146,44,7,0,3,6,2,33,0,0.301,4,0,3,0,3,2,6,3,3,0,16,8
2020,8,50360,"WO",1,0,0,0,0,0,0,1,0,0,0,3,2,5,5,5,2,0,0,4,0,11,15
2020,8,63638,"HT",0,0,0,0,0,0,0,0,1,0,0,0,0,2,8,2,4,2,5,0,2,13,12
2020,8,61411,"SS",0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,2,0,6,4,0,4,13,11
2020,8,63960,"SS",0,0,0,0,0,0,0,0,1,0,0,4,0,2,2,2,0,6,4,0,4,13,11
2020,8,64554,"HH",3,0,0,0,0,0,2,1,0,0,0,0,0,3,3,2,4,0,2,4,3,12,9
2020,8,60559,"LT",2,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,2,6,4,2,5,8,15
2020,8,77591,"LT",0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,2,6,4,2,5,8,15
2020,8,72447,"OB",4,3,1,0,0,0,1,0,1,0,0.333,0,2,3,2,6,4,0,2,6,0,13,12
2020,8,99812,"WO",3,2,1,0,0,0,1,0,1,0,0.5,3,2,5,5,5,2,0,0,4,0,11,15
2020,8,76858,"SK",8,8,1,0,0,0,0,0,0,0,0.125,2,5,4,0,4,2,2,0,4,0,11,12
2020,8,62920,"SS",5,3,1,0,0,0,2,0,1,0,0.333,4,0,2,2,2,0,6,4,0,4,13,11
2020,8,67443,"SS",8,4,1,0,0,1,3,1,0,0,0.25,4,0,2,2,2,0,6,4,0,4,13,11
2020,8,67703,"HH",16,15,1,0,0,0,0,1,6,0,0.067,0,0,3,3,2,4,0,2,4,3,12,9
2020,8,63961,"HH",6,6,1,0,0,1,0,0,0,0,0.167,0,0,3,3,2,4,0,2,4,3,12,9
2020,8,62611,"HH",3,3,1,0,0,0,0,0,1,0,0.333,0,0,3,3,2,4,0,2,4,3,12,9
2020,8,77263,"OB",19,17,2,0,0,0,1,1,5,0,0.118,0,2,3,2,6,4,0,2,6,0,13,12
2020,8,50262,"OB",12,9,2,0,0,0,3,0,2,0,0.222,0,2,3,2,6,4,0,2,6,0,13,12
2020,8,66018,"WO",8,8,2,0,0,1,0,0,2,0,0.25,3,2,5,5,5,2,0,0,4,0,11,15
2020,8,62937,"WO",6,4,2,2,0,0,2,0,0,0,0.5,3,2,5,5,5,2,0,0,4,0,11,15
2020,8,65398,"WO",9,8,2,0,0,0,1,0,0,0,0.25,3,2,5,5,5,2,0,0,4,0,11,15
2020,8,66801,"SK",6,5,2,0,0,1,1,0,0,0,0.4,2,5,4,0,4,2,2,0,4,0,11,12
2020,8,99811,"SK",16,14,2,0,0,1,2,0,5,0,0.143,2,5,4,0,4,2,2,0,4,0,11,12
2020,8,75138,"SK",10,8,2,0,0,1,2,0,2,0,0.25,2,5,4,0,4,2,2,0,4,0,11,12
2020,8,79617,"LG",4,3,2,1,0,0,1,0,1,0,0.667,3,8,2,0,0,3,2,0,2,5,13,12
2020,8,68900,"NC",5,5,2,0,0,0,0,0,0,0,0.4,4,4,2,3,2,0,4,2,0,2,10,13
2020,8,66663,"HT",13,13,2,1,0,1,0,0,1,0,0.154,0,0,2,8,2,4,2,5,0,2,13,12
2020,8,79764,"HH",9,8,2,1,0,0,1,0,0,0,0.25,0,0,3,3,2,4,0,2,4,3,12,9
2020,8,67246,"OB",9,9,3,1,0,0,0,0,2,0,0.333,0,2,3,2,6,4,0,2,6,0,13,12
2020,8,69205,"OB",10,9,3,1,0,0,1,0,2,0,0.333,0,2,3,2,6,4,0,2,6,0,13,12
2020,8,63248,"OB",8,6,3,1,0,0,2,0,0,0,0.5,0,2,3,2,6,4,0,2,6,0,13,12
2020,8,63894,"SK",42,27,3,0,1,0,13,2,3,0,0.111,2,5,4,0,4,2,2,0,4,0,11,12
2020,8,67119,"LG",40,36,3,1,0,0,4,0,14,0,0.083,3,8,2,0,0,3,2,0,2,5,13,12
2020,8,66145,"LG",15,14,3,0,2,0,1,0,3,0,0.214,3,8,2,0,0,3,2,0,2,5,13,12
2020,8,79140,"LG",24,22,3,2,0,0,2,0,7,0,0.136,3,8,2,0,0,3,2,0,2,5,13,12
2020,8,65639,"NC",34,25,3,0,0,1,8,1,6,0,0.12,4,4,2,3,2,0,4,2,0,2,10,13
2020,8,63914,"NC",16,13,3,1,0,0,2,1,1,0,0.231,4,4,2,3,2,0,4,2,0,2,10,13
2020,8,68910,"NC",8,6,3,0,0,1,1,1,2,0,0.5,4,4,2,3,2,0,4,2,0,2,10,13
