"year","month","T_ID","VS_T_ID","TB_SC","P_ID","BAT_ORDER_NO","PA","AB","RBI","RUN","HIT","H2","H3","HR","SB","CS","SH","SF","BB","IB","HP","KK","GD","ERR","LOB","P_AB_CN","P_HIT_CN"
2017,3,"LG","WO","T",72456,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"WO","LG","B",73342,2,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2017,3,"WO","LG","B",74215,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2017,3,"LG","WO","T",74823,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"WO","LG","B",77463,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
2017,3,"WO","LG","B",77564,6,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
2017,3,"LG","WO","T",78135,1,4,4,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"WO","LG","B",78168,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2017,3,"LG","WO","T",79109,2,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0
2017,3,"LG","WO","T",79113,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017,3,"LG","WO","T",79192,5,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2017,3,"WO","LG","B",79300,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,3,"WO","LG","B",79365,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017,3,"LG","WO","T",99606,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"LT","NC","T",60558,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"NC","LT","B",60566,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,3,"LT","NC","T",61204,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"LT","NC","T",62556,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"NC","LT","B",62934,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
2017,3,"NC","LT","B",62947,3,4,3,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
2017,3,"NC","LT","B",63963,6,4,3,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2017,3,"LT","NC","T",66508,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,3,"NC","LT","B",66965,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"NC","LT","B",66968,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"LT","NC","T",67598,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2017,3,"NC","LT","B",67935,4,4,2,2,2,2,1,0,1,0,0,0,0,1,0,1,0,0,0,2,1,1
2017,3,"LT","NC","T",71552,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"LT","NC","T",71564,4,4,4,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1
2017,3,"LT","NC","T",71565,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,3,"LT","NC","T",72546,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"NC","LT","B",73213,8,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
2017,3,"NC","LT","B",73306,2,5,4,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0
2017,3,"NC","LT","B",74358,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,3,"NC","LT","B",74465,5,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0
2017,3,"LT","NC","T",74540,6,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
2017,3,"LT","NC","T",76509,7,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
2017,3,"LT","NC","T",77532,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,3,"NC","LT","B",78122,9,4,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
2017,3,"LT","NC","T",78513,1,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2017,3,"LT","NC","T",78536,9,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"NC","LT","B",78813,7,4,4,3,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2
2017,4,"OB","HH","B",61208,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,4,"HH","OB","T",61700,9,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2017,4,"OB","HH","B",62234,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"HH","OB","T",62700,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2017,4,"HH","OB","T",62768,8,6,5,3,1,4,2,0,0,0,0,1,0,0,0,0,1,0,0,3,2,2
2017,4,"OB","HH","B",63257,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"HH","OB","T",64086,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2017,4,"OB","HH","B",66209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"OB","HH","B",66244,3,6,5,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1
2017,4,"HH","OB","T",66702,5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2017,4,"HH","OB","T",66740,6,6,5,1,3,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,0
2017,4,"HH","OB","T",66749,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2017,4,"HH","OB","T",71347,2,6,5,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1
2017,4,"HH","OB","T",71752,4,6,4,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,2,2,0
2017,4,"HH","OB","T",73602,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
2017,4,"HH","OB","T",73725,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,4,"OB","HH","B",74206,9,5,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,4,"HH","OB","T",74729,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
2017,4,"OB","HH","B",75334,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
2017,4,"HH","OB","T",75808,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2017,4,"OB","HH","B",76232,5,5,4,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0
2017,4,"OB","HH","B",76249,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
2017,4,"OB","HH","B",76267,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"HH","OB","T",76753,3,6,4,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0
2017,4,"OB","HH","B",77248,2,6,4,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,4,1,1
2017,4,"OB","HH","B",78224,4,6,4,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0
2017,4,"OB","HH","B",79215,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"OB","HH","B",79240,8,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,4,"OB","HH","B",79290,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"HH","OB","T",98144,7,5,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,4,"SS","HT","B",60456,2,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2017,4,"HT","SS","T",60636,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"HT","SS","T",60658,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,4,"SS","HT","B",61104,5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2017,4,"SS","HT","B",61197,6,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
2017,4,"SS","HT","B",61404,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
2017,4,"HT","SS","T",61666,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"SS","HT","B",62404,3,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0
2017,4,"SS","HT","B",62415,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
2017,4,"HT","SS","T",62637,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"HT","SS","T",63634,8,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2017,4,"HT","SS","T",63704,2,6,5,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,3,1,0
2017,4,"HT","SS","T",63722,8,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"SS","HT","B",64610,8,5,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2017,4,"HT","SS","T",66606,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"SS","HT","B",67450,4,5,3,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,0
2017,4,"HT","SS","T",67650,1,6,6,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1
2017,4,"HT","SS","T",70142,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"HT","SS","T",70410,3,4,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,4,"HT","SS","T",70756,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2017,4,"HT","SS","T",72443,4,4,3,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
2017,4,"SS","HT","B",72466,9,3,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2017,4,"HT","SS","T",72523,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"HT","SS","T",72559,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017,4,"HT","SS","T",73606,6,5,5,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2
2017,4,"SS","HT","B",73824,7,2,1,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
2017,4,"HT","SS","T",74605,7,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
2017,4,"SS","HT","B",75566,6,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,4,"HT","SS","T",77648,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2017,4,"SS","HT","B",78454,9,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,4,"SS","HT","B",78467,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"HT","SS","T",78603,9,5,4,2,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,2
2017,4,"HT","SS","T",78629,5,4,3,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,4,"SS","HT","B",79456,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
2017,4,"SS","HT","B",79465,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,4,"SS","HT","B",95436,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"HT","SS","T",95657,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"KT","SK","T",60343,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"SK","KT","B",62802,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
2017,4,"SK","KT","B",62895,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"KT","SK","T",64006,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,4,"SK","KT","B",66838,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,4,"KT","SK","T",67005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"KT","SK","T",67024,4,3,3,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,4,"SK","KT","B",67827,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,4,"KT","SK","T",70553,8,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,4,"SK","KT","B",71837,1,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2017,4,"KT","SK","T",73113,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"KT","SK","T",73153,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,4,"SK","KT","B",73209,7,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017,4,"KT","SK","T",74339,3,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,4,"SK","KT","B",75151,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"SK","KT","B",75847,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2017,4,"SK","KT","B",76802,8,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
2017,4,"SK","KT","B",76812,6,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2017,4,"KT","SK","T",78517,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,4,"KT","SK","T",99810,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,4,"LG","WO","T",61102,8,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2017,4,"LG","WO","T",61186,6,4,4,2,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1
2017,4,"WO","LG","B",61353,7,3,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1
2017,4,"LG","WO","T",62164,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2017,4,"WO","LG","B",62353,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,"LG","WO","T",63913,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2017,4,"LG","WO","T",64153,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017,4,"WO","LG","B",64300,8,4,4,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1
2017,4,"LG","WO","T",65103,4,4,3,1,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2017,4,"WO","LG","B",66306,5,4,4,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0
2017,4,"WO","LG","B",67341,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,4,"LG","WO","T",71842,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
